文件名,坐标,船数量
2,0.419921875 0.845703125 0.12890625 0.12890625,1
3,0.58203125 0.54296875 0.1171875 0.078125,1
4,0.08203125 0.54296875 0.1171875 0.078125,1
6,0.06640625 0.88671875 0.109375 0.078125,1
9,0.81640625 0.81640625 0.0546875 0.046875;0.537109375 0.228515625 0.05859375 0.11328125,2
14,0.43359375 0.8515625 0.1484375 0.0703125;0.55859375 0.048828125 0.1484375 0.07421875,2
15,0.6640625 0.107421875 0.1171875 0.09765625;0.0703125 0.052734375 0.140625 0.07421875,2
16,0.162109375 0.10546875 0.12109375 0.09375;0.927734375 0.435546875 0.13671875 0.10546875,2
17,0.439453125 0.4375 0.16015625 0.109375,1
20,0.556640625 0.84375 0.16015625 0.109375,1
21,0.060546875 0.837890625 0.12109375 0.10546875,1
22,0.517578125 0.775390625 0.05859375 0.12109375,1
24,0.767578125 0.6796875 0.15234375 0.2734375,1
29,0.5625 0.38671875 0.1015625 0.078125,1
30,0.064453125 0.38671875 0.10546875 0.078125,1
31,0.90625 0.71484375 0.0703125 0.0546875,1
33,0.833984375 0.8515625 0.13671875 0.0859375,1
37,0.240234375 0.806640625 0.11328125 0.07421875,1
38,0.921875 0.357421875 0.1484375 0.05859375,1
39,0.435546875 0.35546875 0.14453125 0.0625;0.939453125 0.501953125 0.11328125 0.08203125,2
41,0.654296875 0.302734375 0.15234375 0.08984375,1
42,0.15625 0.3046875 0.15625 0.0859375,1
45,0.5546875 0.33984375 0.171875 0.109375,1
46,0.072265625 0.345703125 0.14453125 0.10546875;0.88671875 0.603515625 0.140625 0.05859375,2
48,0.767578125 0.1796875 0.13671875 0.2734375,1
49,0.267578125 0.1796875 0.15234375 0.28125,1
50,0.82421875 0.599609375 0.109375 0.08203125,1
51,0.326171875 0.599609375 0.10546875 0.08984375,1
52,0.501953125 0.4140625 0.08984375 0.0703125,1
53,0.92578125 0.513671875 0.078125 0.08203125,1
55,0.90625 0.216796875 0.078125 0.05859375,1
57,0.75 0.6015625 0.125 0.0703125,1
58,0.25390625 0.603515625 0.1328125 0.08203125,1
59,0.83203125 0.349609375 0.1328125 0.08984375,1
60,0.333984375 0.34765625 0.13671875 0.0859375,1
63,0.7421875 0.302734375 0.1171875 0.08203125,1
64,0.23828125 0.302734375 0.1171875 0.07421875,1
69,0.6875 0.0703125 0.15625 0.09375,1
71,0.888671875 0.103515625 0.14453125 0.05859375,1
74,0.32421875 0.78125 0.2265625 0.0859375,1
75,0.59375 0.541015625 0.2265625 0.15234375,1
77,0.802734375 0.611328125 0.09765625 0.05859375,1
79,0.828125 0.09765625 0.1015625 0.09375,1
82,0.72265625 0.708984375 0.0703125 0.06640625,1
83,0.224609375 0.708984375 0.06640625 0.05859375,1
84,0.71484375 0.8671875 0.1484375 0.0859375,1
85,0.216796875 0.865234375 0.14453125 0.08984375,1
86,0.75390625 0.107421875 0.1328125 0.07421875,1
87,0.255859375 0.103515625 0.12890625 0.07421875,1
88,0.53125 0.830078125 0.1640625 0.09765625,1
89,0.05859375 0.83203125 0.1171875 0.0859375,1
94,0.1015625 0.1796875 0.1328125 0.125,1
97,0.337890625 0.552734375 0.19140625 0.28515625,1
100,0.599609375 0.056640625 0.24609375 0.11328125,1
101,0.10546875 0.05859375 0.2109375 0.1171875,1
102,0.806640625 0.107421875 0.08203125 0.05078125,1
103,0.56640625 0.384765625 0.1015625 0.06640625,1
105,0.72265625 0.20703125 0.0625 0.0625,1
109,0.7578125 0.75 0.15625 0.0859375,1
110,0.2578125 0.75 0.1640625 0.09375,1
113,0.525390625 0.361328125 0.12890625 0.08984375,1
114,0.794921875 0.337890625 0.15234375 0.08203125,1
116,0.2109375 0.55078125 0.2421875 0.1328125,1
117,0.509765625 0.419921875 0.23046875 0.12890625,1
119,0.3203125 0.1015625 0.15625 0.203125,1
120,0.568359375 0.951171875 0.20703125 0.08984375,1
122,0.0546875 0.70703125 0.1015625 0.0703125,1
123,0.7578125 0.25 0.15625 0.09375,1
124,0.26171875 0.24609375 0.1640625 0.09375,1
129,0.34765625 0.50390625 0.1171875 0.09375,1
130,0.9140625 0.78515625 0.140625 0.1015625,1
133,0.197265625 0.0625 0.21484375 0.125,1
139,0.2578125 0.49609375 0.078125 0.0625,1
140,0.771484375 0.5703125 0.08203125 0.0546875,1
141,0.271484375 0.5703125 0.07421875 0.0546875,1
142,0.546875 0.205078125 0.1015625 0.07421875,1
144,0.498046875 0.810546875 0.17578125 0.09765625,1
145,0.478515625 0.931640625 0.16796875 0.10546875,1
146,0.755859375 0.044921875 0.14453125 0.08984375,1
148,0.912109375 0.28515625 0.14453125 0.1015625,1
149,0.412109375 0.287109375 0.15234375 0.09765625,1
154,0.193359375 0.58203125 0.14453125 0.1171875,1
155,0.5 0.314453125 0.1640625 0.09765625,1
159,0.44140625 0.68359375 0.234375 0.1328125,1
162,0.693359375 0.076171875 0.14453125 0.11328125,1
164,0.5625 0.951171875 0.15625 0.08984375,1
166,0.908203125 0.19140625 0.17578125 0.125,1
169,0.224609375 0.2890625 0.13671875 0.09375,1
171,0.6171875 0.8671875 0.109375 0.0859375,1
173,0.279296875 0.513671875 0.12109375 0.04296875,1
174,0.560546875 0.458984375 0.16796875 0.12109375,1
176,0.61328125 0.83203125 0.1328125 0.1328125,1
178,0.583984375 0.66796875 0.16015625 0.09375,1
179,0.087890625 0.669921875 0.16796875 0.08203125,1
181,0.390625 0.18359375 0.1640625 0.09375;0.630859375 0.947265625 0.11328125 0.05859375,2
184,0.55078125 0.5703125 0.140625 0.078125,1
187,0.1171875 0.365234375 0.1171875 0.08203125,1
188,0.611328125 0.333984375 0.12890625 0.12890625,1
189,0.1171875 0.3359375 0.140625 0.125,1
191,0.0859375 0.171875 0.1640625 0.0859375,1
192,0.62109375 0.857421875 0.1484375 0.11328125,1
197,0.521484375 0.28125 0.05078125 0.125,1
199,0.353515625 0.41015625 0.11328125 0.0703125;0.201171875 0.62890625 0.10546875 0.0546875,2
200,0.896484375 0.962890625 0.16015625 0.06640625,1
201,0.552734375 0.068359375 0.13671875 0.08203125;0.396484375 0.96484375 0.16796875 0.0625,2
202,0.62109375 0.357421875 0.1484375 0.10546875,1
203,0.12109375 0.361328125 0.1484375 0.11328125,1
204,0.560546875 0.103515625 0.12109375 0.05859375,1
206,0.701171875 0.130859375 0.09765625 0.05859375,1
210,0.74609375 0.685546875 0.1171875 0.11328125,1
211,0.244140625 0.689453125 0.11328125 0.11328125,1
212,0.74609375 0.1875 0.109375 0.109375,1
214,0.56640625 0.64453125 0.125 0.1015625,1
216,0.56640625 0.142578125 0.125 0.09765625,1
217,0.0703125 0.1484375 0.125 0.1015625,1
221,0.91796875 0.814453125 0.140625 0.05859375,1
224,0.560546875 0.806640625 0.22265625 0.07421875,1
226,0.466796875 0.44140625 0.23046875 0.0859375,1
228,0.49609375 0.40625 0.125 0.0703125,1
229,0.51953125 0.1171875 0.15625 0.0859375,1
230,0.767578125 0.541015625 0.12890625 0.05078125,1
231,0.2734375 0.5390625 0.125 0.0546875,1
232,0.505859375 0.443359375 0.11328125 0.05859375,1
233,0.494140625 0.58203125 0.06640625 0.046875,1
234,0.912109375 0.314453125 0.13671875 0.06640625,1
235,0.37109375 0.123046875 0.0703125 0.05078125,1
241,0.76953125 0.041015625 0.125 0.05859375,1
243,0.494140625 0.08203125 0.07421875 0.0546875,1
245,0.400390625 0.59375 0.10546875 0.0546875;0.66015625 0.51953125 0.1796875 0.1015625,2
246,0.16015625 0.51953125 0.1875 0.109375,1
247,0.685546875 0.380859375 0.12109375 0.10546875,1
248,0.181640625 0.37890625 0.12890625 0.1015625,1
252,0.47265625 0.611328125 0.1796875 0.13671875,1
253,0.5234375 0.939453125 0.2265625 0.11328125,1
254,0.521484375 0.71875 0.05078125 0.0625,1
255,0.71875 0.30078125 0.1953125 0.1015625,1
256,0.21484375 0.302734375 0.1953125 0.09765625,1
258,0.837890625 0.685546875 0.14453125 0.13671875,1
262,0.888671875 0.80078125 0.13671875 0.1015625,1
263,0.392578125 0.796875 0.13671875 0.09375;0.58203125 0.708984375 0.15625 0.09765625;0.908203125 0.541015625 0.14453125 0.09765625,3
265,0.06640625 0.734375 0.1328125 0.1484375,1
267,0.5234375 0.21875 0.0625 0.0625,1
270,0.5234375 0.22265625 0.1953125 0.15625,1
274,0.19921875 0.578125 0.21875 0.1015625,1
275,0.73828125 0.775390625 0.140625 0.15234375,1
276,0.236328125 0.77734375 0.15234375 0.15625,1
279,0.931640625 0.857421875 0.11328125 0.14453125,1
282,0.373046875 0.310546875 0.24609375 0.11328125,1
283,0.6953125 0.078125 0.21875 0.09375,1
286,0.236328125 0.279296875 0.14453125 0.15234375,1
289,0.927734375 0.353515625 0.11328125 0.14453125,1
290,0.427734375 0.357421875 0.12109375 0.15234375,1
291,0.85546875 0.826171875 0.2265625 0.12890625,1
292,0.3515625 0.826171875 0.234375 0.11328125,1
294,0.42578125 0.46875 0.2421875 0.1171875,1
295,0.509765625 0.904296875 0.05078125 0.09765625,1
297,0.353515625 0.328125 0.23046875 0.1171875,1
299,0.947265625 0.205078125 0.07421875 0.09765625,1
300,0.5625 0.630859375 0.0703125 0.07421875;0.65234375 0.76171875 0.09375 0.09375,2
301,0.060546875 0.62890625 0.08203125 0.078125;0.158203125 0.763671875 0.08984375 0.09765625;0.84375 0.8828125 0.046875 0.140625,3
302,0.3359375 0.875 0.0625 0.140625;0.89453125 0.302734375 0.1328125 0.09765625,2
303,0.07421875 0.208984375 0.140625 0.09765625;0.40625 0.04296875 0.140625 0.0859375,2
304,0.904296875 0.609375 0.12109375 0.0703125,1
305,0.400390625 0.611328125 0.12109375 0.05859375,1
306,0.71875 0.83203125 0.09375 0.0859375,1
308,0.216796875 0.333984375 0.09765625 0.08984375,1
310,0.369140625 0.5390625 0.13671875 0.09375,1
313,0.37109375 0.04296875 0.1328125 0.0859375,1
317,0.0625 0.130859375 0.078125 0.07421875;0.15234375 0.26171875 0.0859375 0.09375;0.837890625 0.3828125 0.04296875 0.125,3
319,0.666015625 0.72265625 0.08203125 0.0546875,1
320,0.16796875 0.72265625 0.0859375 0.0546875,1
322,0.498046875 0.869140625 0.14453125 0.07421875,1
324,0.689453125 0.927734375 0.23046875 0.10546875,1
325,0.19140625 0.923828125 0.2265625 0.10546875,1
328,0.462890625 0.623046875 0.06640625 0.10546875,1
329,0.55078125 0.44921875 0.0703125 0.0859375,1
332,0.1640625 0.224609375 0.0703125 0.05078125,1
333,0.71875 0.708984375 0.1484375 0.08203125,1
334,0.220703125 0.7109375 0.14453125 0.078125,1
336,0.330078125 0.8359375 0.12109375 0.078125,1
337,0.568359375 0.912109375 0.12109375 0.08203125,1
340,0.693359375 0.42578125 0.23046875 0.109375,1
344,0.458984375 0.123046875 0.05859375 0.10546875,1
347,0.83203125 0.333984375 0.125 0.07421875,1
348,0.328125 0.337890625 0.125 0.07421875,1
349,0.66015625 0.490234375 0.140625 0.09765625,1
350,0.16015625 0.48828125 0.1484375 0.0859375,1
351,0.560546875 0.4140625 0.12890625 0.078125,1
354,0.533203125 0.634765625 0.12890625 0.07421875,1
355,0.43359375 0.349609375 0.21875 0.15234375,1
357,0.716796875 0.625 0.15234375 0.078125,1
358,0.21484375 0.623046875 0.140625 0.08984375,1
359,0.14453125 0.693359375 0.15625 0.09765625,1
360,0.478515625 0.4765625 0.15234375 0.0703125,1
361,0.8125 0.84765625 0.140625 0.1015625,1
362,0.31640625 0.845703125 0.140625 0.08984375,1
363,0.533203125 0.138671875 0.12890625 0.08203125,1
366,0.54296875 0.734375 0.0703125 0.1171875,1
369,0.71484375 0.12109375 0.1484375 0.078125,1
371,0.64453125 0.1875 0.1640625 0.1015625,1
372,0.146484375 0.1875 0.16796875 0.09375,1
375,0.556640625 0.55078125 0.14453125 0.078125,1
376,0.072265625 0.5546875 0.14453125 0.078125;0.6640625 0.607421875 0.125 0.09765625,2
377,0.162109375 0.603515625 0.12109375 0.09765625;0.9296875 0.93359375 0.1328125 0.109375,2
380,0.314453125 0.341796875 0.14453125 0.09765625,1
381,0.67578125 0.0703125 0.109375 0.09375,1
382,0.873046875 0.833984375 0.13671875 0.13671875,1
383,0.375 0.837890625 0.1328125 0.14453125,1
384,0.748046875 0.798828125 0.13671875 0.08203125,1
389,0.158203125 0.76171875 0.11328125 0.0859375,1
394,0.375 0.3359375 0.140625 0.140625,1
395,0.74609375 0.30078125 0.1328125 0.09375,1
396,0.24609375 0.30078125 0.140625 0.09375,1
399,0.82421875 0.744140625 0.1171875 0.09765625,1
400,0.32421875 0.74609375 0.1171875 0.09375,1
402,0.162109375 0.080078125 0.12109375 0.10546875,1
403,0.767578125 0.638671875 0.16796875 0.11328125,1
406,0.693359375 0.640625 0.11328125 0.1015625,1
407,0.19140625 0.638671875 0.109375 0.09765625,1
