epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.43762,0.36667,8479.5,1.7689626216888428
2,100,10,10,0.60538,0.87333,7525.9,1.993123769760132
3,100,10,10,0.32894,0.96667,6786.9,2.2101449966430664
4,100,10,10,0.16041,1.0,6161.4,2.434508800506592
5,100,10,10,0.06116,1.0,5684.6,2.638716459274292
6,100,10,10,0.03739,1.0,5262.2,2.850538730621338
7,100,10,10,0.02858,1.0,4876.6,3.075915575027466
8,100,10,10,0.03216,0.99333,4566.2,3.2850255966186523
9,100,10,10,0.02221,1.0,4276.7,3.5073494911193848
10,100,10,10,0.02022,1.0,4019.2,3.732045888900757
11,100,10,10,0.02089,1.0,3804.2,3.942980289459229
12,100,10,10,0.02535,0.99333,3601.5,4.1649274826049805
13,100,10,10,0.01882,1.0,3428.2,4.375434160232544
14,100,10,10,0.03121,0.99333,3270.6,4.586358308792114
15,100,10,10,0.01056,1.0,3122.0,4.804601192474365
16,100,10,10,0.01318,1.0,2986.5,5.022683620452881
17,100,10,10,0.00859,1.0,2866.9,5.232199907302856
18,100,10,10,0.02427,1.0,2747.6,5.459325551986694
19,100,10,10,0.00659,1.0,2643.4,5.67445707321167
20,100,10,10,0.00717,1.0,2551.2,5.879531145095825
21,100,10,10,0.0149,1.0,2463.5,6.0890161991119385
22,100,10,10,0.01214,1.0,2378.8,6.3056299686431885
23,100,10,10,0.00863,1.0,2300.4,6.520665407180786
24,100,10,10,0.01037,1.0,2226.9,6.735716342926025
25,100,10,10,0.00847,1.0,2161.7,6.93884539604187
26,100,10,10,0.00616,1.0,2094.7,7.160806655883789
27,100,10,10,0.00418,1.0,2036.1,7.367046594619751
28,100,10,10,0.00578,1.0,1976.9,7.587467670440674
29,100,10,10,0.00249,1.0,1924.8,7.792975187301636
30,100,10,10,0.00684,1.0,1876.7,7.992604494094849
31,100,10,10,0.00399,1.0,1829.9,8.197031497955322
32,100,10,10,0.00302,1.0,1781.1,8.421789646148682
33,100,10,10,0.0031,1.0,1736.3,8.638916969299316
34,100,10,10,0.00423,1.0,1695.3,8.848083972930908
35,100,10,10,0.0117,0.99333,1656.4,9.055646181106567
36,100,10,10,0.00639,1.0,1620.7,9.255329370498655
37,100,10,10,0.01149,1.0,1583.3,9.47380805015564
38,100,10,10,0.0075,1.0,1549.7,9.6790452003479
39,100,10,10,0.00897,1.0,1515.4,9.89821171760559
40,100,10,10,0.00442,1.0,1481.8,10.122902631759644
41,100,10,10,0.00445,1.0,1449.9,10.345237970352173
42,100,10,10,0.00293,1.0,1420.2,10.561817407608032
43,100,10,10,0.01513,1.0,1393.1,10.767093896865845
44,100,10,10,0.048,0.98,1367.1,10.97203516960144
45,100,10,10,0.14617,0.96,1341.1,11.18515396118164
46,100,10,10,0.08681,0.97333,1316.7,11.392460823059082
47,100,10,10,0.03797,1.0,1292.9,11.601428031921388
48,100,10,10,0.03389,0.98667,1267.9,11.830963850021362
49,100,10,10,0.01491,1.0,1245.0,12.048205852508543
50,100,10,10,0.01759,1.0,1224.1,12.254083633422852
51,100,10,10,0.01277,1.0,1202.9,12.46934962272644
52,100,10,10,0.01623,1.0,1182.3,12.686895370483398
53,100,10,10,0.03363,0.99333,1162.3,12.905976295471191
54,100,10,10,0.01696,1.0,1142.4,13.130537271499634
55,100,10,10,0.01397,1.0,1124.1,13.344224691390991
56,100,10,10,0.00569,1.0,1105.3,13.571428298950195
57,100,10,10,0.00477,1.0,1088.4,13.782266616821287
58,100,10,10,0.00398,1.0,1071.2,14.003244876861572
59,100,10,10,0.00985,1.0,1054.0,14.231627941131592
60,100,10,10,0.0097,1.0,1037.7,14.454668760299684
61,100,10,10,0.00597,1.0,1022.9,14.664854288101196
62,100,10,10,0.02249,0.99333,1008.4,14.875125408172607
63,100,10,10,0.02393,1.0,994.3,15.086137056350708
64,100,10,10,0.06202,0.98,980.4,15.300294637680054
65,100,10,10,0.14223,0.94,967.3,15.50704789161682
66,100,10,10,0.08045,0.97333,954.2,15.720605373382568
67,100,10,10,0.1018,0.96667,940.9,15.94276738166809
68,100,10,10,0.04033,0.99333,928.8,16.150591135025024
69,100,10,10,0.01796,1.0,917.1,16.3561053276062
70,100,10,10,0.04507,0.99333,905.0,16.575416088104248
71,100,10,10,0.05306,0.97333,893.0,16.797672033309937
72,100,10,10,0.01267,0.99333,881.8,17.01004385948181
73,100,10,10,0.02367,0.99333,870.9,17.223948001861572
74,100,10,10,0.00869,1.0,859.9,17.444823503494263
75,100,10,10,0.00478,1.0,850.0,17.647254705429077
76,100,10,10,0.01234,1.0,839.4,17.86897873878479
77,100,10,10,0.01116,1.0,829.0,18.094648838043213
78,100,10,10,0.00603,1.0,819.2,18.310091257095337
79,100,10,10,0.01166,0.99333,809.2,18.53741431236267
80,100,10,10,0.00224,1.0,799.8,18.75353097915649
