epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.61028,0.12,1905.4,2.6241655349731445
2,100,4,4,1.60797,0.28,1854.4,2.696288108825684
3,100,4,4,1.60972,0.16,1771.8,2.821967363357544
4,100,4,4,1.60863,0.2,1651.4,3.02774429321289
5,100,4,4,1.60966,0.2,1615.6,3.0948235988616943
6,100,4,4,1.6111,0.2,1548.6,3.2286376953125
7,100,4,4,1.60926,0.2,1453.9,3.4389264583587646
8,100,4,4,1.60963,0.14,1426.1,3.5061731338500977
9,100,4,4,1.60573,0.26,1398.4,3.575526475906372
10,100,4,4,1.60338,0.18,1319.1,3.790395736694336
11,100,4,4,1.58069,0.26,1250.7,3.9977753162384033
12,100,4,4,1.54182,0.52,1230.3,4.064208030700684
13,100,4,4,1.41695,0.46,1197.7,4.174808502197266
14,100,4,4,1.34008,0.5,1147.5,4.357288599014282
15,100,4,4,1.33326,0.48,1129.8,4.42575478553772
16,100,4,4,1.29112,0.42,1075.9,4.6473164558410645
17,100,4,4,1.13874,0.5,1060.8,4.713375091552734
18,100,4,4,1.0155,0.64,1028.4,4.862110376358032
19,100,4,4,0.98746,0.66,985.0,5.076182842254639
20,100,4,4,0.94872,0.6,972.3,5.1423399448394775
21,100,4,4,0.83315,0.66,958.5,5.216389417648315
22,100,4,4,0.7904,0.68,944.1,5.296100378036499
23,100,4,4,0.69776,0.76,908.1,5.505727767944336
24,100,4,4,0.62025,0.74,897.3,5.572227239608765
25,100,4,4,0.52107,0.8,868.0,5.760679006576538
26,100,4,4,0.40331,0.86,836.4,5.977836847305298
27,100,4,4,0.45094,0.86,826.6,6.048985481262207
28,100,4,4,0.25239,0.9,804.9,6.21190071105957
29,100,4,4,0.15353,0.94,785.4,6.366252899169922
30,100,4,4,0.23246,0.84,775.2,6.449709892272949
31,100,4,4,0.17253,0.96,767.2,6.517276763916016
32,100,4,4,0.02563,1.0,748.4,6.680946588516235
33,100,4,4,0.07509,0.94,733.8,6.813681602478027
34,100,4,4,0.23673,0.96,721.6,6.928781509399414
35,100,4,4,0.07638,0.96,708.1,7.061635971069336
36,100,4,4,0.07613,0.96,694.9,7.195497035980225
37,100,4,4,0.08411,0.96,686.1,7.287821531295776
38,100,4,4,0.06843,0.98,674.2,7.416645050048828
39,100,4,4,0.01093,1.0,664.8,7.520956039428711
40,100,4,4,0.00736,1.0,653.0,7.657126188278198
41,100,4,4,0.11865,0.96,642.2,7.785636901855469
42,100,4,4,0.05919,0.98,632.4,7.906274557113647
43,100,4,4,0.003,1.0,622.4,8.033197164535522
44,100,4,4,0.04173,0.96,617.3,8.099239587783813
45,100,4,4,0.02704,0.98,610.7,8.187063694000244
46,100,4,4,0.00363,1.0,604.2,8.275028705596924
47,100,4,4,0.00256,1.0,599.4,8.341379880905151
48,100,4,4,0.00867,1.0,590.1,8.472784757614136
49,100,4,4,0.00326,1.0,581.7,8.595369100570679
50,100,4,4,0.00027,1.0,577.3,8.66130018234253
51,100,4,4,0.0003,1.0,572.4,8.735220193862915
52,100,4,4,0.00129,1.0,566.6,8.824294328689575
53,100,4,4,0.00029,1.0,558.2,8.95801305770874
54,100,4,4,0.00014,1.0,553.7,9.030372858047484
55,100,4,4,0.00035,1.0,548.9,9.109359979629517
56,100,4,4,9e-05,1.0,540.4,9.252063512802124
57,100,4,4,0.00018,1.0,536.4,9.32176160812378
58,100,4,4,1e-05,1.0,532.4,9.391122817993164
59,100,4,4,0.00021,1.0,526.5,9.497236490249634
60,100,4,4,4e-05,1.0,522.6,9.567349195480348
61,100,4,4,0.0003,1.0,518.8,9.63830542564392
62,100,4,4,0.00046,1.0,511.9,9.768157243728638
63,100,4,4,7e-05,1.0,508.4,9.835621356964111
64,100,4,4,0.00016,1.0,502.0,9.960453271865845
65,100,4,4,2e-05,1.0,495.4,10.093714237213137
66,100,4,4,1e-05,1.0,490.1,10.202704906463625
67,100,4,4,5e-05,1.0,483.9,10.332682609558104
68,100,4,4,4e-05,1.0,476.2,10.499708890914915
69,100,4,4,0.00016,1.0,471.0,10.615974426269531
70,100,4,4,9e-05,1.0,468.0,10.682801246643066
71,100,4,4,5e-05,1.0,465.0,10.75177526473999
72,100,4,4,0.0,1.0,461.3,10.839274406433104
73,100,4,4,1e-05,1.0,453.3,11.029662370681764
74,100,4,4,4e-05,1.0,450.2,11.107197761535645
75,100,4,4,1e-05,1.0,444.9,11.23959755897522
76,100,4,4,0.00012,1.0,442.3,11.30528450012207
77,100,4,4,3e-05,1.0,436.7,11.449044227600098
78,100,4,4,3e-05,1.0,429.2,11.649701595306396
79,100,4,4,1e-05,1.0,424.3,11.785117626190186
80,100,4,4,0.0,1.0,421.1,11.873704433441162
81,100,4,4,7e-05,1.0,417.3,11.98278832435608
82,100,4,4,0.0,1.0,410.6,12.176237106323242
83,100,4,4,0.0,1.0,406.2,12.310374021530151
84,100,4,4,2e-05,1.0,404.0,12.377021312713625
85,100,4,4,0.0,1.0,400.6,12.479926347732544
86,100,4,4,7e-05,1.0,396.8,12.59930658340454
87,100,4,4,1e-05,1.0,394.7,12.66646409034729
88,100,4,4,4e-05,1.0,390.7,12.796161413192747
89,100,4,4,0.0,1.0,388.7,12.864495038986206
90,100,4,4,0.0,1.0,384.1,13.01790714263916
91,100,4,4,0.0,1.0,379.9,13.159981966018677
92,100,4,4,1e-05,1.0,377.3,13.253082990646362
93,100,4,4,1e-05,1.0,375.3,13.321905612945557
94,100,4,4,0.0,1.0,370.0,13.51314091682434
95,100,4,4,1e-05,1.0,365.7,13.67281174659729
96,100,4,4,3e-05,1.0,363.8,13.742085218429564
97,100,4,4,0.0,1.0,359.9,13.891873359680176
98,100,4,4,0.0,1.0,357.0,14.00590682029724
99,100,4,4,0.0,1.0,355.3,14.073177337646484
100,100,4,4,0.00000,1.00000,352.2,14.195357322692871
