epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,8,8,1.61173,0.204,12360.9,2.022511959075928
2,100,8,8,1.41832,0.496,9942.1,2.514547824859619
3,100,8,8,1.26106,0.664,8263.8,3.0252504348754883
4,100,8,8,1.10106,0.76,7080.5,3.530823469161988
5,100,8,8,1.00956,0.784,6234.4,4.010029315948486
6,100,8,8,0.85749,0.852,5477.6,4.564045667648315
7,100,8,8,0.77193,0.852,4902.2,5.099745273590088
8,100,8,8,0.65656,0.908,4430.3,5.643006801605225
9,100,8,8,0.58118,0.9,4077.9,6.130561351776123
10,100,8,8,0.51654,0.908,3785.4,6.604403495788574
11,100,8,8,0.43022,0.944,3506.7,7.129194021224976
12,100,8,8,0.37352,0.948,3292.3,7.593390464782715
13,100,8,8,0.36195,0.952,3076.0,8.12741231918335
14,100,8,8,0.27437,0.968,2879.5,8.68204641342163
15,100,8,8,0.24634,0.972,2715.6,9.206196784973145
16,100,8,8,0.24958,0.96,2568.6,9.732799768447876
17,100,8,8,0.19408,0.98,2446.5,10.218834161758425
18,100,8,8,0.16423,0.988,2321.4,10.769424200057983
19,100,8,8,0.15481,0.972,2219.9,11.261970043182371
20,100,8,8,0.13562,0.98,2117.9,11.804338693618774
21,100,8,8,0.12113,0.984,2024.4,12.34912919998169
22,100,8,8,0.10401,0.988,1945.5,12.85011911392212
23,100,8,8,0.09363,0.996,1871.4,13.35932445526123
24,100,8,8,0.08961,0.992,1797.5,13.908175945281982
25,100,8,8,0.05319,1.0,1729.1,14.458483695983888
26,100,8,8,0.08971,0.988,1670.4,14.96613383293152
27,100,8,8,0.04687,0.996,1613.4,15.495278596878052
28,100,8,8,0.05771,0.992,1562.7,15.998050212860107
29,100,8,8,0.07381,0.992,1515.2,16.49932861328125
30,100,8,8,0.04287,0.996,1464.7,17.068838834762573
31,100,8,8,0.03197,1.0,1424.6,17.54886555671692
32,100,8,8,0.04372,0.992,1387.6,18.01671528816223
33,100,8,8,0.02893,1.0,1347.0,18.55940628051757
34,100,8,8,0.02634,1.0,1307.7,19.117364406585693
35,100,8,8,0.0302,1.0,1271.8,19.656659603118896
36,100,8,8,0.03458,1.0,1238.0,20.194390058517456
37,100,8,8,0.06053,0.992,1211.5,20.63594913482666
38,100,8,8,0.03576,0.996,1179.0,21.20499300956726
39,100,8,8,0.02524,1.0,1151.9,21.70383214950561
40,100,8,8,0.03956,0.996,1125.8,22.206594944000244
41,100,8,8,0.01764,1.0,1098.2,22.764381647109985
42,100,8,8,0.02684,0.996,1073.3,23.29240822792053
43,100,8,8,0.01803,0.996,1048.4,23.84641695022583
44,100,8,8,0.0176,1.0,1024.8,24.395071744918823
45,100,8,8,0.01659,1.0,1002.3,24.942338705062863
46,100,8,8,0.01149,1.0,982.0,25.458985805511475
47,100,8,8,0.01769,0.996,963.6,25.944597721099854
48,100,8,8,0.03056,0.996,944.8,26.46081566810608
49,100,8,8,0.0089,1.0,927.3,26.959753274917603
50,100,8,8,0.01157,1.0,908.5,27.517035007476807
51,100,8,8,0.01493,1.0,893.2,27.99068689346313
52,100,8,8,0.02281,0.996,876.9,28.507975339889526
53,100,8,8,0.00912,1.0,863.8,28.940344095230103
54,100,8,8,0.01377,1.0,849.0,29.447859287261963
55,100,8,8,0.01225,1.0,833.7,29.98656964302063
56,100,8,8,0.01791,0.996,817.8,30.5680992603302
57,100,8,8,0.01317,1.0,803.6,31.10817813873291
58,100,8,8,0.03433,0.992,792.0,31.56708002090454
59,100,8,8,0.00986,1.0,779.2,32.08368515968323
60,100,8,8,0.01716,0.996,767.2,32.584526777267456
61,100,8,8,0.00784,1.0,754.7,33.12776970863342
62,100,8,8,0.01289,0.996,744.0,33.60179352760315
63,100,8,8,0.00588,1.0,732.6,34.125324010849
64,100,8,8,0.01037,1.0,723.6,34.55177545547485
65,100,8,8,0.02531,0.988,714.1,35.00779581069946
66,100,8,8,0.00433,1.0,702.6,35.584614753723145
67,100,8,8,0.00756,1.0,691.7,36.14054608345032
68,100,8,8,0.02509,0.992,682.0,36.656893253326416
69,100,8,8,0.01343,1.0,672.2,37.1890082359314
70,100,8,8,0.01634,0.996,662.9,37.71197462081909
71,100,8,8,0.01297,1.0,654.2,38.21319913864136
72,100,8,8,0.01031,1.0,646.3,38.67927193641663
73,100,8,8,0.00746,1.0,637.9,39.19145703315735
74,100,8,8,0.00918,1.0,629.5,39.71153688430786
75,100,8,8,0.00971,1.0,621.6,40.21798753738403
76,100,8,8,0.00494,1.0,612.5,40.813538551330566
77,100,8,8,0.01045,1.0,604.0,41.39088988304138
78,100,8,8,0.00724,1.0,596.8,41.8899564743042
79,100,8,8,0.00737,1.0,589.8,42.38981080055237
80,100,8,8,0.01445,0.996,582.8,42.89740467071533
81,100,8,8,0.0043,1.0,575.5,43.4423770904541
82,100,8,8,0.0053,1.0,568.9,43.94580698013306
83,100,8,8,0.00845,0.996,562.2,44.46814513206482
84,100,8,8,0.00741,1.0,555.8,44.981462478637695
85,100,8,8,0.006,1.0,549.4,45.50788927078247
86,100,8,8,0.00819,1.0,543.3,46.0150933265686
87,100,8,8,0.00927,1.0,537.1,46.54849529266357
88,100,8,8,0.01056,0.996,530.9,47.09193968772888
89,100,8,8,0.01137,0.996,525.0,47.62218618392944
90,100,8,8,0.00201,1.0,519.3,48.14351224899292
91,100,8,8,0.00506,1.0,514.0,48.63384652137756
92,100,8,8,0.009,1.0,508.7,49.149431228637695
93,100,8,8,0.00339,1.0,502.6,49.73980283737183
94,100,8,8,0.003,1.0,497.3,50.26657199859619
95,100,8,8,0.00717,1.0,492.6,50.75050735473633
96,100,8,8,0.00282,1.0,487.7,51.264806270599365
97,100,8,8,0.01126,0.996,482.7,51.79333281517029
98,100,8,8,0.00544,1.0,477.1,52.39517641067505
99,100,8,8,0.00626,1.0,472.8,52.87986135482788
100,100,8,8,0.00831,0.99600,468.2,53.3940954208374
