epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.70343,0.33333,4859.2,3.086958408355713
2,100,10,10,1.24842,0.52667,4172.6,3.594886541366577
3,100,10,10,0.88903,0.69333,3688.5,4.06670880317688
4,100,10,10,0.78925,0.72,3359.1,4.465495824813843
5,100,10,10,0.65503,0.77333,3059.6,4.9025702476501465
6,100,10,10,0.569,0.78667,2809.0,5.339911699295044
7,100,10,10,0.43995,0.84,2606.4,5.755144119262695
8,100,10,10,0.51893,0.80667,2440.4,6.14641547203064
9,100,10,10,0.47477,0.86,2282.1,6.572779178619385
10,100,10,10,0.38756,0.86,2136.4,7.021011352539063
11,100,10,10,0.48854,0.84,2009.6,7.464229822158813
12,100,10,10,0.38747,0.86,1851.9,8.099785804748535
13,100,10,10,0.28131,0.90667,1751.1,8.56616497039795
14,100,10,10,0.26023,0.9,1665.1,9.008215188980104
15,100,10,10,0.31371,0.90667,1567.2,9.571370124816896
16,100,10,10,0.24468,0.92,1483.9,10.10834503173828
17,100,10,10,0.16777,0.93333,1410.4,10.635287523269652
18,100,10,10,0.19887,0.94667,1342.8,11.170649766921995
19,100,10,10,0.14704,0.96,1281.9,11.701037406921388
20,100,10,10,0.09786,0.98,1231.9,12.176300287246704
21,100,10,10,0.14328,0.94,1187.3,12.633394956588743
22,100,10,10,0.0765,0.98,1148.2,13.063922882080078
23,100,10,10,0.18997,0.93333,1111.5,13.494938850402832
24,100,10,10,0.25019,0.91333,1076.9,13.928449153900146
25,100,10,10,0.13782,0.95333,1046.4,14.335530281066896
26,100,10,10,0.11316,0.96,1018.4,14.729541063308716
27,100,10,10,0.13924,0.96,990.9,15.137871503829956
28,100,10,10,0.12255,0.96,965.5,15.536472082138062
29,100,10,10,0.05948,0.98,936.8,16.012581825256348
30,100,10,10,0.05871,0.98667,910.0,16.483288049697876
31,100,10,10,0.04883,0.98667,888.5,16.88218641281128
32,100,10,10,0.06248,0.98,867.5,17.29073214530945
33,100,10,10,0.10839,0.95333,847.5,17.698262929916382
34,100,10,10,0.24786,0.90667,828.3,18.10876750946045
35,100,10,10,0.07442,0.98,808.7,18.547789096832275
36,100,10,10,0.1735,0.94667,791.2,18.95811891555786
37,100,10,10,0.11443,0.97333,775.0,19.355833053588867
38,100,10,10,0.14252,0.94667,759.5,19.75051498413086
39,100,10,10,0.06244,0.99333,745.0,20.13419795036316
40,100,10,10,0.04378,0.98667,728.9,20.578479766845703
41,100,10,10,0.05726,0.98,714.9,20.98314023017884
42,100,10,10,0.07442,0.97333,700.9,21.40153884887696
43,100,10,10,0.0372,0.98,685.9,21.867655515670776
44,100,10,10,0.06847,0.98,672.3,22.3110089302063
45,100,10,10,0.07183,0.97333,658.5,22.778592348098755
46,100,10,10,0.12986,0.95333,646.0,23.21891045570373
47,100,10,10,0.16069,0.92667,633.6,23.673439025878903
48,100,10,10,0.05523,0.98667,622.4,24.1012225151062
49,100,10,10,0.09506,0.96,611.7,24.521747827529907
50,100,10,10,0.08211,0.98,601.0,24.95752191543579
51,100,10,10,0.07267,0.97333,590.2,25.414857149124146
52,100,10,10,0.02265,0.99333,581.4,25.801576852798465
53,100,10,10,0.00742,1.0,572.1,26.218312978744507
54,100,10,10,0.01014,1.0,563.7,26.611676692962646
55,100,10,10,0.12179,0.96667,554.5,27.050166368484497
56,100,10,10,0.05188,0.98,545.1,27.51618790626526
57,100,10,10,0.0258,1.0,536.2,27.97517204284668
58,100,10,10,0.08213,0.98667,527.3,28.444621086120605
59,100,10,10,0.01349,0.99333,518.5,28.93155527114868
60,100,10,10,0.01534,1.0,510.5,29.38070106506348
61,100,10,10,0.01378,1.0,503.2,29.80795407295227
62,100,10,10,0.11683,0.96,496.2,30.2288019657135
63,100,10,10,0.02201,0.99333,489.4,30.651328325271606
64,100,10,10,0.02146,1.0,482.8,31.069434881210327
65,100,10,10,0.0735,0.97333,476.4,31.48839926719665
66,100,10,10,0.06786,0.98667,469.3,31.95925760269165
67,100,10,10,0.10681,0.96,462.6,32.42596983909607
68,100,10,10,0.20474,0.94,455.7,32.91316223144531
69,100,10,10,0.1246,0.97333,448.5,33.44515657424927
70,100,10,10,0.04078,0.99333,442.5,33.90209364891052
71,100,10,10,0.10127,0.97333,435.3,34.461968183517456
72,100,10,10,0.12396,0.95333,429.9,34.88879585266113
73,100,10,10,0.11559,0.96,424.2,35.36358428001404
74,100,10,10,0.09222,0.98667,417.7,35.91471314430237
75,100,10,10,0.0529,0.98,412.1,36.398133516311646
76,100,10,10,0.037,0.99333,406.7,36.88467884063721
77,100,10,10,0.02724,0.99333,401.6,37.34729981422424
78,100,10,10,0.01851,1.0,396.9,37.78948926925659
79,100,10,10,0.03249,0.99333,391.8,38.28846216201782
80,100,10,10,0.0316,0.98667,387.5,38.70864176750183
81,100,10,10,0.01676,1.0,383.4,39.12089157104492
82,100,10,10,0.01847,0.99333,379.4,39.53776550292969
83,100,10,10,0.09807,0.98,374.8,40.01957941055298
84,100,10,10,0.04915,0.98,371.1,40.42111682891846
85,100,10,10,0.03469,0.99333,367.5,40.813146114349365
86,100,10,10,0.05805,0.98,363.9,41.21700048446655
87,100,10,10,0.08445,0.98,360.4,41.62387633323669
88,100,10,10,0.03658,0.99333,356.9,42.03126072883606
89,100,10,10,0.01974,0.99333,353.2,42.46326971054077
