epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.28152,0.48,5120.8,2.9292211532592773
2,100,10,10,0.5316,0.87333,4440.9,3.3777246475219727
3,100,10,10,0.25197,0.96,3910.4,3.835938453674317
4,100,10,10,0.15596,0.96667,3440.6,4.359656810760498
5,100,10,10,0.14147,0.96667,3090.3,4.853906631469727
6,100,10,10,0.16479,0.96,2812.1,5.334176063537598
7,100,10,10,0.10281,0.98,2587.9,5.796180009841919
8,100,10,10,0.16113,0.96667,2375.3,6.315068483352661
9,100,10,10,0.06927,0.98,2220.3,6.755988359451294
10,100,10,10,0.08012,0.98,2091.0,7.173731327056885
11,100,10,10,0.12896,0.96,1977.7,7.5844221115112305
12,100,10,10,0.08865,0.97333,1882.8,7.967045307159424
13,100,10,10,0.10755,0.97333,1787.6,8.391180992126465
14,100,10,10,0.05994,0.98667,1706.2,8.791694641113281
15,100,10,10,0.09698,0.98,1632.3,9.18924641609192
16,100,10,10,0.07682,0.97333,1551.6,9.667710781097412
17,100,10,10,0.05511,0.98667,1484.8,10.102036952972412
18,100,10,10,0.0463,0.98667,1423.6,10.536941528320312
19,100,10,10,0.09676,0.96667,1367.9,10.965725183486938
20,100,10,10,0.07209,0.97333,1321.6,11.349454164505005
21,100,10,10,0.11575,0.97333,1263.9,11.867849826812744
22,100,10,10,0.08376,0.98,1210.7,12.38978123664856
23,100,10,10,0.06957,0.98667,1168.9,12.832382440567017
24,100,10,10,0.01384,1.0,1123.3,13.353832721710203
25,100,10,10,0.06108,0.98667,1085.9,13.81387209892273
26,100,10,10,0.08581,0.98,1053.9,14.232763290405272
27,100,10,10,0.08383,0.98,1020.8,14.694320678710938
28,100,10,10,0.04769,0.98667,989.7,15.1559636592865
29,100,10,10,0.07083,0.98,963.7,15.564234733581545
30,100,10,10,0.02397,0.99333,933.6,16.066484928131104
31,100,10,10,0.0653,0.97333,911.4,16.457916736602783
32,100,10,10,0.04311,0.98667,889.9,16.856330633163452
33,100,10,10,0.01141,1.0,867.3,17.294079542160034
34,100,10,10,0.01637,1.0,846.6,17.71811008453369
35,100,10,10,0.02328,0.99333,828.3,18.10860538482666
36,100,10,10,0.05395,0.97333,810.2,18.51492071151733
37,100,10,10,0.08506,0.97333,792.8,18.919947624206543
38,100,10,10,0.06434,0.98667,773.3,19.398408889770508
39,100,10,10,0.02626,1.0,754.4,19.883415937423703
40,100,10,10,0.01256,1.0,737.6,20.33643817901612
41,100,10,10,0.0174,0.99333,723.3,20.739614009857178
42,100,10,10,0.02235,1.0,707.3,21.20852255821228
43,100,10,10,0.02105,0.99333,693.0,21.644126653671265
44,100,10,10,0.00853,1.0,678.5,22.10636615753174
45,100,10,10,0.00422,1.0,665.0,22.554851293563843
46,100,10,10,0.00456,1.0,652.1,23.00096344947815
47,100,10,10,0.00904,1.0,639.4,23.458975791931152
48,100,10,10,0.02514,0.99333,627.4,23.909255743026733
49,100,10,10,0.01411,1.0,616.0,24.35092639923096
50,100,10,10,0.01946,1.0,605.0,24.7924644947052
51,100,10,10,0.01313,1.0,593.6,25.26769471168518
52,100,10,10,0.01123,1.0,582.8,25.73949599266052
53,100,10,10,0.00746,1.0,569.4,26.34484314918518
54,100,10,10,0.00223,1.0,557.2,26.92007207870484
