epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.61035,0.12,2251.5,2.22078824043274
2,100,4,4,1.61009,0.16,2116.9,2.361904621124268
3,100,4,4,1.61078,0.2,2002.4,2.496958017349243
4,100,4,4,1.61096,0.2,1950.5,2.563396453857422
5,100,4,4,1.60938,0.22,1900.8,2.6305124759674072
6,100,4,4,1.60804,0.26,1819.7,2.7476494312286377
7,100,4,4,1.60905,0.2,1763.4,2.8355085849761963
8,100,4,4,1.60782,0.2,1722.8,2.9022738933563232
9,100,4,4,1.60056,0.2,1640.1,3.048576831817627
10,100,4,4,1.56605,0.2,1599.3,3.1262857913970947
11,100,4,4,1.51897,0.2,1544.4,3.237601518630981
12,100,4,4,1.45062,0.22,1485.8,3.3652381896972656
13,100,4,4,1.39644,0.32,1415.9,3.5313432216644287
14,100,4,4,1.48511,0.36,1389.7,3.5977718830108643
15,100,4,4,1.56512,0.38,1356.5,3.685826778411865
16,100,4,4,1.49213,0.24,1307.1,3.8253872394561768
17,100,4,4,1.37206,0.46,1282.9,3.897491931915283
18,100,4,4,1.35649,0.38,1239.7,4.033117532730103
19,100,4,4,1.19198,0.4,1186.2,4.214981555938721
20,100,4,4,1.14786,0.42,1167.8,4.28155255317688
21,100,4,4,1.1234,0.52,1135.9,4.401772975921631
22,100,4,4,1.12829,0.48,1118.8,4.46898365020752
23,100,4,4,1.12139,0.48,1092.1,4.578158617019653
24,100,4,4,1.12949,0.4,1046.0,4.780087232589722
25,100,4,4,1.19089,0.36,1018.8,4.907537698745728
26,100,4,4,1.08688,0.54,994.7,5.026673078536987
27,100,4,4,1.08448,0.42,969.3,5.158560991287232
28,100,4,4,1.03351,0.58,949.1,5.268272876739502
29,100,4,4,0.98775,0.58,915.8,5.459729909896851
30,100,4,4,0.95875,0.52,892.9,5.599600791931152
31,100,4,4,0.91038,0.5,872.0,5.733731508255005
32,100,4,4,0.95242,0.48,862.1,5.79986572265625
33,100,4,4,0.89578,0.56,843.9,5.924950838088989
34,100,4,4,0.88882,0.56,833.9,5.996199607849121
35,100,4,4,0.84755,0.52,821.7,6.084655523300171
36,100,4,4,0.99749,0.54,812.7,6.1525187492370605
37,100,4,4,0.88671,0.52,793.3,6.302860498428345
38,100,4,4,0.77383,0.58,782.2,6.392172336578369
39,100,4,4,0.75987,0.62,774.1,6.459245920181274
40,100,4,4,0.9487,0.52,758.8,6.589677810668945
41,100,4,4,0.90641,0.56,737.0,6.784042596817017
42,100,4,4,0.87636,0.62,722.3,6.922646045684815
43,100,4,4,0.91138,0.54,715.3,6.990204095840454
44,100,4,4,0.80652,0.6,701.3,7.129613637924194
45,100,4,4,0.85208,0.6,694.4,7.200107574462891
46,100,4,4,0.74545,0.62,683.3,7.317446231842041
47,100,4,4,0.73024,0.6,671.2,7.449587821960449
48,100,4,4,0.68452,0.66,665.2,7.516824007034302
49,100,4,4,0.64665,0.6,653.8,7.647794008255005
50,100,4,4,0.62596,0.68,648.1,7.714303731918335
51,100,4,4,0.85199,0.7,642.3,7.784090995788574
52,100,4,4,0.71386,0.6,635.2,7.871089220046997
53,100,4,4,0.6877,0.64,625.0,8.000208854675293
54,100,4,4,0.64541,0.68,619.6,8.069627046585083
55,100,4,4,0.59936,0.7,609.4,8.205203294754028
56,100,4,4,0.80319,0.66,603.6,8.283806800842285
57,100,4,4,0.64955,0.64,598.6,8.35272216796875
58,100,4,4,0.70019,0.64,589.2,8.485660552978516
59,100,4,4,0.7638,0.6,584.0,8.5611252784729
60,100,4,4,0.79155,0.6,577.0,8.665088653564453
61,100,4,4,0.71515,0.64,567.6,8.808280944824219
62,100,4,4,0.62053,0.72,559.2,8.941593885421753
63,100,4,4,0.61589,0.68,554.5,9.017465829849243
64,100,4,4,0.58645,0.62,546.4,9.150001764297484
65,100,4,4,0.50868,0.72,542.5,9.216421842575071
66,100,4,4,0.50931,0.72,536.6,9.318225383758543
67,100,4,4,0.46731,0.8,532.7,9.385985612869264
68,100,4,4,0.42153,0.8,528.9,9.454094171524048
69,100,4,4,0.37612,0.78,525.1,9.522127389907835
70,100,4,4,0.40987,0.8,521.4,9.590195894241331
71,100,4,4,0.39011,0.78,517.6,9.659941911697388
72,100,4,4,0.40261,0.76,513.8,9.731493711471558
