epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,24,24,1.44157,0.44933,26306.2,2.851037740707397
2,100,24,24,1.06104,0.67067,17571.2,4.268357753753662
3,100,24,24,0.81164,0.77467,13118.3,5.717206716537476
4,100,24,24,0.66833,0.81733,10298.9,7.28229832649231
5,100,24,24,0.54498,0.85333,8520.3,8.802541971206665
6,100,24,24,0.4166,0.896,7159.6,10.475451231002808
7,100,24,24,0.31148,0.93333,6209.2,12.07885718345642
8,100,24,24,0.26487,0.93467,5466.3,13.720354795455933
9,100,24,24,0.19507,0.95467,4919.1,15.246665239334106
10,100,24,24,0.17312,0.94933,4439.3,16.894431829452515
11,100,24,24,0.14406,0.96267,4068.4,18.434691429138184
12,100,24,24,0.12489,0.972,3749.9,20.00043225288391
13,100,24,24,0.08077,0.99067,3462.7,21.659311294555664
14,100,24,24,0.06772,0.984,3239.3,23.153498649597168
15,100,24,24,0.05899,0.99333,3036.2,24.70173954963684
16,100,24,24,0.06486,0.98933,2849.0,26.32524275779724
17,100,24,24,0.05366,0.988,2678.1,28.005131483078003
18,100,24,24,0.04039,0.99733,2534.6,29.590391159057617
19,100,24,24,0.05178,0.98667,2413.3,31.077951192855835
20,100,24,24,0.04968,0.99067,2305.5,32.531041383743286
21,100,24,24,0.04143,0.99333,2209.9,33.9382905960083
22,100,24,24,0.03275,0.99467,2112.9,35.4969322681427
23,100,24,24,0.02626,0.99733,2019.6,37.13550090789795
24,100,24,24,0.02465,0.99733,1933.5,38.78892397880554
25,100,24,24,0.03666,0.99467,1853.6,40.46238589286804
26,100,24,24,0.02916,0.99333,1780.1,42.132529497146606
27,100,24,24,0.02718,0.996,1722.0,43.55433940887451
28,100,24,24,0.0299,0.992,1657.7,45.24255657196045
29,100,24,24,0.02823,0.99467,1601.5,46.83041048049927
30,100,24,24,0.02187,0.99467,1551.5,48.338945388793945
31,100,24,24,0.0185,0.996,1502.3,49.92494630813599
32,100,24,24,0.01929,0.996,1455.3,51.53552293777466
33,100,24,24,0.02203,0.99467,1412.2,53.10801577568054
34,100,24,24,0.0168,0.99733,1373.5,54.6038761138916
35,100,24,24,0.01643,0.99867,1332.6,56.27893376350403
36,100,24,24,0.01939,0.99467,1297.1,57.820361852645874
37,100,24,24,0.0108,0.99867,1267.7,59.162774085998535
38,100,24,24,0.0187,0.99467,1233.5,60.803239822387695
