epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,21,21,1.09322,0.58769,28249.5,2.3009278774261475
2,100,21,21,0.50978,0.83385,21062.3,3.08608627319336
3,100,21,21,0.3194,0.89846,16678.9,3.8971474170684814
4,100,21,21,0.20903,0.94308,13855.3,4.691357851028442
5,100,21,21,0.14123,0.96308,11857.8,5.481635332107544
6,100,21,21,0.09936,0.97846,10319.2,6.298961400985718
7,100,21,21,0.07215,0.98615,9060.6,7.173920154571533
8,100,21,21,0.04783,0.98923,8178.0,7.948195934295654
9,100,21,21,0.04776,0.98154,7426.7,8.752209424972534
10,100,21,21,0.04516,0.98769,6777.6,9.590426921844482
11,100,21,21,0.04088,0.99231,6285.3,10.341602087020874
12,100,21,21,0.05802,0.98308,5841.2,11.127943277359009
13,100,21,21,0.06368,0.98308,5445.0,11.937631368637083
14,100,21,21,0.04205,0.98462,5108.5,12.723967790603638
15,100,21,21,0.02631,0.99385,4805.2,13.527059555053713
16,100,21,21,0.01995,0.99692,4529.3,14.350996732711792
17,100,21,21,0.01552,0.99692,4281.9,15.180161714553831
18,100,21,21,0.03146,0.98923,4072.4,15.961071968078612
19,100,21,21,0.01526,0.99692,3879.5,16.75460457801819
20,100,21,21,0.00852,0.99846,3688.9,17.620502948760986
21,100,21,21,0.01771,0.99231,3527.5,18.42639136314392
22,100,21,21,0.00921,1.0,3389.2,19.178789615631104
23,100,21,21,0.01083,0.99846,3249.9,20.00054669380188
24,100,21,21,0.0099,0.99692,3110.8,20.894827604293823
25,100,21,21,0.0131,0.99385,2994.2,21.708864212036133
26,100,21,21,0.03195,0.99231,2886.6,22.51778674125672
27,100,21,21,0.04029,0.99077,2786.9,23.32324242591858
28,100,21,21,0.04732,0.98615,2698.5,24.087416648864743
29,100,21,21,0.02412,0.99231,2612.7,24.87880158424377
30,100,21,21,0.00923,0.99846,2528.4,25.708184719085693
31,100,21,21,0.01099,0.99538,2452.0,26.5087730884552
32,100,21,21,0.01777,0.99231,2382.7,27.27984094619751
33,100,21,21,0.00779,0.99846,2313.8,28.09241771697998
34,100,21,21,0.00991,0.99692,2250.5,28.88218641281128
35,100,21,21,0.0089,0.99846,2187.6,29.7132306098938
36,100,21,21,0.01649,0.99692,2131.5,30.49434328079224
37,100,21,21,0.01657,0.99538,2075.5,31.318172931671143
38,100,21,21,0.02676,0.99231,2025.4,32.092028856277466
39,100,21,21,0.02382,0.99231,1975.4,32.90467357635498
40,100,21,21,0.02342,0.99846,1930.1,33.67733716964722
41,100,21,21,0.00411,1.0,1886.5,34.455787658691406
42,100,21,21,0.00385,1.0,1844.5,35.24039363861084
43,100,21,21,0.00305,1.0,1804.7,36.0170419216156
44,100,21,21,0.00415,0.99846,1764.5,36.83833885192871
45,100,21,21,0.0017,1.0,1725.4,37.67312979698181
46,100,21,21,0.00265,1.0,1689.6,38.4703950881958
47,100,21,21,0.0012,1.0,1655.3,39.26738119125366
48,100,21,21,0.00379,1.0,1624.8,40.00384974479675
49,100,21,21,0.00399,0.99846,1593.3,40.79614448547363
50,100,21,21,0.01637,0.99538,1563.2,41.58233976364136
51,100,21,21,0.06333,0.98308,1533.3,42.39145421981812
