epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,18,18,0.9844,0.63636,30640.2,1.7950286865234375
2,100,18,18,0.38973,0.88182,25827.0,2.12955379486084
3,100,18,18,0.21824,0.94,22298.2,2.466561794281006
4,100,18,18,0.14553,0.96364,19471.1,2.824705123901367
5,100,18,18,0.11358,0.97455,17228.3,3.1924214363098145
6,100,18,18,0.07226,0.97818,15473.0,3.55457615852356
7,100,18,18,0.04726,0.99091,14114.7,3.8966360092163086
8,100,18,18,0.03773,0.98909,12928.6,4.254122734069824
9,100,18,18,0.03137,0.99636,11961.9,4.597913026809692
10,100,18,18,0.03491,0.99636,11070.4,4.968214511871338
11,100,18,18,0.067,0.98545,10310.1,5.334584712982178
12,100,18,18,0.07215,0.96909,9662.0,5.692376613616943
13,100,18,18,0.03982,0.99455,9088.1,6.051838397979736
14,100,18,18,0.04911,0.98909,8576.2,6.413132429122925
15,100,18,18,0.03305,0.99273,8141.1,6.755859136581421
16,100,18,18,0.08,0.97636,7734.2,7.11127781867981
17,100,18,18,0.07973,0.97818,7396.5,7.435933351516724
18,100,18,18,0.05433,0.98545,7045.5,7.806425809860229
19,100,18,18,0.04959,0.98364,6742.5,8.157220840454102
20,100,18,18,0.05799,0.98909,6459.0,8.515301942825317
21,100,18,18,0.09848,0.96909,6204.9,8.863944292068481
22,100,18,18,0.05238,0.98364,5985.2,9.189290046691896
23,100,18,18,0.01848,0.99636,5760.9,9.547070264816284
24,100,18,18,0.02605,0.99273,5545.0,9.918847560882568
25,100,18,18,0.02132,0.99455,5363.9,10.253815412521362
26,100,18,18,0.01678,0.99636,5174.8,10.6285240650177
27,100,18,18,0.00944,1.0,5003.9,10.991517305374146
28,100,18,18,0.00856,1.0,4853.7,11.331641435623167
29,100,18,18,0.00746,0.99818,4715.5,11.663608312606812
30,100,18,18,0.01468,0.99818,4587.1,11.990057945251465
31,100,18,18,0.03072,0.99273,4458.7,12.335340976715088
32,100,18,18,0.05461,0.98909,4326.1,12.71349048614502
33,100,18,18,0.05045,0.98,4208.0,13.070191860198976
34,100,18,18,0.06242,0.97636,4102.2,13.407431840896606
35,100,18,18,0.05854,0.98182,3998.9,13.75367784500122
36,100,18,18,0.0316,0.99273,3898.6,14.107449054718018
37,100,18,18,0.01144,1.0,3816.1,14.412508249282835
38,100,18,18,0.00772,1.0,3724.5,14.766998291015623
39,100,18,18,0.01545,0.99455,3640.3,15.108738660812378
40,100,18,18,0.03741,0.99273,3554.4,15.473591089248655
41,100,18,18,0.0359,0.98909,3470.8,15.846592426300049
42,100,18,18,0.12108,0.96727,3396.4,16.193456649780273
43,100,18,18,0.06444,0.97818,3326.6,16.533306121826172
44,100,18,18,0.02415,0.99636,3259.3,16.874698400497437
45,100,18,18,0.01557,0.99636,3189.8,17.242489099502563
46,100,18,18,0.05849,0.99273,3124.3,17.603902578353882
47,100,18,18,0.03222,0.99091,3058.9,17.980305671691895
48,100,18,18,0.00988,1.0,2999.4,18.336796045303345
49,100,18,18,0.02054,0.99455,2943.8,18.68305230140686
50,100,18,18,0.03909,0.98727,2886.3,19.055854558944706
51,100,18,18,0.02113,0.99455,2836.4,19.390520811080933
52,100,18,18,0.02965,0.99455,2785.5,19.74524474143982
53,100,18,18,0.01279,0.99818,2734.0,20.11725854873657
54,100,18,18,0.00654,1.0,2683.4,20.496691703796387
55,100,18,18,0.01129,0.99636,2638.5,20.845186233520508
56,100,18,18,0.01668,0.99455,2594.7,21.197407722473145
57,100,18,18,0.02155,0.99273,2551.8,21.553770065307617
58,100,18,18,0.0123,0.99636,2510.5,21.90810823440552
59,100,18,18,0.02634,0.99636,2470.2,22.265629291534424
60,100,18,18,0.0247,0.99091,2430.7,22.62689781188965
61,100,18,18,0.02857,0.99091,2393.5,22.978535175323486
62,100,18,18,0.0688,0.97818,2355.2,23.352396488189697
63,100,18,18,0.0618,0.98182,2320.4,23.70272183418274
64,100,18,18,0.02421,0.99455,2283.1,24.0900239944458
65,100,18,18,0.01691,0.99273,2252.5,24.41687035560608
66,100,18,18,0.0141,0.99636,2219.4,24.78097009658813
67,100,18,18,0.01354,0.99636,2189.1,25.12455701828003
68,100,18,18,0.04615,0.99091,2159.1,25.473485469818115
69,100,18,18,0.01567,0.99636,2127.9,25.84657382965088
70,100,18,18,0.02856,0.99455,2099.4,26.198198080062863
71,100,18,18,0.01226,0.99818,2072.2,26.541867971420288
72,100,18,18,0.00676,0.99818,2044.9,26.89622449874878
73,100,18,18,0.00227,1.0,2019.4,27.2356071472168
74,100,18,18,0.00296,1.0,1993.1,27.59456825256348
75,100,18,18,0.00182,1.0,1968.3,27.94325804710388
76,100,18,18,0.00128,1.0,1944.4,28.286645889282227
77,100,18,18,0.0026,1.0,1920.7,28.634684085845947
78,100,18,18,0.00163,1.0,1896.8,28.99683403968811
79,100,18,18,0.00219,1.0,1874.3,29.343751430511475
80,100,18,18,0.00113,1.0,1851.8,29.700998544693
81,100,18,18,0.0023,1.0,1829.4,30.06377911567688
82,100,18,18,0.00137,1.0,1807.6,30.42751288414001
83,100,18,18,0.00158,1.0,1785.6,30.80254030227661
84,100,18,18,0.01315,0.99455,1764.9,31.16287064552307
85,100,18,18,0.04344,0.99091,1745.7,31.50597882270813
86,100,18,18,0.04369,0.98364,1726.8,31.850712060928345
87,100,18,18,0.07974,0.97455,1706.4,32.23249268531799
88,100,18,18,0.06906,0.97818,1689.2,32.559264183044434
89,100,18,18,0.08183,0.98182,1671.3,32.909470319747925
90,100,18,18,0.04158,0.98727,1653.9,33.25422382354736
91,100,18,18,0.03667,0.99273,1636.3,33.613364934921265
92,100,18,18,0.01699,0.99636,1619.2,33.96656131744385
93,100,18,18,0.02871,0.98909,1602.3,34.325697898864746
94,100,18,18,0.05486,0.98727,1586.9,34.65909004211426
95,100,18,18,0.00971,1.0,1569.8,35.03540301322937
96,100,18,18,0.01274,0.99455,1554.0,35.39254212379456
97,100,18,18,0.03876,0.99455,1538.0,35.75980734825134
98,100,18,18,0.02016,0.99636,1523.5,36.10214972496033
99,100,18,18,0.01391,0.99636,1508.1,36.47041153907776
100,100,18,18,0.01056,0.99818,1493.0,36.839195251464844
