epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.72355,0.19333,8515.6,1.761474370956421
2,100,10,10,0.69871,0.91333,7554.0,1.9857017993927
3,100,10,10,0.32467,0.98,6814.8,2.2011077404022217
4,100,10,10,0.16085,1.0,6229.2,2.408008098602295
5,100,10,10,0.08663,1.0,5712.0,2.626037359237671
6,100,10,10,0.05575,1.0,5300.8,2.829759359359741
7,100,10,10,0.0387,1.0,4952.6,3.028725862503052
8,100,10,10,0.02783,1.0,4615.4,3.249978542327881
9,100,10,10,0.02268,1.0,4319.9,3.472266912460327
10,100,10,10,0.02729,1.0,4066.7,3.6885364055633545
11,100,10,10,0.0174,1.0,3849.7,3.896363735198975
12,100,10,10,0.01579,1.0,3632.5,4.129389762878418
13,100,10,10,0.01359,1.0,3453.3,4.343688249588013
14,100,10,10,0.01553,1.0,3288.6,4.5611982345581055
15,100,10,10,0.01717,1.0,3137.8,4.780365943908691
16,100,10,10,0.00892,1.0,3007.2,4.988064289093018
17,100,10,10,0.00739,1.0,2881.7,5.205177545547485
18,100,10,10,0.00652,1.0,2758.8,5.437098264694214
19,100,10,10,0.0058,1.0,2656.6,5.646228075027466
20,100,10,10,0.00666,1.0,2557.9,5.864210367202759
21,100,10,10,0.00705,1.0,2463.1,6.089766979217529
22,100,10,10,0.00589,1.0,2376.2,6.312514781951904
23,100,10,10,0.0072,1.0,2298.3,6.526592493057251
24,100,10,10,0.00627,1.0,2221.8,6.751179218292236
25,100,10,10,0.00506,1.0,2153.0,6.967043399810791
26,100,10,10,0.00392,1.0,2086.6,7.18879508972168
27,100,10,10,0.00501,1.0,2026.6,7.401469230651855
28,100,10,10,0.00574,1.0,1972.3,7.605261564254761
29,100,10,10,0.0117,1.0,1913.8,7.837958335876465
30,100,10,10,0.02058,0.99333,1859.8,8.065483331680298
31,100,10,10,0.01787,0.99333,1810.3,8.285988807678223
32,100,10,10,0.02889,0.99333,1764.7,8.499844789505005
33,100,10,10,0.02208,1.0,1722.0,8.711028337478638
34,100,10,10,0.02738,0.99333,1682.1,8.917635679244995
35,100,10,10,0.01873,1.0,1640.2,9.14539098739624
36,100,10,10,0.01956,1.0,1602.4,9.360973596572876
37,100,10,10,0.01376,1.0,1565.0,9.584450244903564
38,100,10,10,0.01351,1.0,1530.5,9.800601482391356
39,100,10,10,0.02151,0.98667,1497.1,10.019507646560667
40,100,10,10,0.02421,0.99333,1463.0,10.252691268920898
41,100,10,10,0.00988,1.0,1432.3,10.47230100631714
42,100,10,10,0.03456,0.99333,1402.5,10.6952064037323
43,100,10,10,0.02258,1.0,1375.3,10.906657934188845
44,100,10,10,0.01113,1.0,1346.7,11.138309955596924
45,100,10,10,0.02523,0.99333,1321.5,11.350520372390749
46,100,10,10,0.01182,1.0,1295.8,11.576140642166138
47,100,10,10,0.00849,1.0,1272.8,11.78542971611023
48,100,10,10,0.00637,1.0,1248.9,12.010236024856567
49,100,10,10,0.01987,0.98667,1226.1,12.233752489089966
50,100,10,10,0.0083,1.0,1204.0,12.458759546279907
51,100,10,10,0.00887,1.0,1183.4,12.67521619796753
52,100,10,10,0.00801,0.99333,1163.4,12.893511533737184
53,100,10,10,0.02201,0.98667,1144.2,13.109309434890749
54,100,10,10,0.038,0.98667,1125.9,13.323257684707642
55,100,10,10,0.01099,1.0,1107.8,13.540778875350952
56,100,10,10,0.01561,0.99333,1090.2,13.759378910064695
57,100,10,10,0.00691,1.0,1072.5,13.986161708831789
58,100,10,10,0.03894,0.99333,1056.1,14.203036785125732
59,100,10,10,0.01291,1.0,1039.5,14.430509090423584
60,100,10,10,0.00393,1.0,1023.5,14.65605354309082
61,100,10,10,0.00698,1.0,1008.6,14.87214708328247
62,100,10,10,0.00656,1.0,994.6,15.081496715545654
63,100,10,10,0.01221,0.99333,979.8,15.30924367904663
64,100,10,10,0.10649,0.97333,965.2,15.541051626205444
65,100,10,10,0.05371,0.98667,950.9,15.773964643478394
66,100,10,10,0.05518,0.98667,937.1,16.006909132003784
67,100,10,10,0.05977,0.98,923.8,16.23782992362976
68,100,10,10,0.03098,1.0,911.8,16.451210737228394
69,100,10,10,0.01593,0.99333,899.3,16.6795871257782
70,100,10,10,0.04217,0.98,887.5,16.901899337768555
71,100,10,10,0.03703,0.98,875.8,17.127075910568237
72,100,10,10,0.02406,1.0,864.8,17.344600677490234
73,100,10,10,0.01617,1.0,854.3,17.559232473373413
74,100,10,10,0.07776,0.95333,842.6,17.801036596298218
75,100,10,10,0.02145,0.99333,832.5,18.019018173217773
76,100,10,10,0.01767,1.0,822.8,18.230542421340942
77,100,10,10,0.05879,0.98,813.0,18.44995093345642
78,100,10,10,0.04305,0.99333,803.8,18.661975383758545
79,100,10,10,0.01211,1.0,794.3,18.88451457023621
80,100,10,10,0.01283,1.0,785.2,19.102911710739136
81,100,10,10,0.00639,1.0,776.1,19.328500270843502
82,100,10,10,0.00798,1.0,766.7,19.565356492996216
83,100,10,10,0.00831,1.0,757.5,19.80089282989502
84,100,10,10,0.01266,1.0,749.6,20.01146697998047
85,100,10,10,0.00338,1.0,741.8,20.22185182571411
86,100,10,10,0.014,0.99333,733.7,20.44523024559021
87,100,10,10,0.00178,1.0,726.2,20.65668559074402
88,100,10,10,0.00387,1.0,718.3,20.88262915611267
89,100,10,10,0.00484,1.0,710.8,21.104116678237915
90,100,10,10,0.0056,1.0,703.6,21.31979513168335
91,100,10,10,0.0062,1.0,696.3,21.54219031333924
92,100,10,10,0.00144,1.0,688.9,21.77251124382019
93,100,10,10,0.01659,1.0,681.7,22.00415825843811
94,100,10,10,0.00903,1.0,674.9,22.224087476730347
95,100,10,10,0.05156,0.99333,668.2,22.44687128067017
96,100,10,10,0.0036,1.0,661.2,22.68584465980529
97,100,10,10,0.00527,1.0,654.9,22.90470314025879
98,100,10,10,0.01437,0.99333,648.5,23.13173532485962
99,100,10,10,0.02458,0.99333,642.5,23.347304582595825
100,100,10,10,0.01128,1.00000,636.6,23.564520120620728
