epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,200,10,10,1.74021,0.24,13039.7,2.300667285919189
2,200,10,10,0.61915,0.92,12068.2,2.4858627319335938
3,200,10,10,0.30766,0.98667,11300.2,2.6548309326171875
4,200,10,10,0.16614,0.99333,10630.6,2.8220505714416504
5,200,10,10,0.10315,1.0,9910.6,3.0270562171936035
6,200,10,10,0.06193,1.0,9353.8,3.2072386741638184
7,200,10,10,0.04395,1.0,8825.0,3.3994383811950684
8,200,10,10,0.03976,1.0,8360.5,3.5883138179779053
9,200,10,10,0.03741,1.0,7899.9,3.7975122928619385
10,200,10,10,0.02102,1.0,7448.2,4.0278074741363525
11,200,10,10,0.01698,1.0,7004.0,4.283257961273193
12,200,10,10,0.02086,1.0,6729.6,4.45794939994812
13,200,10,10,0.01687,1.0,6476.3,4.632252931594849
14,200,10,10,0.01714,1.0,6181.2,4.853458642959595
15,200,10,10,0.00939,1.0,5907.4,5.078372716903687
16,200,10,10,0.01292,1.0,5700.6,5.262607097625732
17,200,10,10,0.01214,1.0,5460.3,5.49420428276062
18,200,10,10,0.01632,1.0,5304.0,5.656113147735596
19,200,10,10,0.01349,1.0,5149.9,5.825406789779663
20,200,10,10,0.0063,1.0,5001.1,5.998639345169067
21,200,10,10,0.00834,1.0,4851.9,6.183105230331421
22,200,10,10,0.01846,1.0,4720.0,6.355948448181152
23,200,10,10,0.00545,1.0,4599.5,6.522489547729492
24,200,10,10,0.0185,1.0,4492.9,6.677233934402466
25,200,10,10,0.01004,1.0,4380.6,6.848345279693604
26,200,10,10,0.01661,1.0,4253.0,7.053846836090088
27,200,10,10,0.0163,1.0,4141.6,7.243568181991577
28,200,10,10,0.00709,1.0,4025.9,7.451763391494751
29,200,10,10,0.00941,1.0,3935.9,7.622162580490112
30,200,10,10,0.00659,1.0,3838.3,7.816024303436279
31,200,10,10,0.00344,1.0,3753.6,7.992269039154053
32,200,10,10,0.00641,1.0,3667.7,8.179506063461304
33,200,10,10,0.00422,1.0,3585.4,8.367250919342041
34,200,10,10,0.00401,1.0,3502.2,8.56608271598816
35,200,10,10,0.00408,1.0,3421.6,8.767897605895996
36,200,10,10,0.0038,1.0,3360.1,8.928430557250977
37,200,10,10,0.02494,0.99333,3304.9,9.077450513839722
38,200,10,10,0.01986,1.0,3235.3,9.272796869277954
39,200,10,10,0.04149,0.99333,3176.1,9.445452213287354
40,200,10,10,0.02725,1.0,3114.5,9.632439136505129
41,200,10,10,0.05246,0.98667,3056.6,9.814690351486206
42,200,10,10,0.02828,1.0,2998.9,10.003730297088625
43,200,10,10,0.02665,1.0,2940.6,10.201956510543823
44,200,10,10,0.01318,1.0,2879.8,10.4172101020813
45,200,10,10,0.02901,0.98667,2817.5,10.647686243057253
46,200,10,10,0.04767,0.98,2755.5,10.887207746505736
47,200,10,10,0.10292,0.96667,2710.6,11.067530155181885
48,200,10,10,0.06627,0.98,2665.2,11.256259441375732
49,200,10,10,0.03761,1.0,2625.1,11.42799711227417
50,200,10,10,0.02977,0.99333,2583.3,11.613170862197876
51,200,10,10,0.03669,0.99333,2540.6,11.808015823364258
52,200,10,10,0.06498,0.98,2498.6,12.006953477859495
53,200,10,10,0.01747,1.0,2457.6,12.207077741622925
54,200,10,10,0.01512,0.99333,2420.0,12.396520614624023
55,200,10,10,0.02022,1.0,2379.5,12.607705354690552
56,200,10,10,0.0167,1.0,2343.5,12.801589488983154
57,200,10,10,0.03177,0.99333,2303.8,13.021730422973633
58,200,10,10,0.07505,0.99333,2273.3,13.196807861328123
59,200,10,10,0.03764,0.98,2243.3,13.37328577041626
60,200,10,10,0.02212,0.99333,2210.3,13.572948694229126
61,200,10,10,0.06632,0.97333,2177.3,13.778733491897585
62,200,10,10,0.06585,0.98667,2150.5,13.950145244598389
63,200,10,10,0.06087,0.98667,2124.0,14.124172687530518
64,200,10,10,0.04741,0.98,2096.8,14.307384252548218
65,200,10,10,0.02434,0.99333,2072.5,14.475184679031372
66,200,10,10,0.0089,1.0,2045.4,14.666882276535034
67,200,10,10,0.02141,0.99333,2019.5,14.855481386184692
68,200,10,10,0.00865,1.0,1993.2,15.051162719726562
69,200,10,10,0.01532,1.0,1971.2,15.21898102760315
70,200,10,10,0.02773,0.98667,1948.4,15.397288084030151
71,200,10,10,0.0119,1.0,1926.1,15.575584411621094
72,200,10,10,0.0097,1.0,1902.6,15.76778483390808
73,200,10,10,0.00581,1.0,1879.2,15.96425437927246
74,200,10,10,0.00345,1.0,1857.7,16.149410009384155
75,200,10,10,0.00175,1.0,1836.4,16.33590602874756
76,200,10,10,0.00585,1.0,1815.5,16.524800300598145
77,200,10,10,0.00906,1.0,1797.3,16.69125986099243
78,200,10,10,0.00605,1.0,1775.3,16.89871573448181
79,200,10,10,0.01301,0.99333,1758.0,17.06474804878235
80,200,10,10,0.0032,1.0,1740.6,17.23587417602539
81,200,10,10,0.00473,1.0,1722.9,17.41251516342163
82,200,10,10,0.00259,1.0,1705.9,17.585607051849365
83,200,10,10,0.00214,1.0,1685.9,17.79508376121521
84,200,10,10,0.00191,1.0,1669.3,17.971574306488037
85,200,10,10,0.00238,1.0,1654.6,18.13172817230225
86,200,10,10,0.00658,1.0,1640.4,18.28791904449463
87,200,10,10,0.01159,0.99333,1626.2,18.448074340820312
88,200,10,10,0.00601,1.0,1612.1,18.608891248703003
89,200,10,10,0.00405,1.0,1597.3,18.78198504447937
90,200,10,10,0.00414,1.0,1583.5,18.94505333900452
91,200,10,10,0.00344,1.0,1569.0,19.12014675140381
92,200,10,10,0.00309,1.0,1555.4,19.287490367889404
93,200,10,10,0.00148,1.0,1542.6,19.448137998580933
94,200,10,10,0.00287,1.0,1529.6,19.61234664916992
95,200,10,10,0.01176,1.0,1514.7,19.8060142993927
96,200,10,10,0.00078,1.0,1500.5,19.99337363243103
97,200,10,10,0.00266,1.0,1487.6,20.16687035560608
98,200,10,10,0.00263,1.0,1476.3,20.32140803337097
99,200,10,10,0.00429,1.0,1462.5,20.51239323616028
100,200,10,10,0.00277,1.0,1450.5,20.68193316459656
101,200,10,10,0.00317,1.0,1438.2,20.859655141830444
102,200,10,10,0.00549,1.0,1423.8,21.06996440887451
103,200,10,10,0.00479,1.0,1411.3,21.256983995437626
104,200,10,10,0.01103,1.0,1398.5,21.451992988586422
105,200,10,10,0.00938,0.99333,1386.1,21.643263816833496
106,200,10,10,0.00854,1.0,1370.0,21.89773321151733
107,200,10,10,0.01259,1.0,1359.2,22.07208800315857
108,200,10,10,0.00349,1.0,1348.7,22.243587255477905
109,200,10,10,0.01718,1.0,1337.6,22.428094387054443
110,200,10,10,0.01621,0.99333,1323.8,22.66262698173523
111,200,10,10,0.04781,0.98667,1309.3,22.91358184814453
112,200,10,10,0.00788,1.0,1297.4,23.12306785583496
113,200,10,10,0.03336,0.98,1286.8,23.312875986099243
114,200,10,10,0.01233,0.99333,1276.7,23.49894857406616
115,200,10,10,0.03399,0.99333,1263.5,23.74379873275757
116,200,10,10,0.00731,1.0,1251.7,23.96797513961792
117,200,10,10,0.01582,1.0,1242.9,24.136192560195923
118,200,10,10,0.00227,1.0,1234.6,24.29966163635254
119,200,10,10,0.01242,1.0,1224.3,24.50299835205078
120,200,10,10,0.013,0.99333,1214.8,24.695109844207764
121,200,10,10,0.02897,0.98667,1201.6,24.96585273742676
122,200,10,10,0.12368,0.96667,1192.8,25.15177607536316
123,200,10,10,0.09993,0.96,1184.0,25.338762044906616
124,200,10,10,0.05923,0.98667,1172.0,25.597487449646
125,200,10,10,0.01227,1.0,1160.9,25.840967655181885
126,200,10,10,0.03029,0.98667,1152.7,26.02631068229676
127,200,10,10,0.00805,1.0,1144.6,26.21080017089844
128,200,10,10,0.00704,1.0,1135.3,26.425837516784668
129,200,10,10,0.00475,1.0,1126.8,26.6249635219574
130,200,10,10,0.00305,1.0,1116.9,26.859089851379395
131,200,10,10,0.01133,1.0,1107.8,27.0804340839386
132,200,10,10,0.03012,0.99333,1100.6,27.258507251739506
133,200,10,10,0.0219,0.99333,1092.6,27.45772361755371
134,200,10,10,0.08372,0.98667,1084.3,27.66829824447632
135,200,10,10,0.02225,0.99333,1076.8,27.86137843132019
136,200,10,10,0.0078,1.0,1069.5,28.05179023742676
137,200,10,10,0.04078,0.98667,1060.9,28.277712106704712
138,200,10,10,0.06338,0.98,1052.8,28.495327472686768
139,200,10,10,0.1165,0.96,1046.2,28.675424575805664
140,200,10,10,0.16722,0.96667,1039.6,28.856356382369995
141,200,10,10,0.05842,0.98,1033.7,29.02223515510559
142,200,10,10,0.05929,0.98667,1027.8,29.189486980438232
143,200,10,10,0.02981,0.99333,1020.4,29.39943194389344
144,200,10,10,0.06396,0.99333,1012.8,29.62125849723816
145,200,10,10,0.03192,0.98667,1006.7,29.80037951469421
146,200,10,10,0.01455,1.0,1000.9,29.972891330719
147,200,10,10,0.1143,0.97333,993.9,30.1843695640564
148,200,10,10,0.01808,1.0,988.4,30.35312819480896
149,200,10,10,0.01453,0.99333,981.8,30.557217597961422
150,200,10,10,0.00302,1.0,975.5,30.753718614578247
151,200,10,10,0.02423,0.99333,969.4,30.94670271873474
152,200,10,10,0.01333,0.99333,962.2,31.17827796936035
153,200,10,10,0.00436,1.0,956.0,31.38035726547241
154,200,10,10,0.01803,0.99333,951.2,31.53822946548462
155,200,10,10,0.00712,1.0,945.6,31.72736644744873
156,200,10,10,0.00491,1.0,938.6,31.96309804916382
157,200,10,10,0.00186,1.0,930.8,32.22997045516968
158,200,10,10,0.0061,1.0,924.8,32.438480377197266
159,200,10,10,0.01627,0.99333,919.9,32.61106753349304
160,200,10,10,0.01099,0.99333,914.5,32.80433464050293
161,200,10,10,0.01873,0.99333,909.3,32.99078583717346
162,200,10,10,0.00348,1.0,902.7,33.23240423202515
163,200,10,10,0.0051,1.0,897.5,33.42587876319885
164,200,10,10,0.0057,1.0,892.3,33.61978459358215
165,200,10,10,0.00275,1.0,887.4,33.80665135383606
166,200,10,10,0.00581,1.0,881.1,34.04940438270569
167,200,10,10,0.003,1.0,873.9,34.327067136764526
168,200,10,10,0.00125,1.0,869.5,34.50260853767395
169,200,10,10,0.00458,1.0,865.2,34.67586708068848
170,200,10,10,0.00079,1.0,860.5,34.86261963844299
171,200,10,10,0.00216,1.0,855.9,35.05157136917114
172,200,10,10,0.00195,1.0,850.4,35.27698373794556
173,200,10,10,0.00611,1.0,846.1,35.45704889297485
174,200,10,10,0.0081,1.0,841.5,35.65120577812195
175,200,10,10,0.00194,1.0,836.3,35.87325382232666
176,200,10,10,0.003,1.0,832.1,36.05255746841431
177,200,10,10,0.00628,1.0,827.5,36.254018783569336
178,200,10,10,0.00671,1.0,822.9,36.45739507675171
179,200,10,10,0.01696,0.99333,818.3,36.660306215286255
180,200,10,10,0.00387,1.0,814.1,36.85058808326721
181,200,10,10,0.015,0.99333,809.9,37.03981280326843
182,200,10,10,0.02158,0.99333,806.3,37.20925784111023
183,200,10,10,0.00255,1.0,801.9,37.41232991218567
184,200,10,10,0.00256,1.0,796.2,37.67740297317505
185,200,10,10,0.0032,1.0,791.3,37.911986112594604
186,200,10,10,0.00197,1.0,787.4,38.099225997924805
187,200,10,10,0.00631,1.0,783.5,38.29210591316223
188,200,10,10,0.0019,1.0,779.4,38.48961663246155
189,200,10,10,0.00342,1.0,775.6,38.677841901779175
190,200,10,10,0.0017,1.0,772.3,38.84502959251404
191,200,10,10,0.04176,0.98667,768.3,39.0490882396698
192,200,10,10,0.01451,1.0,764.0,39.26555800437927
193,200,10,10,0.0208,0.98667,760.8,39.43450117111206
194,200,10,10,0.01126,1.0,757.6,39.59830045700073
195,200,10,10,0.00277,1.0,753.8,39.79954195022583
196,200,10,10,0.00316,1.0,749.5,40.02594828605652
197,200,10,10,0.01051,0.99333,746.5,40.1889545917511
198,200,10,10,0.00229,1.0,743.5,40.34745502471924
199,200,10,10,0.00151,1.0,740.1,40.53499984741211
200,200,10,10,0.01182,0.99333,736.1,40.754080057144165
