epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,200,10,10,1.61172,0.18667,13150.5,2.2812769412994385
2,200,10,10,1.6101,0.2,12205.9,2.457834482192993
3,200,10,10,1.60997,0.2,11221.6,2.6734180450439453
4,200,10,10,1.61079,0.2,10325.9,2.9053289890289307
5,200,10,10,1.61052,0.18667,9503.1,3.1568520069122314
6,200,10,10,1.61003,0.2,8782.5,3.415865898132324
7,200,10,10,1.60952,0.2,8350.6,3.592547416687012
8,200,10,10,1.60965,0.21333,7908.5,3.793368577957153
9,200,10,10,1.60913,0.2,7273.7,4.124434947967529
10,200,10,10,1.61057,0.2,6763.9,4.435338020324707
11,200,10,10,1.61076,0.15333,6374.1,4.706550598144531
12,200,10,10,1.60941,0.18667,6066.5,4.945220947265625
13,200,10,10,1.60977,0.22,5854.9,5.123875856399536
14,200,10,10,1.61025,0.21333,5607.8,5.349720001220703
15,200,10,10,1.60997,0.17333,5343.1,5.61469292640686
16,200,10,10,1.60998,0.18,5074.1,5.912428379058838
17,200,10,10,1.60884,0.24667,4861.0,6.17158317565918
18,200,10,10,1.6103,0.17333,4725.5,6.3485267162323
19,200,10,10,1.61093,0.17333,4555.5,6.585411548614502
20,200,10,10,1.60998,0.19333,4409.3,6.803875684738159
21,200,10,10,1.61022,0.18,4275.6,7.016489744186401
22,200,10,10,1.60989,0.18,4144.6,7.238355875015259
23,200,10,10,1.60992,0.2,3996.6,7.50633430480957
24,200,10,10,1.60644,0.18667,3842.4,7.807521343231201
25,200,10,10,1.5874,0.20667,3688.0,8.134477853775024
26,200,10,10,1.60439,0.24,3533.9,8.489301681518555
27,200,10,10,1.60623,0.25333,3424.3,8.760880470275879
28,200,10,10,1.58418,0.23333,3346.9,8.963500738143921
29,200,10,10,1.58059,0.25333,3263.5,9.192713499069214
30,200,10,10,1.54505,0.29333,3174.9,9.449151754379272
31,200,10,10,1.53491,0.3,3073.8,9.759811162948608
32,200,10,10,1.51252,0.32,2970.3,10.099888324737549
33,200,10,10,1.45052,0.32667,2894.6,10.364261150360107
34,200,10,10,1.36367,0.38667,2844.2,10.54782748222351
35,200,10,10,1.28109,0.38667,2780.5,10.78935956954956
36,200,10,10,1.16526,0.43333,2711.5,11.063903331756592
37,200,10,10,1.21448,0.44667,2655.9,11.295593500137327
38,200,10,10,1.35507,0.42,2594.5,11.56290054321289
39,200,10,10,1.18934,0.5,2554.3,11.744986772537231
40,200,10,10,1.07818,0.52667,2496.3,12.018010377883911
41,200,10,10,0.9546,0.57333,2421.3,12.390186786651611
42,200,10,10,0.99502,0.6,2363.0,12.69585418701172
43,200,10,10,0.96695,0.58667,2330.1,12.875033140182495
44,200,10,10,0.86539,0.62,2282.0,13.146296501159668
45,200,10,10,0.7996,0.67333,2217.9,13.526465654373167
46,200,10,10,0.74275,0.67333,2165.6,13.853037118911743
47,200,10,10,0.72047,0.67333,2097.5,14.302827835083008
48,200,10,10,0.66632,0.71333,2037.4,14.72452425956726
49,200,10,10,0.70764,0.7,2010.3,14.922915935516356
