epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.60734,0.2,2026.9,2.4668164253234863
2,100,4,4,1.45815,0.5,1838.4,2.719756841659546
3,100,4,4,1.42348,0.52,1662.0,3.0083675384521484
4,100,4,4,1.29315,0.76,1537.0,3.2531280517578125
5,100,4,4,1.2266,0.78,1429.8,3.4970993995666504
6,100,4,4,1.14286,0.82,1331.9,3.7541139125823975
7,100,4,4,1.03381,0.86,1255.4,3.982849597930908
8,100,4,4,1.02979,0.86,1185.5,4.217570066452026
9,100,4,4,0.90986,0.94,1123.7,4.449672222137451
10,100,4,4,0.88389,0.94,1062.5,4.705693483352661
11,100,4,4,0.84605,0.96,1012.2,4.9395177364349365
12,100,4,4,0.74514,0.94,963.2,5.1909589767456055
13,100,4,4,0.66241,0.96,914.9,5.46497106552124
14,100,4,4,0.58155,1.0,874.2,5.719464302062988
15,100,4,4,0.59837,0.98,837.8,5.968167781829834
16,100,4,4,0.63854,0.94,804.5,6.215224027633667
17,100,4,4,0.52081,0.98,772.1,6.475831747055054
18,100,4,4,0.53904,0.98,746.9,6.6946985721588135
19,100,4,4,0.54319,0.96,722.6,6.9196617603302
20,100,4,4,0.42749,0.98,699.4,7.14850640296936
21,100,4,4,0.39434,1.0,675.9,7.398051261901855
22,100,4,4,0.40864,0.98,654.9,7.6348114013671875
23,100,4,4,0.39061,0.98,635.7,7.865770578384399
24,100,4,4,0.38967,0.96,616.3,8.112772464752197
25,100,4,4,0.37775,0.98,598.4,8.355794429779053
26,100,4,4,0.30164,0.98,581.6,8.597012758255005
27,100,4,4,0.3269,0.98,564.7,8.85436749458313
28,100,4,4,0.23742,1.0,549.9,9.091744422912598
29,100,4,4,0.29397,0.98,536.7,9.316148281097412
30,100,4,4,0.20415,0.98,524.9,9.525058269500732
31,100,4,4,0.18323,1.0,511.3,9.778712511062622
32,100,4,4,0.20166,0.98,499.9,10.002466678619385
33,100,4,4,0.26523,0.98,489.1,10.22303342819214
34,100,4,4,0.17324,0.98,478.6,10.446865558624268
35,100,4,4,0.17265,1.0,468.7,10.668210744857788
36,100,4,4,0.12934,1.0,459.1,10.890249967575071
37,100,4,4,0.15604,0.98,450.0,11.111139059066772
38,100,4,4,0.14097,1.0,441.5,11.324103832244871
39,100,4,4,0.18833,1.0,432.3,11.565184354782104
40,100,4,4,0.11171,1.0,423.2,11.815401077270508
41,100,4,4,0.13337,0.98,415.0,12.04799199104309
42,100,4,4,0.11872,1.0,407.6,12.26791787147522
43,100,4,4,0.14072,1.0,400.0,12.499406337738035
44,100,4,4,0.16865,0.98,391.6,12.76795244216919
45,100,4,4,0.07936,1.0,384.3,13.009530067443848
46,100,4,4,0.09432,1.0,377.7,13.238579988479614
47,100,4,4,0.0891,1.0,371.9,13.446049451828005
48,100,4,4,0.12422,0.98,365.6,13.675506114959717
49,100,4,4,0.14213,0.96,359.5,13.908204078674316
50,100,4,4,0.09029,1.0,353.7,14.136686086654665
51,100,4,4,0.08445,1.0,348.1,14.365533590316772
52,100,4,4,0.07103,1.0,342.9,14.582875728607178
53,100,4,4,0.13039,0.96,337.8,14.80250072479248
54,100,4,4,0.05737,0.98,332.6,15.03404140472412
55,100,4,4,0.0541,1.0,327.9,15.248085260391235
56,100,4,4,0.05389,1.0,323.5,15.458094358444214
57,100,4,4,0.07235,1.0,319.0,15.673611402511597
58,100,4,4,0.05944,0.98,314.1,15.91977310180664
59,100,4,4,0.06084,1.0,309.6,16.14808201789856
60,100,4,4,0.05963,1.0,305.1,16.388306856155396
61,100,4,4,0.07335,0.98,300.9,16.618422269821167
62,100,4,4,0.05374,1.0,297.1,16.82984709739685
63,100,4,4,0.06206,1.0,292.9,17.071149826049805
64,100,4,4,0.11238,0.98,289.1,17.292568922042847
65,100,4,4,0.05397,1.0,285.3,17.526824235916138
66,100,4,4,0.0339,1.0,281.4,17.765689373016357
67,100,4,4,0.04569,1.0,277.5,18.015427827835083
68,100,4,4,0.09025,0.96,274.2,18.23533344268799
69,100,4,4,0.09941,0.98,270.7,18.46883511543274
70,100,4,4,0.04135,1.0,267.5,18.69249987602234
71,100,4,4,0.04122,1.0,263.7,18.961970329284668
72,100,4,4,0.05138,1.0,260.3,19.209058046340942
73,100,4,4,0.04561,1.0,256.9,19.46311974525452
74,100,4,4,0.09579,1.0,254.0,19.686733722686768
75,100,4,4,0.02909,1.0,251.0,19.916441202163696
76,100,4,4,0.05555,1.0,247.2,20.225017070770264
77,100,4,4,0.03813,1.0,243.9,20.502666234970093
78,100,4,4,0.07906,0.98,240.9,20.753879070281982
79,100,4,4,0.08467,0.96,238.2,20.98917412757873
80,100,4,4,0.08698,0.96,235.7,21.209715843200684
81,100,4,4,0.02819,1.0,233.2,21.438116312026978
82,100,4,4,0.0283,1.0,230.7,21.67458868026733
83,100,4,4,0.05808,1.0,228.1,21.91890788078308
84,100,4,4,0.02875,1.0,225.7,22.153329610824585
85,100,4,4,0.03378,1.0,223.2,22.40467858314514
86,100,4,4,0.03137,1.0,220.6,22.664388418197632
87,100,4,4,0.07055,0.98,218.3,22.90747594833374
88,100,4,4,0.04074,1.0,216.2,23.12337350845337
89,100,4,4,0.0294,1.0,213.8,23.38372302055359
90,100,4,4,0.02862,1.0,211.3,23.66179060935974
91,100,4,4,0.02307,1.0,209.2,23.90514659881592
92,100,4,4,0.02744,1.0,207.1,24.14620065689087
93,100,4,4,0.02769,1.0,204.8,24.413191556930546
94,100,4,4,0.01991,1.0,202.6,24.673614978790283
95,100,4,4,0.03436,1.0,200.7,24.907710552215576
96,100,4,4,0.01546,1.0,198.9,25.13969993591309
97,100,4,4,0.02053,1.0,197.3,25.342015981674194
98,100,4,4,0.01905,1.0,195.6,25.55772113800049
99,100,4,4,0.0348,1.0,193.9,25.78047776222229
100,100,4,4,0.02908,1.00000,192.2,26.015641450881958
