epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.92928,0.64,24477.4,3.268315076828003
2,100,50,50,0.30673,0.90125,16236.7,4.927095413208008
3,100,50,50,0.12957,0.97,12102.5,6.610199213027954
4,100,50,50,0.07295,0.98625,9534.0,8.39102840423584
5,100,50,50,0.07114,0.98,7870.8,10.164090633392334
6,100,50,50,0.04902,0.99,6722.7,11.899989366531372
7,100,50,50,0.02871,0.99875,5855.0,13.66363787651062
8,100,50,50,0.03135,0.995,5209.8,15.355581283569336
9,100,50,50,0.02241,0.995,4707.5,16.99416995048523
10,100,50,50,0.01929,0.99625,4260.8,18.775957345962524
11,100,50,50,0.03299,0.99,3900.4,20.51064801216125
12,100,50,50,0.01029,1.0,3603.8,22.19893264770508
13,100,50,50,0.01887,0.995,3342.3,23.935529947280884
14,100,50,50,0.04198,0.98875,3113.3,25.696576356887817
15,100,50,50,0.05176,0.98,2923.8,27.36159348487854
16,100,50,50,0.02894,0.9925,2743.6,29.15881896018982
17,100,50,50,0.01437,0.99625,2588.2,30.90934944152832
18,100,50,50,0.03577,0.985,2456.7,32.563823223114014
19,100,50,50,0.05263,0.985,2332.0,34.30536794662476
20,100,50,50,0.02543,0.99125,2224.6,35.96204662322998
21,100,50,50,0.01987,0.99625,2126.5,37.62071371078491
22,100,50,50,0.01717,0.9975,2032.8,39.35461068153381
23,100,50,50,0.02101,0.99375,1954.7,40.92681336402893
24,100,50,50,0.02973,0.99,1879.6,42.56246948242188
25,100,50,50,0.02032,0.99375,1807.1,44.27061486244202
26,100,50,50,0.01218,0.99625,1742.4,45.91343879699707
27,100,50,50,0.02162,0.9925,1679.5,47.63345837593079
28,100,50,50,0.00544,1.0,1615.9,49.50816535949707
29,100,50,50,0.01802,0.99375,1558.6,51.32937002182007
30,100,50,50,0.01116,0.99625,1507.7,53.06175756454468
31,100,50,50,0.01496,0.99375,1461.4,54.74188542366028
32,100,50,50,0.03644,0.99,1418.9,56.38047170639038
33,100,50,50,0.02169,0.99125,1375.6,58.15846395492554
34,100,50,50,0.00685,1.0,1335.9,59.88665580749512
35,100,50,50,0.01591,0.995,1300.7,61.50614523887634
36,100,50,50,0.01943,0.9975,1265.9,63.19816112518311
37,100,50,50,0.00412,0.9975,1231.3,64.97154021263123
38,100,50,50,0.00349,1.0,1198.3,66.76141142845154
39,100,50,50,0.01017,0.995,1169.2,68.42182302474976
40,100,50,50,0.00747,0.9975,1139.7,70.19482946395874
