epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.75293,0.26,2761.1,1.810845136642456
2,100,4,4,0.59293,0.84,2656.8,1.88199782371521
3,100,4,4,0.24511,0.98,2551.5,1.9596636295318604
4,100,4,4,0.12895,1.0,2447.6,2.0427935123443604
5,100,4,4,0.10973,1.0,2335.3,2.1410346031188965
6,100,4,4,0.11485,1.0,2233.1,2.239066362380981
7,100,4,4,0.05233,1.0,2165.2,2.309223175048828
8,100,4,4,0.08462,1.0,2108.1,2.3718361854553223
9,100,4,4,0.05462,1.0,2056.1,2.431753635406494
10,100,4,4,0.03648,1.0,2008.8,2.4889895915985107
11,100,4,4,0.01732,1.0,1958.2,2.5533547401428223
12,100,4,4,0.0453,1.0,1898.2,2.634089469909668
13,100,4,4,0.10343,0.98,1843.3,2.7125933170318604
14,100,4,4,0.06557,0.98,1792.9,2.788714408874512
15,100,4,4,0.03443,0.98,1747.0,2.862119436264038
16,100,4,4,0.04182,1.0,1708.6,2.926378965377808
17,100,4,4,0.10531,0.96,1672.5,2.9895379543304443
18,100,4,4,0.01586,1.0,1636.2,3.0558884143829346
19,100,4,4,0.11642,0.96,1597.4,3.1300301551818848
20,100,4,4,0.04175,1.0,1564.9,3.1950528621673584
21,100,4,4,0.05223,0.98,1532.7,3.262281894683838
22,100,4,4,0.11748,0.96,1497.5,3.3388988971710205
23,100,4,4,0.09695,0.98,1463.5,3.416473865509033
24,100,4,4,0.09337,0.96,1430.5,3.4952526092529297
25,100,4,4,0.05316,0.98,1393.4,3.588240146636963
26,100,4,4,0.11474,0.96,1363.6,3.666860818862915
27,100,4,4,0.03104,1.0,1337.3,3.738797426223755
28,100,4,4,0.0582,0.98,1311.2,3.81334400177002
29,100,4,4,0.03591,1.0,1284.8,3.891505241394043
30,100,4,4,0.027,1.0,1256.9,3.9779131412506095
31,100,4,4,0.02258,1.0,1230.7,4.062618732452393
32,100,4,4,0.03887,0.98,1204.0,4.152965545654297
33,100,4,4,0.0226,1.0,1178.5,4.2428083419799805
34,100,4,4,0.11015,0.98,1154.8,4.329901456832886
35,100,4,4,0.04715,0.98,1133.3,4.411725282669067
36,100,4,4,0.04726,0.98,1106.8,4.517335414886475
37,100,4,4,0.09262,0.96,1088.0,4.595399618148804
38,100,4,4,0.03571,1.0,1070.4,4.671368837356567
39,100,4,4,0.02358,1.0,1055.0,4.739253759384155
40,100,4,4,0.01753,1.0,1038.8,4.813065767288208
41,100,4,4,0.03314,1.0,1022.7,4.888853788375855
42,100,4,4,0.12037,0.92,1004.5,4.977809429168701
43,100,4,4,0.01631,1.0,985.2,5.074923038482666
44,100,4,4,0.01049,1.0,966.4,5.174075841903687
45,100,4,4,0.12407,0.98,949.3,5.267282009124756
46,100,4,4,0.09041,0.96,936.9,5.33670711517334
47,100,4,4,0.0315,1.0,922.8,5.418009042739868
48,100,4,4,0.03075,1.0,910.8,5.489774703979492
49,100,4,4,0.03898,0.98,900.3,5.553549766540527
50,100,4,4,0.01933,1.0,889.7,5.62005090713501
51,100,4,4,0.01563,1.0,877.1,5.700623035430908
52,100,4,4,0.0133,1.0,866.2,5.772351741790772
53,100,4,4,0.04716,0.98,854.8,5.849600315093994
54,100,4,4,0.01669,1.0,842.5,5.93473219871521
55,100,4,4,0.01112,1.0,831.2,6.015272617340088
56,100,4,4,0.07975,0.98,823.0,6.075551986694336
57,100,4,4,0.03299,0.98,812.4,6.154572248458862
58,100,4,4,0.02005,1.0,802.7,6.229197502136231
59,100,4,4,0.01191,1.0,792.6,6.308486223220825
60,100,4,4,0.08542,0.98,784.3,6.375243425369263
61,100,4,4,0.10972,0.98,775.3,6.449055910110474
62,100,4,4,0.01403,1.0,767.2,6.5168328285217285
63,100,4,4,0.01659,1.0,756.7,6.6073386669158936
64,100,4,4,0.02324,1.0,747.3,6.690791368484497
65,100,4,4,0.01143,1.0,737.7,6.777446746826172
66,100,4,4,0.01789,1.0,730.1,6.847981214523315
67,100,4,4,0.022,1.0,722.7,6.918569564819336
68,100,4,4,0.0199,1.0,713.3,7.009313106536865
69,100,4,4,0.10537,0.96,706.1,7.081527948379517
70,100,4,4,0.04259,0.98,698.8,7.154630899429321
71,100,4,4,0.02609,1.0,691.0,7.235963821411133
72,100,4,4,0.01826,1.0,683.4,7.316531181335449
73,100,4,4,0.0296,1.0,675.6,7.401195764541626
74,100,4,4,0.03909,1.0,669.6,7.46718430519104
75,100,4,4,0.02487,1.0,664.0,7.529841423034668
76,100,4,4,0.04342,0.98,658.3,7.595173358917236
77,100,4,4,0.01365,1.0,652.8,7.65906834602356
78,100,4,4,0.01454,1.0,647.2,7.725095272064209
79,100,4,4,0.14544,0.96,642.1,7.787164211273193
80,100,4,4,0.03072,1.0,636.0,7.861650466918945
81,100,4,4,0.02605,0.98,630.3,7.93253755569458
82,100,4,4,0.11572,0.98,623.4,8.020970344543457
83,100,4,4,0.01444,1.0,616.4,8.111321687698364
84,100,4,4,0.05534,0.98,609.4,8.204334497451782
85,100,4,4,0.14316,0.96,604.1,8.276593685150146
86,100,4,4,0.02869,0.98,599.3,8.343698978424072
87,100,4,4,0.00823,1.0,594.5,8.410032510757446
88,100,4,4,0.01427,1.0,589.6,8.480684041976929
89,100,4,4,0.02526,1.0,584.3,8.55741810798645
90,100,4,4,0.01025,1.0,579.5,8.628852844238281
91,100,4,4,0.12884,0.96,574.1,8.70979928970337
92,100,4,4,0.01051,1.0,567.7,8.806923389434814
93,100,4,4,0.03588,0.98,562.7,8.88575267791748
94,100,4,4,0.01299,1.0,557.8,8.96323275566101
95,100,4,4,0.02505,0.98,553.9,9.027694702148438
96,100,4,4,0.02548,1.0,548.3,9.11849045753479
97,100,4,4,0.10299,0.98,544.4,9.185243368148804
98,100,4,4,0.04188,1.0,540.2,9.25581192970276
99,100,4,4,0.11193,0.98,536.0,9.32859754562378
100,100,4,4,0.04483,1.00000,532.2,9.395094871520996
