epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,1.40628,0.4625,16045.4,4.985845327377319
2,100,50,50,0.95319,0.71,9963.0,8.02968454360962
3,100,50,50,0.68715,0.79375,7334.4,10.90756344795227
4,100,50,50,0.52876,0.85,5844.0,13.68913722038269
5,100,50,50,0.40272,0.87875,4786.2,16.714893102645874
6,100,50,50,0.2626,0.9175,4060.6,19.70165324211121
7,100,50,50,0.20211,0.935,3542.7,22.581510305404663
8,100,50,50,0.18056,0.9425,3130.3,25.556894540786743
9,100,50,50,0.16114,0.95375,2803.0,28.541221380233765
10,100,50,50,0.15027,0.95625,2536.2,31.54266142845153
11,100,50,50,0.12083,0.9675,2322.4,34.44705533981323
12,100,50,50,0.08972,0.98,2143.3,37.32512450218201
13,100,50,50,0.08989,0.98125,1983.6,40.33074474334717
14,100,50,50,0.06826,0.985,1847.0,43.31371474266052
15,100,50,50,0.04903,0.99375,1730.8,46.220378160476685
16,100,50,50,0.04053,0.99,1625.6,49.21191787719727
17,100,50,50,0.05192,0.9875,1533.6,52.16402244567871
18,100,50,50,0.0307,0.99125,1458.0,54.86909103393555
19,100,50,50,0.04404,0.99,1386.5,57.69922733306885
20,100,50,50,0.04611,0.98875,1320.8,60.56849694252014
21,100,50,50,0.0589,0.9825,1263.3,63.3278865814209
22,100,50,50,0.03596,0.98875,1206.6,66.3008759021759
23,100,50,50,0.03455,0.99,1153.7,69.34430408477783
24,100,50,50,0.03542,0.99375,1107.1,72.2606692314148
25,100,50,50,0.03724,0.99125,1067.3,74.9582884311676
26,100,50,50,0.04235,0.98625,1029.2,77.73044395446777
27,100,50,50,0.02797,0.995,993.5,80.52712154388428
28,100,50,50,0.01274,1.0,958.5,83.45945048332214
29,100,50,50,0.02446,0.9925,925.3,86.45525074005127
30,100,50,50,0.01769,0.99625,894.4,89.44791221618652
31,100,50,50,0.02729,0.995,866.5,92.32085180282591
32,100,50,50,0.02076,0.99625,840.3,95.20373964309692
33,100,50,50,0.02868,0.99,815.5,98.10121703147888
34,100,50,50,0.02554,0.9925,792.1,100.99444794654846
35,100,50,50,0.01953,0.99625,769.8,103.91977381706238
36,100,50,50,0.04294,0.98875,749.5,106.74451804161072
37,100,50,50,0.0175,0.9975,729.6,109.64413213729858
38,100,50,50,0.01374,0.99625,710.0,112.67422866821288
39,100,50,50,0.01698,0.99625,690.9,115.794025182724
40,100,50,50,0.02179,0.99125,673.4,118.80375289916992
41,100,50,50,0.01729,0.995,657.0,121.76752519607544
42,100,50,50,0.01348,0.9975,641.3,124.7369647026062
43,100,50,50,0.00675,1.0,625.9,127.80583930015564
44,100,50,50,0.01289,0.99625,611.5,130.81601786613464
45,100,50,50,0.01426,0.99625,598.2,133.7271385192871
46,100,50,50,0.0159,0.9975,585.7,136.59352660179138
47,100,50,50,0.01431,0.9925,573.8,139.43168187141418
48,100,50,50,0.00991,0.9975,561.9,142.37288975715637
49,100,50,50,0.00936,0.99875,551.2,145.1480164527893
50,100,50,50,0.00634,0.99875,540.3,148.05750060081482
51,100,50,50,0.01132,0.99875,529.2,151.16184401512146
52,100,50,50,0.00577,1.0,518.7,154.2261085510254
53,100,50,50,0.0076,0.9975,508.6,157.2791919708252
54,100,50,50,0.00376,1.0,499.5,160.16343331336975
55,100,50,50,0.00484,1.0,490.5,163.11439323425293
56,100,50,50,0.00524,1.0,481.6,166.11432003974917
57,100,50,50,0.00383,0.99875,473.0,169.14133858680725
58,100,50,50,0.00402,1.0,465.1,172.00272917747498
59,100,50,50,0.0146,0.995,456.9,175.0764560699463
60,100,50,50,0.01432,0.99625,449.2,178.08875155448914
61,100,50,50,0.01614,0.99375,441.8,181.0637912750244
62,100,50,50,0.00415,1.0,434.8,183.9979259967804
63,100,50,50,0.00504,0.99875,428.0,186.9099762439728
64,100,50,50,0.00523,0.99875,421.3,189.90644478797915
65,100,50,50,0.01888,0.99625,414.9,192.8186197280884
66,100,50,50,0.01641,0.99375,408.6,195.78937101364136
67,100,50,50,0.01101,0.9975,402.8,198.6160836219788
68,100,50,50,0.0057,0.99875,396.7,201.64969635009768
69,100,50,50,0.00381,0.99875,391.1,204.5383079051972
70,100,50,50,0.00255,1.0,385.4,207.59589171409607
