epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.96768,0.64,16086.0,4.973262310028076
2,100,50,50,0.47379,0.84,11653.8,6.864731788635254
3,100,50,50,0.33607,0.88625,9082.2,8.808401584625244
4,100,50,50,0.21314,0.9325,7454.7,10.73141360282898
5,100,50,50,0.13903,0.965,6327.9,12.642332553863524
6,100,50,50,0.10264,0.97125,5490.5,14.57056450843811
7,100,50,50,0.08667,0.97375,4816.8,16.608508586883545
8,100,50,50,0.05853,0.98625,4303.3,18.59036374092102
9,100,50,50,0.06333,0.98125,3870.7,20.668248653411865
10,100,50,50,0.06913,0.98125,3517.2,22.745471954345703
11,100,50,50,0.06649,0.9825,3245.2,24.65211534500122
12,100,50,50,0.04517,0.98875,3022.2,26.470499992370605
13,100,50,50,0.04051,0.98625,2825.6,28.312608242034912
14,100,50,50,0.05254,0.97875,2654.4,30.13853096961975
15,100,50,50,0.05376,0.98,2505.0,31.935710191726685
16,100,50,50,0.06099,0.98375,2366.4,33.80710411071777
17,100,50,50,0.04819,0.98875,2248.0,35.5879123210907
18,100,50,50,0.02691,0.99,2143.2,37.32698822021485
19,100,50,50,0.02643,0.9925,2043.2,39.154847383499146
20,100,50,50,0.01855,0.9925,1957.9,40.85948872566223
21,100,50,50,0.02193,0.99375,1874.1,42.68661642074585
22,100,50,50,0.02932,0.99125,1799.9,44.44803094863892
23,100,50,50,0.04929,0.98375,1731.7,46.19808077812195
24,100,50,50,0.0373,0.9925,1665.2,48.04216623306274
25,100,50,50,0.01603,0.995,1602.6,49.91878128051758
26,100,50,50,0.01729,0.99375,1548.1,51.67460250854492
27,100,50,50,0.01802,0.995,1496.3,53.46607661247253
28,100,50,50,0.01821,0.995,1446.4,55.31127643585205
29,100,50,50,0.0271,0.99125,1400.2,57.13621425628662
30,100,50,50,0.01766,0.99625,1357.0,58.95258140563965
31,100,50,50,0.01365,0.99625,1314.9,60.839030265808105
32,100,50,50,0.00435,0.99875,1274.1,62.78843569755554
33,100,50,50,0.01539,0.995,1236.1,64.71874523162842
34,100,50,50,0.00596,1.0,1202.0,66.55522298812866
35,100,50,50,0.00953,0.9975,1169.3,68.41834855079651
36,100,50,50,0.00499,1.0,1138.1,70.29419708251953
37,100,50,50,0.00453,0.99875,1108.6,72.16265416145325
38,100,50,50,0.00688,0.99875,1080.1,74.06775331497192
39,100,50,50,0.00258,1.0,1053.5,75.93836736679077
40,100,50,50,0.00216,1.0,1030.3,77.64465355873108
41,100,50,50,0.01266,0.9975,1006.7,79.46800589561462
42,100,50,50,0.0384,0.9875,984.3,81.27838706970215
43,100,50,50,0.04,0.99,962.5,83.12026071548462
44,100,50,50,0.04121,0.98875,941.8,84.94167804718018
45,100,50,50,0.03441,0.98875,921.7,86.79476642608643
46,100,50,50,0.02008,0.995,902.7,88.62107872962952
47,100,50,50,0.01313,0.99625,885.0,90.39967966079712
