epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.8677,0.65,35186.8,2.273582935333252
2,100,50,50,0.35718,0.87625,25061.9,3.192101240158081
3,100,50,50,0.20157,0.9375,19641.7,4.072962045669556
4,100,50,50,0.15452,0.94625,16094.9,4.970529317855835
5,100,50,50,0.11782,0.965,13833.9,5.782885551452637
6,100,50,50,0.0991,0.97125,11927.3,6.707299470901489
7,100,50,50,0.12248,0.96,10588.5,7.555357456207275
8,100,50,50,0.07566,0.98,9514.9,8.407883882522583
9,100,50,50,0.06003,0.98,8630.9,9.269073486328123
10,100,50,50,0.04608,0.9875,7889.2,10.14039707183838
11,100,50,50,0.03762,0.99,7261.2,11.01744794845581
12,100,50,50,0.0328,0.9925,6715.9,11.91202473640442
13,100,50,50,0.04709,0.98625,6248.7,12.802617073059082
14,100,50,50,0.02066,0.99625,5843.9,13.689594745635986
15,100,50,50,0.01332,1.0,5480.1,14.598355531692505
16,100,50,50,0.01528,0.995,5132.2,15.587734937667848
17,100,50,50,0.0201,0.99625,4862.9,16.451239109039307
18,100,50,50,0.02174,0.995,4615.7,17.33204483985901
19,100,50,50,0.01881,0.99625,4392.4,18.21313691139221
20,100,50,50,0.04005,0.9925,4198.6,19.0538911819458
21,100,50,50,0.02648,0.99375,4007.1,19.96479654312133
22,100,50,50,0.02629,0.995,3846.9,20.7959053516388
23,100,50,50,0.01664,0.99375,3694.6,21.65326380729676
24,100,50,50,0.00959,0.99625,3547.7,22.550040245056152
25,100,50,50,0.00906,1.0,3407.1,23.48060297966004
26,100,50,50,0.02761,0.99375,3280.8,24.38394331932068
27,100,50,50,0.05126,0.98625,3167.5,25.25625348091125
28,100,50,50,0.02399,0.99375,3057.8,26.16286826133728
29,100,50,50,0.03241,0.99125,2952.4,27.09652256965637
30,100,50,50,0.05086,0.98375,2850.2,28.06782388687133
31,100,50,50,0.06123,0.985,2756.2,29.02505373954773
32,100,50,50,0.06556,0.985,2671.8,29.942119598388672
33,100,50,50,0.06585,0.98375,2592.9,30.85405993461609
34,100,50,50,0.03385,0.9875,2516.4,31.79107117652893
35,100,50,50,0.04869,0.98625,2447.1,32.692299127578735
36,100,50,50,0.02938,0.99125,2379.6,33.61882305145264
37,100,50,50,0.02417,0.9975,2315.5,34.55015516281128
38,100,50,50,0.01033,0.9975,2255.6,35.46671295166016
39,100,50,50,0.04602,0.99,2198.4,36.39013123512268
40,100,50,50,0.03591,0.99625,2142.9,37.332855463027954
41,100,50,50,0.01563,0.995,2090.2,38.273826122283936
42,100,50,50,0.00656,1.0,2042.0,39.17652773857117
43,100,50,50,0.00124,1.0,1997.2,40.05609750747681
44,100,50,50,0.00203,1.0,1953.0,40.96178197860718
45,100,50,50,0.00397,1.0,1911.0,41.86201167106629
46,100,50,50,0.00363,1.0,1871.3,42.75018286705017
47,100,50,50,0.00408,0.99875,1833.0,43.6438581943512
48,100,50,50,0.0013,1.0,1796.6,44.52806162834168
