epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.91165,0.62875,23103.4,3.462691307067871
2,100,50,50,0.50432,0.81375,14480.8,5.524567127227783
3,100,50,50,0.32,0.88625,10500.6,7.61860990524292
4,100,50,50,0.20763,0.925,8552.1,9.354432821273804
5,100,50,50,0.1775,0.94125,7044.5,11.356340885162354
6,100,50,50,0.12013,0.965,5967.3,13.406419277191162
7,100,50,50,0.09793,0.96375,5254.7,15.22442865371704
8,100,50,50,0.09836,0.96875,4703.3,17.009280681610107
9,100,50,50,0.06144,0.98,4181.4,19.13236975669861
10,100,50,50,0.1082,0.96875,3803.8,21.031704664230347
11,100,50,50,0.07626,0.97375,3505.4,22.821649074554443
12,100,50,50,0.1606,0.96,3231.1,24.75936269760132
13,100,50,50,0.08263,0.975,2980.6,26.840519189834595
14,100,50,50,0.09867,0.9725,2798.1,28.59052991867065
15,100,50,50,0.02336,0.98875,2622.9,30.501123189926147
16,100,50,50,0.00856,0.99875,2511.8,31.85018944740296
17,100,50,50,0.00602,0.9975,2410.2,33.192705392837524
18,100,50,50,0.00209,1.0,2316.5,34.53468871116638
19,100,50,50,0.00062,1.0,2222.3,35.99894380569458
20,100,50,50,0.00018,1.0,2136.4,37.44565153121948
21,100,50,50,0.00016,1.0,2009.4,39.812424182891846
22,100,50,50,7e-05,1.0,1900.3,42.098509311676025
23,100,50,50,9e-05,1.0,1805.0,44.32033157348633
24,100,50,50,5e-05,1.0,1716.0,46.62137842178345
25,100,50,50,3e-05,1.0,1638.1,48.83568954467773
26,100,50,50,6e-05,1.0,1559.1,51.311030626297
27,100,50,50,4e-05,1.0,1481.7,53.99322199821472
28,100,50,50,3e-05,1.0,1414.7,56.549057483673096
29,100,50,50,2e-05,1.0,1354.9,59.04350876808167
30,100,50,50,2e-05,1.0,1300.4,61.51852869987488
31,100,50,50,2e-05,1.0,1250.4,63.977787017822266
32,100,50,50,2e-05,1.0,1204.3,66.42811369895935
33,100,50,50,2e-05,1.0,1161.5,68.87764072418213
34,100,50,50,3e-05,1.0,1121.6,71.32645034790039
35,100,50,50,9e-05,1.0,1084.9,73.74047017097473
36,100,50,50,3e-05,1.0,1051.0,76.12100148200989
37,100,50,50,2e-05,1.0,1018.0,78.58880114555359
38,100,50,50,1e-05,1.0,986.9,81.06021976470947
39,100,50,50,1e-05,1.0,960.0,83.33319115638733
40,100,50,50,1e-05,1.0,934.8,85.58424735069275
41,100,50,50,1e-05,1.0,911.1,87.80767440795898
42,100,50,50,1e-05,1.0,888.3,90.06026101112366
43,100,50,50,1e-05,1.0,865.8,92.39546847343443
44,100,50,50,1e-05,1.0,844.6,94.71383547782898
45,100,50,50,1e-05,1.0,824.4,97.037437915802
46,100,50,50,1e-05,1.0,807.1,99.11875915527344
47,100,50,50,1e-05,1.0,788.9,101.4028491973877
48,100,50,50,1e-05,1.0,771.0,103.757883310318
49,100,50,50,1e-05,1.0,753.7,106.13976645469666
50,100,50,50,1e-05,1.0,737.8,108.43214797973631
51,100,50,50,1e-05,1.0,722.0,110.80597853660583
52,100,50,50,1e-05,1.0,707.4,113.08412146568298
53,100,50,50,0.0,1.0,692.4,115.53216743469238
54,100,50,50,0.0,1.0,678.1,117.97143483161926
55,100,50,50,0.0,1.0,664.7,120.36026525497437
56,100,50,50,0.0,1.0,651.9,122.72116351127625
57,100,50,50,0.0,1.0,639.0,125.19570922851562
58,100,50,50,0.0,1.0,625.2,127.9651780128479
59,100,50,50,0.0,1.0,611.9,130.7352056503296
60,100,50,50,0.0,1.0,599.1,133.52382898330688
61,100,50,50,0.0,1.0,588.1,136.02821159362793
62,100,50,50,0.0,1.0,577.1,138.62755179405212
63,100,50,50,0.0,1.0,566.6,141.1867003440857
64,100,50,50,0.0,1.0,556.6,143.73495483398438
65,100,50,50,0.0,1.0,547.9,146.01126646995544
66,100,50,50,0.0,1.0,539.4,148.30760145187378
67,100,50,50,0.0,1.0,531.3,150.5820209980011
68,100,50,50,0.0,1.0,522.7,153.05425810813904
69,100,50,50,0.0,1.0,513.4,155.8253161907196
70,100,50,50,0.0,1.0,504.3,158.62297773361206
71,100,50,50,0.0,1.0,496.3,161.20792627334595
72,100,50,50,0.0,1.0,488.9,163.6407823562622
73,100,50,50,0.0,1.0,481.5,166.1491720676422
74,100,50,50,0.0,1.0,474.4,168.64879250526428
75,100,50,50,0.0,1.0,467.3,171.19208431243896
76,100,50,50,0.0,1.0,460.5,173.73038911819458
77,100,50,50,0.0,1.0,453.9,176.23952317237854
78,100,50,50,0.0,1.0,447.4,178.79791855812073
79,100,50,50,0.0,1.0,440.7,181.54330778121948
80,100,50,50,0.0,1.0,434.3,184.21607542037964
81,100,50,50,0.0,1.0,428.1,186.8852515220642
82,100,50,50,0.0,1.0,422.3,189.41820573806763
83,100,50,50,0.0,1.0,416.8,191.94753313064567
84,100,50,50,0.0,1.0,411.2,194.5305428504944
85,100,50,50,0.0,1.0,405.8,197.1401250362396
86,100,50,50,0.0,1.0,400.5,199.76509022712708
87,100,50,50,0.0,1.0,394.9,202.589369058609
88,100,50,50,0.0,1.0,389.4,205.4259414672852
89,100,50,50,0.0,1.0,384.7,207.93774151802063
90,100,50,50,0.0,1.0,380.2,210.40405321121216
91,100,50,50,0.0,1.0,375.5,213.07465600967407
92,100,50,50,0.0,1.0,370.9,215.71239638328552
93,100,50,50,0.0,1.0,366.2,218.4875326156616
94,100,50,50,0.0,1.0,361.5,221.27314710617063
95,100,50,50,0.0,1.0,357.0,224.0729477405548
96,100,50,50,0.0,1.0,352.6,226.87948441505432
97,100,50,50,0.0,1.0,348.3,229.6639256477356
98,100,50,50,0.0,1.0,344.2,232.42327737808228
99,100,50,50,0.0,1.0,340.5,234.91739773750305
100,100,50,50,0.00000,1.00000,337.3,237.14597296714783
