epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.6509,0.18,1754.2,2.85038161277771
2,100,4,4,1.48333,0.42,1607.7,3.109936475753784
3,100,4,4,1.38789,0.68,1496.1,3.34203577041626
4,100,4,4,1.3035,0.8,1402.2,3.5659303665161133
5,100,4,4,1.23369,0.78,1311.7,3.811756134033203
6,100,4,4,1.1007,0.94,1227.9,4.071872234344482
7,100,4,4,1.10523,0.94,1160.2,4.309539794921875
8,100,4,4,1.00272,0.96,1099.4,4.547936916351318
9,100,4,4,0.90471,0.98,1042.9,4.79430890083313
10,100,4,4,0.89678,0.98,993.2,5.034364700317383
11,100,4,4,0.83082,0.98,945.2,5.289642095565796
12,100,4,4,0.7756,0.98,903.7,5.532858610153198
13,100,4,4,0.72118,1.0,868.0,5.760537147521973
14,100,4,4,0.68786,1.0,831.5,6.012963533401489
15,100,4,4,0.64425,0.98,800.0,6.250011920928955
16,100,4,4,0.57447,1.0,770.6,6.48811936378479
17,100,4,4,0.5611,0.98,744.5,6.716265201568604
18,100,4,4,0.50934,0.98,716.6,6.977689504623413
19,100,4,4,0.45336,1.0,693.9,7.205143451690674
20,100,4,4,0.41217,0.96,672.0,7.439938068389893
21,100,4,4,0.39614,0.96,652.9,7.658440113067627
22,100,4,4,0.42052,1.0,633.7,7.890681505203247
23,100,4,4,0.38748,1.0,616.9,8.105278968811035
24,100,4,4,0.32692,1.0,601.1,8.318217515945435
25,100,4,4,0.32504,0.98,584.7,8.55201005935669
26,100,4,4,0.29739,1.0,567.1,8.816253662109375
27,100,4,4,0.2616,1.0,548.5,9.116354703903198
28,100,4,4,0.243,0.98,533.7,9.369120121002195
29,100,4,4,0.23133,1.0,520.1,9.613663911819458
30,100,4,4,0.2034,1.0,506.8,9.865787982940674
31,100,4,4,0.24629,1.0,492.8,10.146628618240356
32,100,4,4,0.20338,1.0,480.8,10.400036573410034
33,100,4,4,0.16939,0.98,468.6,10.67039179801941
34,100,4,4,0.16208,1.0,456.7,10.94715452194214
35,100,4,4,0.14879,1.0,446.2,11.205289602279665
36,100,4,4,0.18198,1.0,437.1,11.438744068145752
37,100,4,4,0.14712,1.0,427.3,11.702075242996216
