epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.88595,0.685,23077.0,3.4666528701782227
2,100,50,50,0.18651,0.9525,15253.8,5.244604110717773
3,100,50,50,0.06548,0.99,11212.4,7.134969711303711
4,100,50,50,0.04292,0.99125,8920.7,8.967871189117432
5,100,50,50,0.03261,0.99375,7395.5,10.817415475845335
6,100,50,50,0.03981,0.9875,6340.9,12.616474390029907
7,100,50,50,0.04765,0.98125,5537.5,14.446896076202393
8,100,50,50,0.02389,0.995,4909.3,16.29559636116028
9,100,50,50,0.02641,0.9925,4425.4,18.0775785446167
10,100,50,50,0.0183,0.9975,4028.6,19.85810232162476
11,100,50,50,0.00838,1.0,3680.4,21.73699188232422
12,100,50,50,0.01479,0.9975,3390.6,23.59475159645081
13,100,50,50,0.02223,0.99375,3141.6,25.46455216407776
14,100,50,50,0.0084,1.0,2928.0,27.32250690460205
15,100,50,50,0.00797,0.9975,2733.6,29.265456914901733
16,100,50,50,0.01817,0.99625,2572.2,31.10161614418029
17,100,50,50,0.02509,0.9925,2421.9,33.03202843666077
18,100,50,50,0.01838,0.995,2288.3,34.961113929748535
19,100,50,50,0.02611,0.99125,2172.6,36.82192873954773
20,100,50,50,0.01794,0.995,2070.7,38.63472843170166
21,100,50,50,0.02956,0.98875,1971.2,40.58452725410461
22,100,50,50,0.01802,0.99625,1879.8,42.558202505111694
23,100,50,50,0.01594,0.995,1797.4,44.50845003128052
24,100,50,50,0.00476,1.0,1728.8,46.27487325668335
25,100,50,50,0.00646,0.99875,1664.4,48.06533479690552
26,100,50,50,0.00806,0.99875,1601.2,49.96177816390991
27,100,50,50,0.01228,0.9975,1542.8,51.85417580604553
28,100,50,50,0.00369,1.0,1489.3,53.715532064437866
29,100,50,50,0.00259,1.0,1440.3,55.54297208786011
30,100,50,50,0.0043,0.99875,1395.6,57.32413816452026
31,100,50,50,0.00284,1.0,1350.1,59.25685954093933
32,100,50,50,0.00944,0.9975,1308.6,61.13525676727295
33,100,50,50,0.01434,0.99625,1271.1,62.93990349769592
34,100,50,50,0.00617,0.99875,1234.0,64.8313524723053
35,100,50,50,0.00483,0.99875,1200.1,66.66055798530579
36,100,50,50,0.00698,1.0,1167.7,68.51058077812195
37,100,50,50,0.01269,0.99375,1135.2,70.47401833534241
38,100,50,50,0.01641,0.995,1103.7,72.48508143424988
39,100,50,50,0.00335,1.0,1076.2,74.33629584312439
40,100,50,50,0.00347,1.0,1049.0,76.26383829116821
