epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.58179,0.24,2183.1,2.2903122901916504
2,100,4,4,0.87179,0.92,2033.6,2.4586551189422607
3,100,4,4,0.46167,1.0,1915.3,2.6104891300201416
4,100,4,4,0.26536,1.0,1789.1,2.7946856021881104
5,100,4,4,0.24484,0.96,1687.0,2.963899850845337
6,100,4,4,0.11,1.0,1601.4,3.1222617626190186
7,100,4,4,0.08217,1.0,1529.1,3.269887685775757
8,100,4,4,0.09453,0.98,1456.3,3.4333176612854004
9,100,4,4,0.08778,0.96,1390.7,3.595430612564087
10,100,4,4,0.08095,1.0,1323.3,3.7785236835479736
11,100,4,4,0.06132,0.98,1261.7,3.9629065990448
12,100,4,4,0.11924,0.98,1211.1,4.128458261489868
13,100,4,4,0.04387,1.0,1161.5,4.304788827896118
14,100,4,4,0.03392,1.0,1114.6,4.485784292221069
15,100,4,4,0.05764,0.98,1075.0,4.651374101638794
16,100,4,4,0.02069,1.0,1036.4,4.824219226837158
17,100,4,4,0.02193,1.0,997.5,5.012552261352539
18,100,4,4,0.03248,1.0,964.6,5.183635234832764
19,100,4,4,0.03529,1.0,934.1,5.352609157562256
20,100,4,4,0.11948,0.96,907.0,5.512730121612549
21,100,4,4,0.03799,1.0,881.2,5.6742119789123535
22,100,4,4,0.03499,1.0,855.0,5.847811222076416
23,100,4,4,0.11712,0.98,830.4,6.020857334136963
24,100,4,4,0.15108,0.96,811.0,6.16486120223999
25,100,4,4,0.04155,1.0,790.5,6.324959754943848
26,100,4,4,0.16249,0.94,772.0,6.477028846740723
27,100,4,4,0.10994,0.96,753.3,6.637718677520752
28,100,4,4,0.10552,0.98,736.0,6.793600559234619
29,100,4,4,0.18329,0.94,718.3,6.961012840270996
30,100,4,4,0.05233,1.0,699.1,7.151711940765381
31,100,4,4,0.09042,1.0,682.8,7.323035478591919
32,100,4,4,0.16726,0.96,667.2,7.49356198310852
33,100,4,4,0.02274,1.0,651.9,7.669764041900635
34,100,4,4,0.15597,0.96,638.5,7.83143949508667
35,100,4,4,0.06008,1.0,624.3,8.009537935256958
36,100,4,4,0.04607,0.98,609.7,8.20054030418396
37,100,4,4,0.0828,0.98,596.4,8.383331298828125
38,100,4,4,0.07083,0.98,585.4,8.541113138198853
39,100,4,4,0.02298,1.0,574.6,8.701812267303467
40,100,4,4,0.0568,0.98,565.4,8.84342622756958
41,100,4,4,0.01574,1.0,555.4,9.002049684524536
42,100,4,4,0.03592,1.0,543.6,9.19822597503662
43,100,4,4,0.02588,1.0,534.1,9.361474990844728
44,100,4,4,0.01232,1.0,523.9,9.543346643447876
45,100,4,4,0.13356,0.96,514.8,9.711817264556885
46,100,4,4,0.0238,1.0,505.2,9.897250890731812
47,100,4,4,0.04764,1.0,495.8,10.0842387676239
48,100,4,4,0.11804,0.98,487.6,10.255221128463743
49,100,4,4,0.06085,0.98,479.5,10.427869081497192
50,100,4,4,0.14555,0.96,471.2,10.610576868057253
51,100,4,4,0.09129,0.96,464.1,10.77454662322998
52,100,4,4,0.03835,0.98,456.8,10.946043014526367
53,100,4,4,0.0408,1.0,449.0,11.134822368621826
54,100,4,4,0.0524,1.0,442.5,11.298325538635254
55,100,4,4,0.1307,0.98,435.4,11.483330011367798
56,100,4,4,0.02229,1.0,428.9,11.658273696899414
57,100,4,4,0.02043,1.0,422.7,11.829795837402344
58,100,4,4,0.05689,1.0,416.2,12.01256775856018
59,100,4,4,0.13552,0.96,410.4,12.184203386306764
60,100,4,4,0.02939,1.0,405.0,12.34626817703247
61,100,4,4,0.03623,1.0,399.4,12.518594980239868
62,100,4,4,0.09601,0.96,394.2,12.683018684387209
63,100,4,4,0.01744,1.0,388.5,12.870474815368652
64,100,4,4,0.01629,1.0,383.3,13.043118238449097
65,100,4,4,0.15963,0.96,378.6,13.207126140594482
66,100,4,4,0.11065,0.98,373.4,13.390174627304075
67,100,4,4,0.04147,1.0,368.6,13.56657600402832
68,100,4,4,0.03241,0.98,363.9,13.738609075546265
69,100,4,4,0.04609,1.0,359.0,13.926074266433716
70,100,4,4,0.13795,0.96,354.5,14.104608058929443
71,100,4,4,0.02761,1.0,350.2,14.277155637741089
72,100,4,4,0.01782,1.0,346.2,14.442452430725098
73,100,4,4,0.11603,0.96,342.0,14.619792699813845
74,100,4,4,0.09284,0.98,338.1,14.790690422058104
75,100,4,4,0.02344,1.0,334.5,14.948619842529297
76,100,4,4,0.10059,0.98,330.4,15.133853435516356
77,100,4,4,0.09196,0.96,326.1,15.33141827583313
78,100,4,4,0.03181,0.98,322.2,15.51987910270691
79,100,4,4,0.04375,0.98,318.7,15.686979293823242
80,100,4,4,0.03738,0.98,315.0,15.872389316558838
81,100,4,4,0.06445,0.98,311.6,16.046186685562134
82,100,4,4,0.03172,0.98,308.4,16.214481830596924
83,100,4,4,0.10176,0.98,305.2,16.381993055343628
84,100,4,4,0.1696,0.92,301.8,16.567809343338013
85,100,4,4,0.10446,0.96,298.7,16.737329244613647
86,100,4,4,0.15712,0.98,295.5,16.920690298080444
87,100,4,4,0.15998,0.98,292.7,17.08443546295166
88,100,4,4,0.07947,0.98,289.7,17.261048793792725
89,100,4,4,0.10216,0.98,286.6,17.443198442459106
90,100,4,4,0.20908,0.94,283.8,17.615537881851196
91,100,4,4,0.07954,0.98,281.0,17.791386604309082
92,100,4,4,0.02801,1.0,278.3,17.965957403182983
93,100,4,4,0.02424,1.0,275.7,18.138941526412964
94,100,4,4,0.1397,0.98,272.8,18.32817554473877
95,100,4,4,0.02507,1.0,270.3,18.497833490371704
96,100,4,4,0.02887,1.0,267.6,18.68688535690308
97,100,4,4,0.07,0.98,265.2,18.85218834877014
98,100,4,4,0.04007,1.0,262.9,19.018487215042114
99,100,4,4,0.09107,0.98,260.6,19.18307399749756
100,100,4,4,0.01312,1.00000,258.2,19.361403465270996
