epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.78344,0.7,17888.3,4.472208738327026
2,100,50,50,0.17358,0.9525,11850.8,6.750621557235718
3,100,50,50,0.0492,0.98625,9015.1,8.873990058898926
4,100,50,50,0.03827,0.99,7183.2,11.137120008468628
5,100,50,50,0.04852,0.985,5973.9,13.3916654586792
6,100,50,50,0.06149,0.9825,5016.5,15.947408199310305
7,100,50,50,0.00102,1.0,4295.1,18.62567567825317
8,100,50,50,0.00034,1.0,3778.2,21.1741304397583
9,100,50,50,4e-05,1.0,3380.1,23.66786026954651
10,100,50,50,5e-05,1.0,3063.0,26.118586540222168
11,100,50,50,3e-05,1.0,2800.0,28.57183694839477
12,100,50,50,2e-05,1.0,2579.5,31.01411819458008
13,100,50,50,2e-05,1.0,2390.9,33.459513902664185
14,100,50,50,1e-05,1.0,2229.0,35.891027212142944
15,100,50,50,1e-05,1.0,2088.9,38.29822444915772
16,100,50,50,2e-05,1.0,1967.0,40.671181440353394
17,100,50,50,1e-05,1.0,1854.7,43.13419008255005
18,100,50,50,0.0,1.0,1754.7,45.592432260513306
19,100,50,50,0.0,1.0,1672.7,47.82548189163208
20,100,50,50,0.0,1.0,1596.8,50.10155534744263
21,100,50,50,0.0,1.0,1531.3,52.24324297904968
22,100,50,50,0.0,1.0,1471.1,54.38122296333313
23,100,50,50,0.0,1.0,1411.5,56.67705273628235
24,100,50,50,0.0,1.0,1360.5,58.8015558719635
25,100,50,50,0.0,1.0,1309.9,61.07152652740479
26,100,50,50,0.0,1.0,1262.6,63.36142158508301
27,100,50,50,0.0,1.0,1214.7,65.85775852203369
28,100,50,50,0.0,1.0,1173.0,68.19942927360535
29,100,50,50,0.0,1.0,1133.6,70.57466912269592
30,100,50,50,0.0,1.0,1098.0,72.86053490638733
31,100,50,50,0.0,1.0,1063.6,75.21840143203735
32,100,50,50,0.0,1.0,1032.4,77.49227213859558
33,100,50,50,0.0,1.0,1000.8,79.93525838851929
34,100,50,50,0.0,1.0,971.2,82.37579393386841
35,100,50,50,0.0,1.0,943.9,84.75470614433289
36,100,50,50,0.0,1.0,918.4,87.11053013801575
37,100,50,50,0.0,1.0,893.0,89.58877611160278
38,100,50,50,0.0,1.0,866.2,92.35450720787048
39,100,50,50,0.0,1.0,841.0,95.1210675239563
40,100,50,50,0.0,1.0,817.1,97.90477013587952
41,100,50,50,0.0,1.0,796.7,100.40795373916626
42,100,50,50,0.0,1.0,776.7,102.99475836753844
43,100,50,50,0.0,1.0,758.0,105.53404784202576
44,100,50,50,0.0,1.0,740.3,108.0713849067688
45,100,50,50,0.0,1.0,725.1,110.33492517471312
46,100,50,50,0.0,1.0,710.6,112.5755295753479
47,100,50,50,0.0,1.0,696.9,114.79492664337158
48,100,50,50,0.0,1.0,681.6,117.36561369895936
49,100,50,50,0.0,1.0,665.9,120.13912630081175
50,100,50,50,0.0,1.0,650.7,122.93732023239136
51,100,50,50,0.0,1.0,637.4,125.51204776763916
52,100,50,50,0.0,1.0,625.3,127.94183707237244
53,100,50,50,0.0,1.0,613.3,130.4486918449402
54,100,50,50,0.0,1.0,601.8,132.93992376327515
55,100,50,50,0.0,1.0,590.5,135.48304677009585
56,100,50,50,0.0,1.0,579.7,138.01312017440796
57,100,50,50,0.0,1.0,569.3,140.5156934261322
58,100,50,50,0.0,1.0,559.2,143.0647051334381
59,100,50,50,0.0,1.0,548.7,145.80485248565674
60,100,50,50,0.0,1.0,538.8,148.47465753555298
61,100,50,50,0.0,1.0,529.3,151.1396996974945
62,100,50,50,0.0,1.0,520.6,153.6687548160553
63,100,50,50,0.0,1.0,512.2,156.20156121253967
64,100,50,50,0.0,1.0,503.9,158.7748303413391
65,100,50,50,0.0,1.0,495.7,161.39777255058289
66,100,50,50,0.0,1.0,487.8,164.01506423950195
67,100,50,50,0.0,1.0,479.5,166.84355807304382
68,100,50,50,0.0,1.0,471.5,169.6796567440033
69,100,50,50,0.0,1.0,464.6,172.20799612998962
70,100,50,50,0.0,1.0,458.0,174.6780970096588
71,100,50,50,0.0,1.0,451.1,177.35671520233154
72,100,50,50,0.0,1.0,444.4,180.0046055316925
73,100,50,50,0.0,1.0,437.7,182.77873015403748
74,100,50,50,0.0,1.0,431.1,185.5678746700287
75,100,50,50,0.0,1.0,424.7,188.37721633911133
76,100,50,50,0.0,1.0,418.4,191.18727612495425
77,100,50,50,0.0,1.0,412.4,193.9668822288513
78,100,50,50,0.0,1.0,406.7,196.72933983802795
79,100,50,50,0.0,1.0,401.5,199.23504114151
80,100,50,50,0.0,1.0,397.1,201.47046947479248
81,100,50,50,0.0,1.0,394.4,202.8180360794068
