epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,5.5332,0.1,2346.6,2.1307806968688965
2,100,4,4,3.45468,0.24,2087.1,2.395713329315185
3,100,4,4,2.11955,0.48,1917.7,2.6072261333465576
4,100,4,4,1.37634,0.52,1768.6,2.827172040939331
5,100,4,4,0.74618,0.74,1640.2,3.04845666885376
6,100,4,4,0.76546,0.78,1533.4,3.260732650756836
7,100,4,4,0.3463,0.9,1437.7,3.477678060531616
8,100,4,4,0.30443,0.88,1354.0,3.692847728729248
9,100,4,4,0.22916,0.92,1273.4,3.926549434661865
10,100,4,4,0.2376,0.9,1199.2,4.169449806213379
11,100,4,4,0.17536,0.92,1135.8,4.402231216430664
12,100,4,4,0.21818,0.88,1079.5,4.631784200668335
13,100,4,4,0.17104,0.94,1029.8,4.855516195297241
14,100,4,4,0.16647,0.94,985.5,5.073602437973023
15,100,4,4,0.18201,0.96,944.7,5.292956590652466
16,100,4,4,0.131,0.98,907.3,5.510595798492432
17,100,4,4,0.10716,0.98,873.9,5.72118067741394
18,100,4,4,0.19663,0.94,843.1,5.930840730667114
19,100,4,4,0.14375,0.92,814.3,6.140593528747559
20,100,4,4,0.12912,0.96,784.1,6.376700878143311
21,100,4,4,0.10835,0.96,754.7,6.625557661056519
22,100,4,4,0.21286,0.92,728.3,6.865717649459839
23,100,4,4,0.22657,0.92,704.4,7.097848653793335
24,100,4,4,0.03933,1.0,680.7,7.345341920852661
25,100,4,4,0.05832,1.0,659.3,7.583323240280151
26,100,4,4,0.10457,0.96,640.4,7.807643890380859
27,100,4,4,0.14149,0.98,624.6,8.005386590957642
28,100,4,4,0.14572,0.98,608.5,8.216611862182617
29,100,4,4,0.06102,0.98,591.6,8.450942993164062
30,100,4,4,0.03295,1.0,576.3,8.676139831542969
31,100,4,4,0.07131,0.98,562.4,8.891167640686035
32,100,4,4,0.05372,0.98,549.5,9.09932780265808
33,100,4,4,0.03779,1.0,537.1,9.309608697891235
34,100,4,4,0.03981,1.0,525.3,9.517815589904783
35,100,4,4,0.07408,0.98,514.4,9.719867944717407
36,100,4,4,0.04486,0.98,503.8,9.924009084701538
37,100,4,4,0.02855,1.0,491.8,10.167500257492064
38,100,4,4,0.11,0.96,481.3,10.388373374938965
39,100,4,4,0.08369,0.94,471.9,10.594574928283691
40,100,4,4,0.02743,1.0,462.6,10.80823826789856
41,100,4,4,0.11729,0.96,453.4,11.028268814086914
42,100,4,4,0.09147,0.96,444.8,11.242183923721312
43,100,4,4,0.13849,0.96,436.6,11.451867580413818
44,100,4,4,0.01625,1.0,428.6,11.66604208946228
45,100,4,4,0.0123,1.0,420.9,11.878058195114136
46,100,4,4,0.02425,1.0,414.0,12.076654195785522
47,100,4,4,0.09034,0.96,406.9,12.287940740585327
48,100,4,4,0.05428,0.96,400.3,12.490998029708862
49,100,4,4,0.00814,1.0,393.5,12.706341743469238
50,100,4,4,0.03616,1.0,385.8,12.959173202514648
51,100,4,4,0.02612,0.98,379.3,13.18097734451294
52,100,4,4,0.14826,0.96,373.5,13.385432243347168
53,100,4,4,0.00984,1.0,367.6,13.603086709976196
54,100,4,4,0.0113,1.0,361.8,13.819833040237429
55,100,4,4,0.06996,0.98,356.3,14.03383445739746
56,100,4,4,0.08563,0.96,350.6,14.260194063186646
57,100,4,4,0.04363,0.98,345.5,14.47023320198059
58,100,4,4,0.06428,0.98,340.4,14.688687086105348
59,100,4,4,0.03776,1.0,335.8,14.89098310470581
60,100,4,4,0.03825,0.98,331.0,15.104046821594238
61,100,4,4,0.07217,0.98,326.5,15.316021919250488
62,100,4,4,0.11724,0.98,322.0,15.52584171295166
63,100,4,4,0.04801,0.98,317.6,15.74084997177124
64,100,4,4,0.05701,0.98,312.7,15.99126410484314
65,100,4,4,0.08633,0.98,308.5,16.209212064743042
66,100,4,4,0.09713,0.98,304.3,16.431998252868652
67,100,4,4,0.01035,1.0,300.2,16.655681133270264
68,100,4,4,0.02352,0.98,296.3,16.876591682434082
69,100,4,4,0.0696,0.98,292.3,17.107206344604492
70,100,4,4,0.00789,1.0,288.6,17.326606273651123
71,100,4,4,0.03224,1.0,284.8,17.55912160873413
72,100,4,4,0.03122,0.98,281.3,17.77687954902649
73,100,4,4,0.01198,1.0,277.3,18.03157091140747
74,100,4,4,0.02847,1.0,274.0,18.25114226341248
75,100,4,4,0.09484,0.96,270.5,18.48545837402344
76,100,4,4,0.00856,1.0,267.2,18.709438800811768
77,100,4,4,0.12272,0.94,263.9,18.943962335586548
78,100,4,4,0.02231,0.98,260.7,19.179184675216675
79,100,4,4,0.01101,1.0,257.7,19.402117013931274
80,100,4,4,0.01433,1.0,254.7,19.629845142364506
81,100,4,4,0.02517,1.0,251.8,19.858805418014526
82,100,4,4,0.01013,1.0,248.7,20.100568056106567
83,100,4,4,0.07749,0.98,245.9,20.335161209106445
84,100,4,4,0.00582,1.0,243.0,20.574494123458862
85,100,4,4,0.04808,0.98,240.3,20.80581045150757
86,100,4,4,0.00825,1.0,237.6,21.03984403610229
87,100,4,4,0.05398,1.0,235.1,21.2668559551239
88,100,4,4,0.01954,1.0,232.7,21.48758101463318
89,100,4,4,0.0447,0.98,230.1,21.733009338378903
90,100,4,4,0.09811,0.98,227.6,21.969475269317627
91,100,4,4,0.01926,1.0,225.3,22.19296741485596
92,100,4,4,0.00759,1.0,223.1,22.407533168792725
93,100,4,4,0.00387,1.0,220.6,22.66644024848938
94,100,4,4,0.10522,0.98,218.5,22.887645483016968
95,100,4,4,0.059,0.98,216.3,23.116085052490234
96,100,4,4,0.00831,1.0,214.3,23.33675098419189
97,100,4,4,0.00647,1.0,212.2,23.557376623153687
98,100,4,4,0.00286,1.0,210.0,23.810779333114624
99,100,4,4,0.10598,0.98,207.9,24.055073976516724
100,100,4,4,0.01125,1.00000,205.8,24.2915940284729
