epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,7.09641,0.18,2894.3,1.7275440692901611
2,100,4,4,2.25697,0.62,2780.1,1.7985196113586426
3,100,4,4,1.32644,0.7,2679.4,1.8660802841186523
4,100,4,4,0.43316,0.82,2584.1,1.934879302978516
5,100,4,4,0.22986,0.9,2500.7,1.9994783401489256
6,100,4,4,0.08851,0.98,2422.9,2.063619375228882
7,100,4,4,0.25692,0.96,2349.1,2.1284990310668945
8,100,4,4,0.1519,0.98,2280.2,2.1928164958953857
9,100,4,4,0.19161,0.96,2207.6,2.264879941940308
10,100,4,4,0.30257,0.96,2142.8,2.333394765853882
11,100,4,4,0.18443,0.96,2081.0,2.402735710144043
12,100,4,4,0.03456,1.0,2019.2,2.476222276687622
13,100,4,4,0.23583,0.98,1962.7,2.5475666522979736
14,100,4,4,0.34123,0.92,1905.7,2.6237564086914062
15,100,4,4,0.07583,0.96,1859.5,2.688851833343506
16,100,4,4,0.05165,0.98,1815.7,2.753781080245972
17,100,4,4,0.07566,0.98,1772.6,2.820690155029297
18,100,4,4,0.10606,0.98,1726.0,2.8969287872314453
19,100,4,4,0.21517,0.98,1687.5,2.9629335403442383
20,100,4,4,0.0159,1.0,1649.9,3.03042221069336
21,100,4,4,0.02298,1.0,1608.6,3.108372926712036
22,100,4,4,0.02108,1.0,1575.2,3.174297571182251
23,100,4,4,0.05052,0.98,1543.0,3.2405447959899902
24,100,4,4,0.00547,1.0,1512.2,3.306492567062378
25,100,4,4,0.01232,1.0,1482.9,3.371747732162476
26,100,4,4,0.02049,1.0,1454.8,3.436998128890991
27,100,4,4,0.01517,1.0,1423.2,3.513134479522705
28,100,4,4,0.00703,1.0,1391.6,3.592961549758911
29,100,4,4,0.01255,1.0,1365.7,3.661147594451904
30,100,4,4,0.01514,1.0,1340.9,3.72890830039978
31,100,4,4,0.01118,1.0,1313.0,3.808117151260376
32,100,4,4,0.02877,0.98,1284.3,3.893310308456421
33,100,4,4,0.01397,1.0,1263.6,3.956805229187012
34,100,4,4,0.00269,1.0,1239.7,4.03310489654541
35,100,4,4,0.17073,0.98,1215.4,4.11402702331543
36,100,4,4,0.00549,1.0,1194.2,4.18682074546814
37,100,4,4,0.00676,1.0,1173.9,4.259155988693237
38,100,4,4,0.0582,0.98,1151.7,4.341465473175049
39,100,4,4,0.01306,1.0,1132.6,4.41461968421936
40,100,4,4,0.0967,0.98,1115.9,4.480885028839111
41,100,4,4,0.02112,1.0,1098.4,4.552162170410156
42,100,4,4,0.01901,1.0,1079.6,4.63117265701294
43,100,4,4,0.01618,1.0,1063.0,4.703724145889282
44,100,4,4,0.08003,0.98,1047.2,4.774524927139282
45,100,4,4,0.03323,1.0,1032.3,4.843360424041748
46,100,4,4,0.10541,0.98,1017.3,4.914943218231201
47,100,4,4,0.00626,1.0,1001.7,4.991403102874756
48,100,4,4,0.0536,1.0,987.3,5.0643064975738525
49,100,4,4,0.00487,1.0,973.6,5.135491847991943
50,100,4,4,0.01866,1.0,960.1,5.207843780517578
51,100,4,4,0.20893,0.96,946.1,5.284731864929199
52,100,4,4,0.0026,1.0,932.9,5.359545707702637
53,100,4,4,0.00517,1.0,919.9,5.435350656509399
54,100,4,4,0.00473,1.0,906.7,5.5147364139556885
55,100,4,4,0.02955,0.98,893.8,5.594024181365967
56,100,4,4,0.00632,1.0,882.3,5.666973352432251
57,100,4,4,0.22396,0.96,872.9,5.727960586547852
58,100,4,4,0.09359,0.98,862.0,5.800482988357544
59,100,4,4,0.04325,0.98,851.8,5.870032787322998
60,100,4,4,0.00838,1.0,841.2,5.943718671798706
61,100,4,4,0.01558,1.0,829.7,6.025970935821533
62,100,4,4,0.21545,0.98,818.9,6.105727910995483
63,100,4,4,0.03773,0.98,809.0,6.180347442626953
64,100,4,4,0.12775,0.96,799.3,6.255479097366333
65,100,4,4,0.01501,1.0,790.4,6.325523853302002
66,100,4,4,0.02477,1.0,780.8,6.403400421142578
67,100,4,4,0.09853,0.96,772.2,6.475224018096924
68,100,4,4,0.0371,1.0,763.1,6.55212140083313
69,100,4,4,0.01693,1.0,755.4,6.618719816207886
70,100,4,4,0.01045,1.0,747.9,6.6850221157073975
71,100,4,4,0.00447,1.0,741.1,6.746935844421387
72,100,4,4,0.00535,1.0,733.2,6.8191306591033936
