epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,4.52815,0.14,2295.4,2.1782805919647217
2,100,4,4,3.20282,0.38,2091.6,2.3905601501464844
3,100,4,4,1.89512,0.52,1915.2,2.610630989074707
4,100,4,4,1.26113,0.58,1762.0,2.837678909301758
5,100,4,4,0.7856,0.74,1633.1,3.0617196559906006
6,100,4,4,0.50285,0.82,1534.3,3.2588534355163574
7,100,4,4,0.4369,0.84,1437.2,3.47895884513855
8,100,4,4,0.36892,0.88,1345.0,3.7174346446990967
9,100,4,4,0.54644,0.82,1265.3,3.951556921005249
10,100,4,4,0.1891,0.94,1194.1,4.18740701675415
11,100,4,4,0.15419,0.94,1128.1,4.432361602783203
12,100,4,4,0.08782,0.98,1068.3,4.680442810058594
13,100,4,4,0.08919,0.96,1016.6,4.91841197013855
14,100,4,4,0.11024,0.92,970.9,5.149684429168701
15,100,4,4,0.06319,0.98,929.5,5.379477262496948
16,100,4,4,0.22618,0.88,889.5,5.621126413345337
17,100,4,4,0.15733,0.96,852.9,5.862293481826782
18,100,4,4,0.08901,0.96,823.5,6.0715203285217285
19,100,4,4,0.06282,1.0,793.4,6.3017120361328125
20,100,4,4,0.10002,0.96,763.6,6.548159837722778
21,100,4,4,0.12071,0.96,735.3,6.799791574478149
22,100,4,4,0.1829,0.94,712.6,7.016955614089966
23,100,4,4,0.15554,0.96,692.0,7.2249510288238525
24,100,4,4,0.11914,0.96,669.3,7.4706130027771
25,100,4,4,0.08665,0.98,649.2,7.702276706695557
26,100,4,4,0.14415,0.92,630.6,7.929491996765137
27,100,4,4,0.05189,0.96,613.4,8.150666236877441
28,100,4,4,0.05475,0.98,597.8,8.364034652709961
29,100,4,4,0.06171,0.98,581.6,8.596553802490234
30,100,4,4,0.13379,0.96,566.1,8.83200478553772
31,100,4,4,0.14831,0.96,553.6,9.031788110733032
32,100,4,4,0.08523,0.96,541.0,9.242403984069824
33,100,4,4,0.09297,0.96,528.5,9.459922313690186
34,100,4,4,0.01489,1.0,516.4,9.683180332183838
35,100,4,4,0.03503,1.0,504.6,9.90952968597412
36,100,4,4,0.05441,0.98,493.2,10.13840389251709
37,100,4,4,0.14165,0.96,483.1,10.349592208862305
38,100,4,4,0.1605,0.96,473.0,10.57068157196045
39,100,4,4,0.14779,0.98,463.2,10.794467449188232
40,100,4,4,0.07438,0.96,453.1,11.034990787506104
41,100,4,4,0.1504,0.96,443.8,11.265933275222778
42,100,4,4,0.09522,0.98,434.7,11.502949714660645
43,100,4,4,0.02815,1.0,426.1,11.735411882400513
44,100,4,4,0.02178,1.0,418.5,11.946120977401732
45,100,4,4,0.10184,0.98,411.0,12.165514469146729
46,100,4,4,0.05308,0.98,404.0,12.377685546875
47,100,4,4,0.03567,1.0,397.4,12.5825936794281
48,100,4,4,0.0597,0.98,391.1,12.786032438278198
49,100,4,4,0.07473,0.98,384.4,13.006532669067385
50,100,4,4,0.06381,0.98,378.0,13.228036642074583
51,100,4,4,0.01291,1.0,371.6,13.45488214492798
52,100,4,4,0.04916,0.98,365.7,13.671462297439575
53,100,4,4,0.04559,1.0,359.6,13.905182123184204
54,100,4,4,0.01179,1.0,353.3,14.151801347732544
55,100,4,4,0.05168,0.98,348.3,14.354224443435667
56,100,4,4,0.03188,0.98,342.8,14.58643889427185
57,100,4,4,0.09022,0.96,337.6,14.809750080108644
58,100,4,4,0.09041,0.96,333.0,15.01626181602478
59,100,4,4,0.09159,0.96,327.9,15.24798035621643
60,100,4,4,0.03656,0.98,323.2,15.47182822227478
61,100,4,4,0.07959,0.96,317.7,15.739754438400269
62,100,4,4,0.10984,0.96,313.0,15.9736225605011
63,100,4,4,0.00901,1.0,308.4,16.21164345741272
64,100,4,4,0.02766,1.0,304.0,16.445943355560303
65,100,4,4,0.02457,1.0,299.9,16.670477628707886
66,100,4,4,0.02581,0.98,295.1,16.942781925201416
67,100,4,4,0.01165,1.0,291.2,17.169689655303955
68,100,4,4,0.01052,1.0,287.1,17.416223287582397
69,100,4,4,0.02093,1.0,283.3,17.651339769363403
70,100,4,4,0.01018,1.0,279.7,17.874056816101074
71,100,4,4,0.01042,1.0,276.2,18.10501384735108
72,100,4,4,0.01608,1.0,272.9,18.32125329971313
73,100,4,4,0.00712,1.0,269.6,18.5469777584076
74,100,4,4,0.05201,0.98,266.3,18.774988651275635
75,100,4,4,0.12409,0.96,263.2,18.99921941757202
76,100,4,4,0.08499,0.98,260.0,19.228594303131104
77,100,4,4,0.0486,0.98,257.0,19.45620894432068
78,100,4,4,0.02512,1.0,254.2,19.6719138622284
79,100,4,4,0.01463,1.0,251.0,19.9213387966156
80,100,4,4,0.02209,1.0,247.9,20.16793942451477
81,100,4,4,0.02794,1.0,245.2,20.389984846115112
82,100,4,4,0.00892,1.0,242.7,20.59901785850525
83,100,4,4,0.05074,0.98,239.9,20.84023427963257
84,100,4,4,0.1035,0.98,237.4,21.05955410003662
85,100,4,4,0.02889,1.0,235.1,21.268778800964355
86,100,4,4,0.10645,0.98,232.5,21.50130176544189
87,100,4,4,0.02186,1.0,230.2,21.72362208366394
88,100,4,4,0.022,1.0,227.8,21.9532117843628
89,100,4,4,0.15677,0.98,225.4,22.18608832359314
90,100,4,4,0.00755,1.0,223.0,22.423019409179688
91,100,4,4,0.00824,1.0,220.8,22.64218759536743
92,100,4,4,0.01829,1.0,218.9,22.84254264831543
93,100,4,4,0.01022,1.0,216.8,23.062185287475582
94,100,4,4,0.00932,1.0,214.6,23.29554796218872
95,100,4,4,0.01502,1.0,212.5,23.53074336051941
96,100,4,4,0.00412,1.0,210.4,23.76138138771057
97,100,4,4,0.02033,1.0,208.5,23.9850652217865
98,100,4,4,0.00401,1.0,206.5,24.21325421333313
99,100,4,4,0.0089,1.0,204.7,24.425701141357425
100,100,4,4,0.01956,1.00000,202.8,24.650486946105957
