epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,6.85777,0.26,2776.1,1.8011016845703125
2,100,4,4,2.48594,0.58,2562.7,1.951074361801148
3,100,4,4,1.12971,0.76,2397.7,2.085365533828736
4,100,4,4,0.36603,0.9,2254.2,2.218045949935913
5,100,4,4,0.25193,0.98,2120.2,2.358222246170044
6,100,4,4,0.65475,0.86,2004.4,2.494553327560425
7,100,4,4,0.1012,0.96,1901.0,2.630237102508545
8,100,4,4,0.20367,0.9,1801.7,2.7751152515411377
9,100,4,4,0.28854,0.92,1717.1,2.9119458198547363
10,100,4,4,0.0454,1.0,1636.0,3.056239366531372
11,100,4,4,0.15606,0.96,1558.4,3.208375930786133
12,100,4,4,0.01336,1.0,1485.9,3.36496901512146
13,100,4,4,0.05359,0.96,1433.3,3.488384485244751
14,100,4,4,0.06169,0.98,1378.5,3.627216100692749
15,100,4,4,0.04168,1.0,1321.3,3.7840538024902335
16,100,4,4,0.12006,0.96,1267.0,3.946478366851807
17,100,4,4,0.01198,1.0,1222.8,4.088897705078125
18,100,4,4,0.24832,0.98,1184.5,4.221173524856567
19,100,4,4,0.16869,0.98,1144.4,4.369160890579224
20,100,4,4,0.06557,0.98,1109.4,4.507050275802612
21,100,4,4,0.1933,0.96,1076.3,4.645421743392944
22,100,4,4,0.14747,0.94,1045.7,4.78135347366333
23,100,4,4,0.04855,0.98,1018.1,4.9109320640563965
24,100,4,4,0.04256,1.0,994.6,5.026991367340088
25,100,4,4,0.07812,0.98,968.6,5.16208815574646
26,100,4,4,0.29666,0.96,944.1,5.295809745788574
27,100,4,4,0.156,0.96,922.8,5.418529272079468
28,100,4,4,0.03021,1.0,903.7,5.53305983543396
29,100,4,4,0.01521,1.0,880.9,5.67569899559021
30,100,4,4,0.06354,0.98,858.2,5.82614278793335
31,100,4,4,0.11175,0.96,835.0,5.987806081771851
32,100,4,4,0.13235,0.94,817.7,6.114634990692139
33,100,4,4,0.07445,0.98,799.2,6.2565083503723145
34,100,4,4,0.08576,0.96,780.8,6.404013395309448
35,100,4,4,0.03879,0.98,760.8,6.571731805801392
36,100,4,4,0.0259,0.98,745.5,6.706815481185913
37,100,4,4,0.01379,1.0,728.0,6.867975473403931
38,100,4,4,0.01254,1.0,713.0,7.012648820877075
39,100,4,4,0.01362,1.0,699.9,7.144023180007935
40,100,4,4,0.04174,1.0,687.5,7.272512197494507
41,100,4,4,0.05772,0.98,675.1,7.406383275985718
42,100,4,4,0.00598,1.0,661.3,7.560299396514893
43,100,4,4,0.04841,0.98,650.4,7.687918186187744
44,100,4,4,0.01595,1.0,639.8,7.81439471244812
45,100,4,4,0.21519,0.94,629.0,7.949311256408691
46,100,4,4,0.16676,0.98,618.6,8.082716464996338
47,100,4,4,0.03355,1.0,608.5,8.216660976409912
48,100,4,4,0.0166,1.0,598.9,8.348316431045532
49,100,4,4,0.11419,0.96,588.7,8.49353575706482
50,100,4,4,0.03012,1.0,578.6,8.641888856887817
51,100,4,4,0.02903,1.0,568.9,8.78825306892395
52,100,4,4,0.01886,1.0,560.4,8.922020673751831
53,100,4,4,0.02214,1.0,552.1,9.05556607246399
54,100,4,4,0.20633,0.98,544.4,9.184355735778809
55,100,4,4,0.13104,0.96,536.4,9.321276187896729
56,100,4,4,0.08188,0.98,527.1,9.48629665374756
57,100,4,4,0.07341,0.98,519.2,9.629562616348268
58,100,4,4,0.02895,0.98,511.4,9.778007745742798
59,100,4,4,0.04918,0.98,504.3,9.914789199829102
60,100,4,4,0.03877,0.98,497.7,10.045475959777832
61,100,4,4,0.05096,0.98,490.4,10.196048259735107
62,100,4,4,0.01235,1.0,483.5,10.341608047485352
63,100,4,4,0.0258,0.98,477.1,10.480398416519163
64,100,4,4,0.03116,0.98,470.5,10.6275372505188
65,100,4,4,0.04506,0.98,464.8,10.75846004486084
66,100,4,4,0.00507,1.0,457.7,10.92461371421814
67,100,4,4,0.04652,0.96,452.2,11.05644178390503
68,100,4,4,0.11847,0.94,446.2,11.204859495162964
69,100,4,4,0.00444,1.0,440.7,11.344651460647585
