epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,8.83033,0.06,2861.5,1.7473416328430176
2,100,4,4,3.14596,0.48,2752.4,1.8165960311889648
3,100,4,4,2.12124,0.54,2661.0,1.878989696502685
4,100,4,4,1.17146,0.64,2569.7,1.945750713348389
5,100,4,4,0.89511,0.74,2489.7,2.008294105529785
6,100,4,4,0.96897,0.74,2415.2,2.070234775543213
7,100,4,4,0.76476,0.72,2344.2,2.132935047149658
8,100,4,4,0.30141,0.88,2279.2,2.193712949752808
9,100,4,4,0.25449,0.94,2213.8,2.2585389614105225
10,100,4,4,0.51384,0.86,2154.6,2.3205785751342773
11,100,4,4,0.10286,0.98,2097.2,2.3840839862823486
12,100,4,4,0.14667,0.96,2038.7,2.452502965927124
13,100,4,4,0.08349,0.98,1976.3,2.52999210357666
14,100,4,4,0.072,0.98,1919.4,2.604915142059326
15,100,4,4,0.14313,0.98,1871.4,2.6717348098754883
16,100,4,4,0.10578,0.98,1823.4,2.7421140670776367
17,100,4,4,0.3064,0.92,1777.7,2.812559127807617
18,100,4,4,0.14631,0.94,1737.0,2.8785617351531982
19,100,4,4,0.18571,0.96,1701.1,2.939279556274414
20,100,4,4,0.07158,0.98,1664.6,3.003748655319214
21,100,4,4,0.06494,0.98,1620.4,3.0856332778930664
22,100,4,4,0.06333,0.98,1578.0,3.1686246395111084
23,100,4,4,0.04337,0.98,1539.5,3.247900485992432
24,100,4,4,0.29272,0.98,1510.1,3.311084985733032
25,100,4,4,0.03879,1.0,1480.1,3.3782498836517334
26,100,4,4,0.11141,0.96,1447.0,3.455505609512329
27,100,4,4,0.07061,0.98,1416.4,3.530153512954712
28,100,4,4,0.21172,0.98,1388.9,3.6000123023986816
29,100,4,4,0.05638,0.98,1361.1,3.6735551357269287
30,100,4,4,0.28823,0.98,1337.7,3.737849950790405
31,100,4,4,0.05875,0.98,1309.9,3.817183971405029
32,100,4,4,0.01652,1.0,1280.6,3.904489994049072
33,100,4,4,0.09944,0.98,1260.6,3.9662368297576895
34,100,4,4,0.03768,1.0,1238.0,4.038712978363037
35,100,4,4,0.03335,1.0,1217.0,4.108412981033325
36,100,4,4,0.06485,0.98,1199.4,4.168752908706665
37,100,4,4,0.02205,1.0,1181.3,4.232749223709106
38,100,4,4,0.11931,0.98,1160.8,4.307242631912232
39,100,4,4,0.06394,0.98,1141.7,4.379288911819458
40,100,4,4,0.14956,0.98,1124.2,4.447439670562744
41,100,4,4,0.03556,1.0,1102.6,4.534917831420898
42,100,4,4,0.0435,0.98,1087.6,4.597211837768555
43,100,4,4,0.15888,0.96,1073.9,4.655932664871216
44,100,4,4,0.01444,1.0,1059.8,4.7178449630737305
45,100,4,4,0.01417,1.0,1043.9,4.789849281311035
46,100,4,4,0.03337,1.0,1029.1,4.858489036560059
47,100,4,4,0.01585,1.0,1015.1,4.925489187240601
48,100,4,4,0.02317,1.0,1000.3,4.998603343963623
49,100,4,4,0.03216,1.0,987.1,5.065278768539429
50,100,4,4,0.00818,1.0,973.8,5.134426593780518
51,100,4,4,0.01767,1.0,959.8,5.209564447402954
52,100,4,4,0.16569,0.98,946.4,5.283225059509277
53,100,4,4,0.16903,0.96,933.1,5.358474969863892
54,100,4,4,0.0066,1.0,921.8,5.4242870807647705
55,100,4,4,0.03448,1.0,911.2,5.4871931076049805
56,100,4,4,0.06809,0.96,900.2,5.554120779037476
57,100,4,4,0.1097,0.98,889.6,5.620779752731323
58,100,4,4,0.14605,0.96,878.0,5.694628953933716
59,100,4,4,0.10144,0.98,867.2,5.765729904174805
60,100,4,4,0.07984,0.96,856.1,5.840435028076172
61,100,4,4,0.03607,0.98,845.1,5.916171312332153
62,100,4,4,0.02841,1.0,836.6,5.976476907730103
63,100,4,4,0.05533,0.98,828.0,6.03863263130188
64,100,4,4,0.07782,0.98,819.1,6.104568243026733
65,100,4,4,0.04695,0.98,809.1,6.17985463142395
66,100,4,4,0.1427,0.98,801.3,6.2398681640625
67,100,4,4,0.09526,0.96,792.2,6.31139874458313
68,100,4,4,0.0365,1.0,784.5,6.373729228973389
69,100,4,4,0.04182,1.0,776.6,6.438177585601807
70,100,4,4,0.03869,0.98,767.6,6.513530969619751
71,100,4,4,0.07043,0.98,759.9,6.580220699310303
72,100,4,4,0.03728,0.98,751.3,6.655567169189453
73,100,4,4,0.01422,1.0,742.9,6.72994065284729
74,100,4,4,0.02695,0.98,734.9,6.803335189819336
75,100,4,4,0.00787,1.0,728.7,6.861240386962891
76,100,4,4,0.00441,1.0,722.7,6.918832778930664
77,100,4,4,0.11292,0.98,715.3,6.990220308303833
78,100,4,4,0.00647,1.0,707.7,7.065364360809326
79,100,4,4,0.09408,0.98,701.4,7.128424167633057
80,100,4,4,0.19567,0.98,695.4,7.190441608428955
81,100,4,4,0.00765,1.0,689.8,7.248712778091431
82,100,4,4,0.04785,0.98,682.2,7.32916259765625
83,100,4,4,0.02942,1.0,676.3,7.3934924602508545
84,100,4,4,0.00677,1.0,669.5,7.468402862548828
85,100,4,4,0.11622,0.96,663.7,7.533942222595215
86,100,4,4,0.03902,0.98,658.5,7.592516183853149
87,100,4,4,0.05568,0.98,652.6,7.661820411682129
88,100,4,4,0.01997,1.0,646.9,7.728909730911255
89,100,4,4,0.11236,0.98,641.5,7.794522523880005
90,100,4,4,0.01284,1.0,635.6,7.866430521011352
91,100,4,4,0.01118,1.0,630.1,7.935075759887695
92,100,4,4,0.04118,0.98,625.1,7.998747110366821
93,100,4,4,0.00648,1.0,620.0,8.064329624176025
94,100,4,4,0.0238,1.0,615.2,8.127068519592285
95,100,4,4,0.02264,1.0,609.8,8.198984384536743
96,100,4,4,0.11798,0.96,604.1,8.277459144592285
97,100,4,4,0.0064,1.0,599.3,8.343334197998047
