epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,2.39637,0.36,2520.9,1.983398199081421
2,100,4,4,1.30813,0.56,2211.4,2.261014461517334
3,100,4,4,0.71165,0.7,2008.5,2.4894683361053467
4,100,4,4,0.524,0.8,1836.5,2.722621440887451
5,100,4,4,0.48575,0.84,1701.3,2.9388506412506104
6,100,4,4,0.30928,0.9,1576.0,3.1726508140563965
7,100,4,4,0.2316,0.92,1466.4,3.409660577774048
8,100,4,4,0.17891,0.96,1364.9,3.663166761398315
9,100,4,4,0.15413,0.96,1286.7,3.8858697414398193
10,100,4,4,0.13777,0.98,1217.5,4.106809854507446
11,100,4,4,0.13624,0.98,1152.8,4.337317943572998
12,100,4,4,0.10848,0.96,1090.9,4.583503723144531
13,100,4,4,0.0652,0.98,1033.3,4.838949203491211
14,100,4,4,0.06014,0.98,984.7,5.077674865722656
15,100,4,4,0.16593,0.92,943.6,5.298877716064453
16,100,4,4,0.04608,0.98,907.4,5.510360240936279
17,100,4,4,0.01877,1.0,872.2,5.732384920120239
18,100,4,4,0.0429,1.0,839.7,5.954281568527222
19,100,4,4,0.0466,0.98,809.2,6.179250001907349
20,100,4,4,0.07335,0.98,779.2,6.416826486587524
21,100,4,4,0.03977,1.0,752.6,6.643638610839844
22,100,4,4,0.02848,1.0,728.4,6.863980770111084
23,100,4,4,0.04317,1.0,707.4,7.06770658493042
24,100,4,4,0.05205,0.98,687.5,7.273092269897461
25,100,4,4,0.04902,1.0,667.6,7.489430427551269
26,100,4,4,0.03078,0.98,650.2,7.68966794013977
27,100,4,4,0.12644,0.96,632.9,7.900377511978149
28,100,4,4,0.02259,1.0,614.6,8.135233640670776
29,100,4,4,0.05272,0.96,597.2,8.372499942779541
30,100,4,4,0.05503,0.98,582.8,8.579318046569824
31,100,4,4,0.03398,0.98,569.1,8.785820245742798
32,100,4,4,0.04648,1.0,554.7,9.01409649848938
33,100,4,4,0.04889,0.98,540.7,9.247415781021118
34,100,4,4,0.03285,1.0,527.5,9.47891616821289
35,100,4,4,0.04595,0.98,514.5,9.71861457824707
36,100,4,4,0.14904,0.96,502.4,9.952141046524048
37,100,4,4,0.02856,1.0,490.6,10.19179391860962
38,100,4,4,0.06011,0.98,479.2,10.43370270729065
39,100,4,4,0.01345,1.0,470.1,10.636623620986938
40,100,4,4,0.15409,0.98,460.6,10.854758977890016
41,100,4,4,0.00795,1.0,452.0,11.062273502349854
42,100,4,4,0.0705,0.98,443.9,11.263953924179075
43,100,4,4,0.08203,0.96,435.7,11.47478461265564
44,100,4,4,0.04005,1.0,427.9,11.68437361717224
45,100,4,4,0.08703,0.96,420.5,11.890669345855711
46,100,4,4,0.08395,0.98,413.0,12.10516619682312
47,100,4,4,0.01729,1.0,405.9,12.319581270217896
48,100,4,4,0.02337,1.0,398.9,12.536000728607178
49,100,4,4,0.02073,1.0,392.1,12.752190589904783
50,100,4,4,0.05057,1.0,384.5,13.002401113510132
51,100,4,4,0.01118,1.0,378.2,13.219058513641356
52,100,4,4,0.02926,1.0,372.3,13.429726839065552
53,100,4,4,0.0105,1.0,366.0,13.662445306777954
54,100,4,4,0.10373,0.96,359.1,13.925501823425291
55,100,4,4,0.01054,1.0,352.5,14.185489892959597
56,100,4,4,0.0119,1.0,346.9,14.41205644607544
57,100,4,4,0.0068,1.0,341.6,14.634959697723389
58,100,4,4,0.13513,0.96,336.3,14.866422414779665
59,100,4,4,0.05413,0.98,331.4,15.088924407958984
60,100,4,4,0.0117,1.0,326.4,15.316975593566896
61,100,4,4,0.00632,1.0,321.6,15.547000169754028
62,100,4,4,0.01406,1.0,317.1,15.76787281036377
63,100,4,4,0.00513,1.0,312.9,15.98190689086914
64,100,4,4,0.04975,0.98,308.9,16.183939933776855
65,100,4,4,0.00342,1.0,304.8,16.404502153396606
66,100,4,4,0.01721,1.0,300.6,16.632938623428345
67,100,4,4,0.0078,1.0,296.8,16.844385862350464
68,100,4,4,0.01204,1.0,293.1,17.05811047554016
69,100,4,4,0.02099,1.0,289.7,17.25877094268799
70,100,4,4,0.05391,0.98,286.3,17.465420484542847
71,100,4,4,0.11076,0.98,282.6,17.69169020652771
72,100,4,4,0.01335,1.0,279.1,17.914687633514404
73,100,4,4,0.00421,1.0,275.4,18.153886795043945
74,100,4,4,0.01788,1.0,272.1,18.37544703483581
75,100,4,4,0.01747,1.0,268.9,18.59488844871521
76,100,4,4,0.11254,0.98,265.8,18.807685375213623
77,100,4,4,0.006,1.0,262.8,19.02429938316345
78,100,4,4,0.01624,1.0,260.2,19.2178008556366
79,100,4,4,0.00661,1.0,257.4,19.42840814590454
80,100,4,4,0.00821,1.0,254.7,19.634278535842896
81,100,4,4,0.13585,0.98,251.8,19.853896617889404
82,100,4,4,0.04299,0.98,249.1,20.0696349143982
83,100,4,4,0.01621,1.0,246.6,20.272106170654297
84,100,4,4,0.02755,0.98,244.0,20.489864587783813
85,100,4,4,0.00727,1.0,241.6,20.698596954345703
86,100,4,4,0.01716,1.0,238.9,20.92686700820923
87,100,4,4,0.02134,1.0,236.4,21.149981021881104
88,100,4,4,0.05309,0.98,233.9,21.37239694595337
89,100,4,4,0.00273,1.0,231.6,21.592854976654053
90,100,4,4,0.10857,0.98,229.3,21.801761150360107
91,100,4,4,0.00518,1.0,227.1,22.01336550712585
92,100,4,4,0.0147,1.0,224.8,22.24478054046631
93,100,4,4,0.0266,1.0,222.5,22.46742057800293
94,100,4,4,0.00288,1.0,220.4,22.686949253082275
95,100,4,4,0.01057,1.0,218.4,22.89273738861084
96,100,4,4,0.00368,1.0,216.4,23.105281829833984
97,100,4,4,0.00352,1.0,214.2,23.33900547027588
98,100,4,4,0.00827,1.0,212.2,23.55909466743469
99,100,4,4,0.03529,1.0,210.4,23.76902198791504
100,100,4,4,0.01611,1.00000,208.4,23.99605679512024
