epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,7.74361,0.08,2947.1,1.696592092514038
2,100,4,4,1.91418,0.56,2819.0,1.7737078666687012
3,100,4,4,0.83771,0.8,2711.1,1.8442676067352293
4,100,4,4,0.36144,0.82,2622.6,1.9064812660217283
5,100,4,4,0.15826,0.94,2536.7,1.9710485935211184
6,100,4,4,0.05908,0.98,2455.2,2.036456346511841
7,100,4,4,0.04962,1.0,2382.6,2.09857439994812
8,100,4,4,0.23795,0.98,2301.0,2.172943592071533
9,100,4,4,0.04038,0.98,2238.5,2.233600378036499
10,100,4,4,0.23845,0.98,2165.1,2.3093748092651367
11,100,4,4,0.05215,1.0,2099.3,2.3817827701568604
12,100,4,4,0.16312,0.96,2040.0,2.451030969619751
13,100,4,4,0.0906,0.96,1990.5,2.5118885040283203
14,100,4,4,0.08686,0.96,1938.4,2.579512596130371
15,100,4,4,0.0327,1.0,1888.0,2.648310661315918
16,100,4,4,0.045,0.98,1842.0,2.714393138885498
17,100,4,4,0.08542,0.98,1788.3,2.795961856842041
18,100,4,4,0.02345,1.0,1742.3,2.869739294052124
19,100,4,4,0.1188,0.98,1701.9,2.9378585815429688
20,100,4,4,0.10137,0.96,1665.9,3.0014002323150635
21,100,4,4,0.28635,0.96,1632.6,3.0626089572906494
22,100,4,4,0.11303,0.94,1598.4,3.1280837059021
23,100,4,4,0.04418,0.98,1563.4,3.1982107162475586
24,100,4,4,0.0481,1.0,1527.3,3.273688316345215
25,100,4,4,0.05627,0.98,1496.4,3.34125018119812
26,100,4,4,0.02886,1.0,1463.4,3.4166009426116943
27,100,4,4,0.26043,0.96,1427.9,3.50159764289856
28,100,4,4,0.04053,0.98,1399.9,3.571591854095459
29,100,4,4,0.14835,0.96,1372.6,3.6427817344665527
30,100,4,4,0.01769,1.0,1346.9,3.712315082550049
31,100,4,4,0.02589,1.0,1324.4,3.775421619415283
32,100,4,4,0.17792,0.96,1301.3,3.84218168258667
33,100,4,4,0.13769,0.98,1278.7,3.910081386566162
34,100,4,4,0.01987,1.0,1255.0,3.983967304229736
35,100,4,4,0.18076,0.96,1233.0,4.055244445800781
36,100,4,4,0.0486,0.98,1212.9,4.122381925582886
37,100,4,4,0.04248,0.98,1191.4,4.196844816207886
38,100,4,4,0.10905,0.96,1173.2,4.26186466217041
39,100,4,4,0.02593,1.0,1151.0,4.343888759613037
40,100,4,4,0.16453,0.96,1132.9,4.413403272628784
41,100,4,4,0.04267,0.98,1115.8,4.481181383132935
42,100,4,4,0.09435,0.98,1099.6,4.546915292739868
43,100,4,4,0.05017,0.98,1082.6,4.618596076965332
44,100,4,4,0.02539,1.0,1064.4,4.697266578674316
45,100,4,4,0.10803,0.98,1050.6,4.759081602096558
46,100,4,4,0.03168,1.0,1035.4,4.8291895389556885
47,100,4,4,0.11782,0.96,1021.1,4.896883487701416
48,100,4,4,0.01564,1.0,1007.2,4.964459180831909
49,100,4,4,0.11951,0.96,994.5,5.027681827545166
50,100,4,4,0.02164,1.0,977.3,5.116067886352539
51,100,4,4,0.02187,1.0,965.2,5.18039870262146
52,100,4,4,0.02183,1.0,953.9,5.241544485092163
53,100,4,4,0.01934,1.0,940.7,5.315126419067383
54,100,4,4,0.06397,0.96,929.1,5.381485462188721
55,100,4,4,0.03774,0.98,914.6,5.466950416564941
56,100,4,4,0.01484,1.0,902.2,5.541977882385254
57,100,4,4,0.01126,1.0,892.3,5.603716373443604
58,100,4,4,0.04004,0.98,882.2,5.66779351234436
59,100,4,4,0.25768,0.98,870.6,5.743206262588501
60,100,4,4,0.01676,1.0,858.6,5.823163270950317
61,100,4,4,0.016,1.0,848.7,5.891324996948242
62,100,4,4,0.03215,0.98,838.2,5.965054988861084
63,100,4,4,0.06166,0.98,829.1,6.030446290969849
64,100,4,4,0.11547,0.98,820.6,6.093092679977417
65,100,4,4,0.02183,1.0,809.5,6.176489591598511
66,100,4,4,0.00825,1.0,799.5,6.254137277603149
67,100,4,4,0.01152,1.0,789.0,6.337363004684448
68,100,4,4,0.17926,0.98,780.5,6.406099796295166
69,100,4,4,0.02395,1.0,772.0,6.476623296737671
70,100,4,4,0.04157,1.0,764.0,6.5448691844940186
71,100,4,4,0.01624,1.0,756.1,6.612536668777466
72,100,4,4,0.03072,1.0,748.2,6.68273401260376
73,100,4,4,0.03534,1.0,740.4,6.75268816947937
74,100,4,4,0.01766,1.0,733.0,6.821739196777344
75,100,4,4,0.05023,1.0,724.9,6.897404670715332
76,100,4,4,0.01301,1.0,718.6,6.9576945304870605
77,100,4,4,0.00764,1.0,711.3,7.029528617858887
78,100,4,4,0.00339,1.0,703.4,7.108692169189453
79,100,4,4,0.00934,1.0,696.8,7.17517876625061
80,100,4,4,0.0061,1.0,690.6,7.240105867385864
81,100,4,4,0.00424,1.0,684.3,7.30722188949585
82,100,4,4,0.01669,1.0,678.0,7.374278783798218
83,100,4,4,0.09824,0.98,671.2,7.449292182922363
84,100,4,4,0.00445,1.0,664.8,7.520975351333618
85,100,4,4,0.05198,0.98,658.0,7.599201917648315
86,100,4,4,0.00733,1.0,650.9,7.681097984313965
87,100,4,4,0.0062,1.0,645.3,7.747900485992432
