epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.99759,0.6175,17394.5,4.599156856536865
2,100,50,50,0.57401,0.80375,11998.3,6.667600631713867
3,100,50,50,0.35492,0.88375,9373.6,8.534643173217773
4,100,50,50,0.26875,0.915,7659.7,10.444209575653076
5,100,50,50,0.1807,0.9475,6527.2,12.256393432617188
6,100,50,50,0.16845,0.93875,5677.2,14.091423273086548
7,100,50,50,0.1105,0.965,5014.4,15.95417547225952
8,100,50,50,0.08875,0.97,4476.7,17.870213508605957
9,100,50,50,0.05912,0.9875,4068.8,19.6619884967804
10,100,50,50,0.0941,0.97125,3728.1,21.45855689048767
11,100,50,50,0.05219,0.98625,3446.7,23.210899114608765
12,100,50,50,0.06365,0.98625,3195.2,25.03732967376709
13,100,50,50,0.05301,0.98125,2999.0,26.675746202468872
14,100,50,50,0.0548,0.9875,2822.9,28.33926105499268
15,100,50,50,0.06341,0.9825,2664.3,30.026549577713013
16,100,50,50,0.03825,0.99,2523.0,31.70814156532288
17,100,50,50,0.02538,0.9925,2393.3,33.42634057998657
18,100,50,50,0.03786,0.985,2273.3,35.191620111465454
19,100,50,50,0.0673,0.9825,2162.4,36.99540066719055
20,100,50,50,0.05967,0.98375,2067.4,38.69544506072998
21,100,50,50,0.04813,0.98375,1983.7,40.32793593406677
22,100,50,50,0.04106,0.98375,1905.8,41.977712869644165
23,100,50,50,0.01205,0.99875,1829.9,43.718393325805664
24,100,50,50,0.00526,1.0,1762.4,45.39321947097778
25,100,50,50,0.01117,0.9975,1699.1,47.08274173736572
26,100,50,50,0.00964,1.0,1642.6,48.70187282562256
27,100,50,50,0.00996,0.9975,1584.6,50.48546361923218
28,100,50,50,0.03091,0.9875,1528.7,52.33069086074829
29,100,50,50,0.0307,0.98875,1479.7,54.063618659973145
30,100,50,50,0.03929,0.98875,1432.9,55.83187675476074
31,100,50,50,0.02745,0.99,1386.7,57.69146084785461
32,100,50,50,0.01624,0.99625,1346.4,59.41830897331238
33,100,50,50,0.01471,0.9975,1308.6,61.13416433334351
34,100,50,50,0.01519,0.99625,1270.9,62.94672417640686
35,100,50,50,0.01993,0.9925,1234.5,64.80240869522095
36,100,50,50,0.04476,0.985,1203.4,66.47713470458984
37,100,50,50,0.03719,0.98625,1173.0,68.20293068885803
38,100,50,50,0.01589,0.99625,1142.7,70.00700545310974
39,100,50,50,0.00737,0.99875,1112.7,71.89854025840759
40,100,50,50,0.0108,0.9975,1085.6,73.69467496871948
41,100,50,50,0.03288,0.9875,1058.7,75.56461954116821
42,100,50,50,0.02248,0.99125,1033.5,77.40555119514465
43,100,50,50,0.01325,0.9975,1008.8,79.30204749107361
44,100,50,50,0.02409,0.9925,985.8,81.1523711681366
45,100,50,50,0.02524,0.99375,963.6,83.02078986167908
46,100,50,50,0.02718,0.99125,942.0,84.92530274391174
47,100,50,50,0.01184,0.99625,922.0,86.7645092010498
