epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.79435,0.70625,19999.6,4.000089883804321
2,100,50,50,0.21945,0.935,13045.4,6.132435321807861
3,100,50,50,0.15542,0.95,9673.7,8.269824504852295
4,100,50,50,0.09968,0.97125,7713.7,10.371090650558472
5,100,50,50,0.05372,0.9875,6439.0,12.424324750900269
6,100,50,50,0.05006,0.98625,5522.6,14.486027717590332
7,100,50,50,0.04249,0.98875,4868.7,16.431614637374878
8,100,50,50,0.06551,0.98,4311.7,18.55422115325928
9,100,50,50,0.06268,0.97875,3878.9,20.62429666519165
10,100,50,50,0.07183,0.9775,3495.0,22.889586925506592
11,100,50,50,0.0383,0.98875,3186.2,25.10859107971192
12,100,50,50,0.01784,0.995,2922.3,27.37613868713379
13,100,50,50,0.02188,0.9975,2698.3,29.64819359779358
14,100,50,50,0.02094,0.9925,2508.9,31.88641166687012
15,100,50,50,0.00902,0.99875,2346.2,34.09812641143799
16,100,50,50,0.01679,0.99625,2199.8,36.36683654785156
17,100,50,50,0.00573,1.0,2069.8,38.651631593704224
18,100,50,50,0.03437,0.98875,1957.2,40.87438941001892
19,100,50,50,0.0249,0.99125,1853.2,43.169493675231934
20,100,50,50,0.07069,0.97625,1761.8,45.40760278701782
21,100,50,50,0.03809,0.99375,1680.4,47.60819935798645
22,100,50,50,0.04674,0.98875,1604.6,49.85735940933228
23,100,50,50,0.03296,0.99,1535.8,52.08928871154785
24,100,50,50,0.02043,0.995,1473.8,54.283135414123535
25,100,50,50,0.02467,0.995,1415.3,56.5249924659729
26,100,50,50,0.03598,0.9925,1361.4,58.76117825508118
27,100,50,50,0.02409,0.99125,1311.4,61.004042625427246
28,100,50,50,0.02214,0.99625,1266.4,63.16898155212402
29,100,50,50,0.06712,0.98625,1223.4,65.38977122306824
30,100,50,50,0.03152,0.9925,1182.5,67.65048170089722
31,100,50,50,0.02201,0.99375,1144.0,69.92753839492798
32,100,50,50,0.00902,0.9975,1107.8,72.21518111228943
33,100,50,50,0.00964,0.995,1074.2,74.47336077690125
34,100,50,50,0.01757,0.9975,1043.2,76.68739366531372
35,100,50,50,0.01678,0.99125,1013.5,78.93169093132019
36,100,50,50,0.00753,0.9975,986.1,81.13161134719849
37,100,50,50,0.00257,1.0,959.3,83.39013171195984
38,100,50,50,0.00082,1.0,934.4,85.61499047279358
39,100,50,50,0.0014,1.0,909.9,87.91729187965393
40,100,50,50,0.01395,0.99625,887.3,90.16445899009705
41,100,50,50,0.02073,0.99375,865.7,92.41585850715636
42,100,50,50,0.05076,0.9875,845.3,94.64485120773315
43,100,50,50,0.05311,0.98,825.8,96.87887907028198
44,100,50,50,0.03462,0.99,807.0,99.13536071777344
45,100,50,50,0.03626,0.995,788.7,101.43684148788452
46,100,50,50,0.00749,0.9975,771.0,103.75861859321594
47,100,50,50,0.00311,0.99875,754.2,106.07235765457152
48,100,50,50,0.00784,0.9975,738.0,108.4014766216278
49,100,50,50,0.00245,1.0,722.9,110.66796135902403
50,100,50,50,0.00074,1.0,708.3,112.94385170936584
51,100,50,50,0.00089,1.0,694.4,115.21392130851746
52,100,50,50,0.00058,1.0,680.9,117.4973406791687
53,100,50,50,0.00038,1.0,667.6,119.82572269439696
54,100,50,50,0.00051,1.0,655.2,122.10125923156738
55,100,50,50,0.00042,1.0,643.1,124.393474817276
56,100,50,50,0.00029,1.0,631.4,126.69678544998168
57,100,50,50,0.00029,1.0,620.5,128.92690658569336
58,100,50,50,0.00027,1.0,609.6,131.24280881881714
59,100,50,50,0.00049,1.0,599.3,133.48817420005798
60,100,50,50,0.00038,1.0,589.0,135.82124876976013
61,100,50,50,0.00034,1.0,579.5,138.048504114151
62,100,50,50,0.0055,0.9975,570.0,140.35250759124756
63,100,50,50,0.03464,0.99625,560.7,142.66688990592957
64,100,50,50,0.03238,0.9925,552.0,144.93712902069092
65,100,50,50,0.03303,0.9925,543.4,147.22173309326172
66,100,50,50,0.05761,0.9875,535.1,149.51210570335388
67,100,50,50,0.05792,0.98625,527.0,151.80625772476196
68,100,50,50,0.04856,0.98625,519.1,154.10777926445007
69,100,50,50,0.03758,0.98625,511.6,156.3821189403534
70,100,50,50,0.04454,0.98375,504.2,158.67437863349917
71,100,50,50,0.02447,0.99375,497.1,160.93375873565674
