epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.97502,0.58875,21292.1,3.7572643756866455
2,100,50,50,0.54772,0.785,13714.1,5.833422183990479
3,100,50,50,0.39479,0.84375,10331.6,7.7432541847229
4,100,50,50,0.26665,0.90375,8327.0,9.607301473617554
5,100,50,50,0.21827,0.92375,6819.3,11.731357097625732
6,100,50,50,0.18914,0.92875,6110.5,13.092316389083862
7,100,50,50,0.23408,0.92875,5537.2,14.447632551193236
8,100,50,50,0.15516,0.9425,5019.1,15.939207553863524
9,100,50,50,0.12734,0.95875,4581.6,17.461257696151733
10,100,50,50,0.10632,0.95625,3963.9,20.1822829246521
11,100,50,50,0.1353,0.95875,3552.5,22.519216775894165
12,100,50,50,0.07489,0.975,3230.8,24.7614860534668
13,100,50,50,0.03295,0.9925,2950.3,27.11564612388611
14,100,50,50,0.04163,0.98875,2716.4,29.450222969055176
15,100,50,50,0.02586,0.9925,2511.7,31.85147881507873
16,100,50,50,0.02047,0.99375,2336.1,34.24570298194885
17,100,50,50,0.08715,0.98875,2198.3,36.39136552810669
18,100,50,50,0.03894,0.985,2072.8,38.59559679031372
19,100,50,50,0.10491,0.96875,1975.1,40.505271434783936
20,100,50,50,0.11817,0.965,1860.8,42.99143981933594
21,100,50,50,0.09179,0.97625,1763.4,45.36781239509583
22,100,50,50,0.02423,0.9925,1675.6,47.74502921104431
23,100,50,50,0.06273,0.98625,1597.1,50.090800046920776
24,100,50,50,0.08883,0.9725,1523.7,52.50280261039734
25,100,50,50,0.03081,0.99375,1456.8,54.91443777084351
26,100,50,50,0.00653,0.99875,1397.1,57.261746883392334
27,100,50,50,0.01703,0.995,1347.0,59.389331102371216
28,100,50,50,0.00702,0.9975,1298.0,61.633882999420166
29,100,50,50,0.02933,0.99,1259.5,63.51960015296936
30,100,50,50,0.01282,0.99625,1214.3,65.88227581977844
31,100,50,50,0.01978,0.9925,1173.1,68.1951675415039
32,100,50,50,0.00616,0.9975,1132.9,70.61720371246338
33,100,50,50,0.04104,0.98875,1095.7,73.01146793365479
34,100,50,50,0.03956,0.98625,1062.8,75.27208423614502
35,100,50,50,0.02045,0.99375,1029.6,77.70002269744873
36,100,50,50,0.02382,0.99375,998.9,80.08482074737549
37,100,50,50,0.07493,0.98,973.0,82.22336030006409
38,100,50,50,0.03964,0.9875,947.1,84.46998500823975
39,100,50,50,0.00725,0.995,924.7,86.5115716457367
40,100,50,50,0.00096,1.0,897.4,89.14567685127258
41,100,50,50,0.00015,1.0,874.1,91.520987033844
42,100,50,50,0.00011,1.0,851.5,93.95405554771423
43,100,50,50,8e-05,1.0,830.5,96.32181906700134
44,100,50,50,6e-05,1.0,810.4,98.71071267127992
45,100,50,50,5e-05,1.0,791.2,101.11746072769164
46,100,50,50,5e-05,1.0,772.5,103.5657558441162
47,100,50,50,5e-05,1.0,756.4,105.76852250099182
48,100,50,50,4e-05,1.0,739.9,108.1262629032135
49,100,50,50,3e-05,1.0,724.5,110.42701435089111
50,100,50,50,2e-05,1.0,706.0,113.31053590774536
51,100,50,50,2e-05,1.0,692.1,115.5927734375
52,100,50,50,2e-05,1.0,677.8,118.03405952453612
53,100,50,50,2e-05,1.0,664.2,120.44155478477478
54,100,50,50,3e-05,1.0,651.0,122.88976502418518
55,100,50,50,2e-05,1.0,639.4,125.12706518173218
56,100,50,50,2e-05,1.0,627.2,127.5507299900055
57,100,50,50,1e-05,1.0,615.8,129.91400909423828
58,100,50,50,1e-05,1.0,604.2,132.4171657562256
59,100,50,50,2e-05,1.0,593.0,134.91251945495603
60,100,50,50,1e-05,1.0,581.0,137.69432425498962
61,100,50,50,1e-05,1.0,571.2,140.04873204231262
62,100,50,50,1e-05,1.0,561.8,142.41180419921875
63,100,50,50,1e-05,1.0,552.2,144.8691804409027
64,100,50,50,1e-05,1.0,543.6,147.17049074172974
65,100,50,50,1e-05,1.0,534.9,149.55439949035645
66,100,50,50,1e-05,1.0,526.5,151.9561321735382
67,100,50,50,1e-05,1.0,518.6,154.2529811859131
68,100,50,50,1e-05,1.0,510.5,156.70733952522278
69,100,50,50,1e-05,1.0,502.8,159.1036229133606
70,100,50,50,1e-05,1.0,494.1,161.9143316745758
71,100,50,50,1e-05,1.0,486.9,164.2934844493866
72,100,50,50,1e-05,1.0,479.9,166.69116735458374
73,100,50,50,1e-05,1.0,473.0,169.13698434829712
74,100,50,50,0.0,1.0,466.3,171.56530261039734
75,100,50,50,0.0,1.0,459.9,173.96625423431396
76,100,50,50,0.0,1.0,453.5,176.40060234069824
77,100,50,50,0.0,1.0,447.7,178.6752314567566
78,100,50,50,1e-05,1.0,441.7,181.10710167884827
79,100,50,50,0.0,1.0,436.2,183.38811993598927
80,100,50,50,0.0,1.0,429.6,186.21755361557007
81,100,50,50,0.0,1.0,424.4,188.485337972641
82,100,50,50,0.0,1.0,419.2,190.85622024536133
83,100,50,50,0.0,1.0,414.0,193.25511717796329
84,100,50,50,0.0,1.0,408.7,195.73366522789
85,100,50,50,0.0,1.0,403.7,198.15182256698608
86,100,50,50,0.0,1.0,398.8,200.5774805545807
87,100,50,50,0.0,1.0,394.3,202.89559483528137
88,100,50,50,0.0,1.0,389.7,205.3083453178405
89,100,50,50,0.0,1.0,385.2,207.6643424034119
90,100,50,50,0.0,1.0,380.0,210.5147469043732
91,100,50,50,0.0,1.0,375.8,212.894326210022
92,100,50,50,0.0,1.0,371.5,215.3343155384064
93,100,50,50,0.0,1.0,367.4,217.7659363746643
94,100,50,50,0.0,1.0,363.2,220.2604939937592
95,100,50,50,0.0,1.0,359.2,222.74805879592896
96,100,50,50,0.0,1.0,355.2,225.25077939033508
97,100,50,50,0.0,1.0,351.2,227.8092544078827
98,100,50,50,0.0,1.0,347.0,230.55042171478271
99,100,50,50,0.0,1.0,342.8,233.3669123649597
100,100,50,50,0.00000,1.00000,339.3,235.77606177330017
