epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,1.46068,0.435,17752.9,4.5063018798828125
2,100,50,50,0.98398,0.79375,10796.3,7.409952640533447
3,100,50,50,0.57792,0.85625,7845.6,10.196768283843994
4,100,50,50,0.35657,0.91,6146.8,13.014861583709717
5,100,50,50,0.24964,0.92875,5072.2,15.772245168685911
6,100,50,50,0.18947,0.945,4283.5,18.676414012908936
7,100,50,50,0.13771,0.96375,3713.9,21.54049849510193
8,100,50,50,0.10339,0.97375,3266.8,24.48885059356689
9,100,50,50,0.09729,0.97,2925.8,27.342873096466064
10,100,50,50,0.06511,0.9875,2635.3,30.35686087608337
11,100,50,50,0.05169,0.99125,2405.9,33.25206398963928
12,100,50,50,0.05615,0.985,2208.0,36.23229241371155
13,100,50,50,0.06614,0.98125,2044.7,39.12561011314392
14,100,50,50,0.03039,0.99375,1907.0,41.95035743713379
15,100,50,50,0.02983,0.99375,1779.7,44.95129156112671
16,100,50,50,0.02437,0.995,1669.9,47.90789866447449
17,100,50,50,0.02676,0.99625,1579.2,50.65824484825134
18,100,50,50,0.03418,0.99,1495.6,53.49148988723755
19,100,50,50,0.0219,0.9975,1416.7,56.46999740600586
20,100,50,50,0.01841,0.9975,1347.9,59.35318088531494
21,100,50,50,0.01879,0.995,1284.5,62.27926588058472
22,100,50,50,0.03416,0.9925,1226.8,65.2099916934967
23,100,50,50,0.01617,0.99875,1174.0,68.14219331741333
24,100,50,50,0.01667,0.99375,1123.9,71.18241834640503
25,100,50,50,0.01687,0.99625,1080.0,74.07499551773071
26,100,50,50,0.02731,0.99375,1038.0,77.07146048545837
27,100,50,50,0.01713,0.99625,999.1,80.06933784484863
28,100,50,50,0.00585,1.0,963.3,83.04535126686096
29,100,50,50,0.00951,0.99875,930.0,86.01743721961975
30,100,50,50,0.03824,0.99,899.9,88.89385628700256
31,100,50,50,0.01128,1.0,871.9,91.75308799743652
32,100,50,50,0.01482,0.9975,845.1,94.66180109977722
33,100,50,50,0.00974,0.9975,819.6,97.61130833625792
34,100,50,50,0.0225,0.9925,795.1,100.61898112297058
35,100,50,50,0.01715,0.99625,771.6,103.675231218338
36,100,50,50,0.01287,0.99625,750.5,106.59324288368224
37,100,50,50,0.01438,0.9925,730.3,109.54645800590517
38,100,50,50,0.00813,0.99875,711.5,112.4455587863922
39,100,50,50,0.00603,0.99875,693.3,115.382803440094
40,100,50,50,0.01583,0.99625,676.2,118.31422543525696
41,100,50,50,0.00615,0.99875,659.2,121.36276006698608
42,100,50,50,0.00758,0.9975,643.5,124.31848073005676
43,100,50,50,0.01057,0.9975,628.9,127.19978761672974
44,100,50,50,0.00222,1.0,614.2,130.2582836151123
45,100,50,50,0.00503,0.99875,600.5,133.21408987045288
46,100,50,50,0.0143,0.995,587.1,136.26414823532104
