epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,1.38538,0.47375,16709.4,4.787709951400757
2,100,50,50,0.96783,0.69875,10574.3,7.565490245819092
3,100,50,50,0.76851,0.7475,7678.2,10.419121265411375
4,100,50,50,0.60899,0.79625,5959.7,13.423457384109495
5,100,50,50,0.51221,0.8325,4918.2,16.26611566543579
6,100,50,50,0.42691,0.86375,4181.4,19.13246750831604
7,100,50,50,0.33676,0.89125,3619.1,22.104926109313965
8,100,50,50,0.28059,0.925,3163.2,25.29079651832581
9,100,50,50,0.24852,0.93,2843.3,28.136564016342163
10,100,50,50,0.22185,0.93625,2570.7,31.119425773620605
11,100,50,50,0.18167,0.9475,2351.3,34.02331066131592
12,100,50,50,0.15133,0.9525,2170.6,36.85644698143005
13,100,50,50,0.10007,0.98125,2005.2,39.89673447608948
14,100,50,50,0.09596,0.9775,1871.3,42.75013494491577
15,100,50,50,0.08622,0.97875,1749.9,45.716965675354
16,100,50,50,0.10055,0.9675,1643.9,48.663320779800415
17,100,50,50,0.06222,0.98125,1547.6,51.69390678405762
18,100,50,50,0.07104,0.9825,1457.9,54.87192893028259
19,100,50,50,0.0608,0.985,1382.4,57.86902856826782
20,100,50,50,0.05395,0.98125,1317.5,60.72103786468506
21,100,50,50,0.05848,0.9825,1256.7,63.65822625160217
22,100,50,50,0.05151,0.98875,1204.1,66.44127893447876
23,100,50,50,0.04454,0.9875,1152.5,69.41332459449768
24,100,50,50,0.03375,0.99375,1104.1,72.45781445503235
25,100,50,50,0.0408,0.98875,1059.6,75.49765419960022
26,100,50,50,0.03806,0.99,1018.6,78.53993940353394
27,100,50,50,0.02354,0.995,981.7,81.48894143104553
28,100,50,50,0.02685,0.995,945.7,84.58923602104187
29,100,50,50,0.03711,0.9925,913.2,87.59962153434753
30,100,50,50,0.02346,0.99375,882.9,90.60812139511108
31,100,50,50,0.02285,0.995,855.6,93.50604438781738
32,100,50,50,0.02497,0.9925,829.2,96.47445344924928
33,100,50,50,0.04022,0.98375,805.9,99.26649308204652
34,100,50,50,0.02095,0.99375,782.0,102.29999256134032
35,100,50,50,0.02361,0.99375,759.6,105.31615471839903
36,100,50,50,0.0178,0.99625,739.3,108.21036314964294
37,100,50,50,0.02186,0.9975,719.8,111.13922572135924
38,100,50,50,0.01864,0.995,701.3,114.06708884239195
39,100,50,50,0.01737,0.9925,683.5,117.03816628456116
40,100,50,50,0.01559,0.9975,666.4,120.04979848861694
41,100,50,50,0.0175,0.99625,651.7,122.75091910362244
42,100,50,50,0.02207,0.9925,636.7,125.64255952835084
43,100,50,50,0.01044,0.99875,622.5,128.51360654830933
44,100,50,50,0.01687,0.99625,608.8,131.39759588241577
45,100,50,50,0.00944,0.9975,595.8,134.27951622009277
46,100,50,50,0.01156,0.9975,583.2,137.1844997406006
47,100,50,50,0.02866,0.99125,571.8,139.90911221504211
48,100,50,50,0.02526,0.995,560.8,142.66308879852295
49,100,50,50,0.01203,0.995,550.0,145.44800400733948
50,100,50,50,0.00901,0.9975,538.6,148.52671885490415
51,100,50,50,0.0095,0.9975,528.2,151.44978260993958
52,100,50,50,0.01332,0.995,517.4,154.60705041885376
53,100,50,50,0.01129,0.99625,508.1,157.45232439041138
54,100,50,50,0.01937,0.99375,499.3,160.2357394695282
55,100,50,50,0.01935,0.9925,490.4,163.14275550842285
56,100,50,50,0.01931,0.99375,481.8,166.0600233078003
57,100,50,50,0.0094,0.9975,473.9,168.82214260101318
58,100,50,50,0.01058,0.9975,465.2,171.97402215003967
59,100,50,50,0.00567,0.99875,457.2,174.97776699066162
60,100,50,50,0.0182,0.99625,449.9,177.81626057624817
61,100,50,50,0.01599,0.99625,442.7,180.6961808204651
62,100,50,50,0.0123,0.995,436.0,183.49242877960205
63,100,50,50,0.00609,0.99875,428.9,186.51410484313965
64,100,50,50,0.01335,0.99625,422.6,189.31827902793884
65,100,50,50,0.01255,0.99625,416.2,192.2166564464569
66,100,50,50,0.00982,0.9975,410.2,195.04256916046145
67,100,50,50,0.0093,0.99875,403.9,198.0675292015076
68,100,50,50,0.00672,0.9975,397.7,201.16423964500427
69,100,50,50,0.0125,0.9975,392.3,203.9091005325317
70,100,50,50,0.01278,0.995,386.8,206.836895942688
71,100,50,50,0.00763,0.99875,381.5,209.6840283870697
72,100,50,50,0.01387,0.99625,376.2,212.66437458992004
73,100,50,50,0.00613,0.99875,371.0,215.64490723609924
74,100,50,50,0.00561,0.99875,366.2,218.4828081130981
75,100,50,50,0.01544,0.9975,361.5,221.3222005367279
76,100,50,50,0.00392,0.99875,356.7,224.24785923957825
77,100,50,50,0.01176,0.99625,351.8,227.38458800315857
78,100,50,50,0.00815,0.99875,347.4,230.2680695056916
79,100,50,50,0.01278,0.99625,343.1,233.16124415397644
80,100,50,50,0.00736,0.99875,338.9,236.02510166168213
81,100,50,50,0.00418,1.0,334.9,238.86423444747925
82,100,50,50,0.00326,1.0,331.0,241.7027087211609
83,100,50,50,0.0044,0.99875,327.1,244.5992410182953
84,100,50,50,0.00234,1.0,323.1,247.5766627788544
85,100,50,50,0.00655,0.99875,319.3,250.52566194534305
86,100,50,50,0.01406,0.995,315.8,253.33973288536072
87,100,50,50,0.00673,0.9975,312.1,256.28967690467834
88,100,50,50,0.01405,0.995,308.7,259.17142939567566
89,100,50,50,0.00523,0.99875,305.3,262.05455255508423
90,100,50,50,0.00339,1.0,301.9,265.00731229782104
91,100,50,50,0.00078,1.0,298.4,268.1101462841034
92,100,50,50,0.00124,1.0,295.0,271.1528248786926
93,100,50,50,0.01079,0.9975,291.7,274.289669752121
94,100,50,50,0.0066,0.99875,288.5,277.2996480464936
95,100,50,50,0.00594,0.9975,285.3,280.38972640037537
96,100,50,50,0.01252,0.99875,282.4,283.3022849559784
97,100,50,50,0.00375,0.99875,279.2,286.4904570579529
98,100,50,50,0.00602,0.99875,276.1,289.7837002277374
99,100,50,50,0.01298,0.995,273.3,292.7190682888031
100,100,50,50,0.01668,0.99500,270.5,295.70311665534973
