epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,50,50,0.96828,0.63125,23391.0,3.4201159477233887
2,100,50,50,0.36796,0.88125,15117.5,5.291889190673828
3,100,50,50,0.21508,0.92625,11354.1,7.045889616012573
4,100,50,50,0.11595,0.97125,9000.1,8.888789653778076
5,100,50,50,0.09137,0.97,7640.1,10.47108244895935
6,100,50,50,0.07489,0.97875,6549.9,12.213969230651855
7,100,50,50,0.06854,0.97625,5729.6,13.962558507919312
8,100,50,50,0.05565,0.98625,5053.7,15.829911231994627
9,100,50,50,0.05372,0.985,4550.8,17.579427003860474
10,100,50,50,0.06335,0.985,4118.8,19.423193216323853
11,100,50,50,0.04286,0.98625,3764.0,21.254106998443604
12,100,50,50,0.03169,0.9875,3468.6,23.064274549484253
13,100,50,50,0.01352,0.99875,3239.2,24.697188138961792
14,100,50,50,0.01215,0.99875,3028.2,26.41852641105652
15,100,50,50,0.02353,0.9925,2833.8,28.23105216026306
16,100,50,50,0.01592,0.99625,2662.2,30.049944639205933
17,100,50,50,0.01336,0.9975,2512.2,31.84477734565735
18,100,50,50,0.02359,0.99,2384.5,33.5505907535553
19,100,50,50,0.05235,0.9875,2266.6,35.29590606689453
20,100,50,50,0.04208,0.98875,2152.5,37.16600823402405
21,100,50,50,0.03875,0.99,2052.6,38.9752836227417
22,100,50,50,0.0098,0.9975,1960.0,40.81566047668457
23,100,50,50,0.01152,0.99875,1875.5,42.656418323516846
24,100,50,50,0.00375,1.0,1800.8,44.42443823814392
25,100,50,50,0.00498,1.0,1730.5,46.22906255722046
26,100,50,50,0.01094,0.99625,1668.7,47.94188165664673
27,100,50,50,0.0097,0.9975,1606.5,49.797882080078125
28,100,50,50,0.00944,0.99875,1549.6,51.6254518032074
29,100,50,50,0.01527,0.99375,1498.7,53.381372690200806
30,100,50,50,0.03887,0.99125,1448.0,55.24797248840332
31,100,50,50,0.02623,0.99125,1399.7,57.15703582763672
32,100,50,50,0.05244,0.9875,1354.7,59.05266952514648
33,100,50,50,0.02327,0.9925,1313.6,60.90245223045349
34,100,50,50,0.03317,0.9875,1274.7,62.75889754295349
35,100,50,50,0.01043,0.9975,1239.0,64.56685471534729
36,100,50,50,0.01627,0.99375,1204.1,66.44106960296631
37,100,50,50,0.01579,0.99625,1170.8,68.33038258552551
38,100,50,50,0.0303,0.99,1139.6,70.2002124786377
39,100,50,50,0.02926,0.9925,1109.5,72.10135459899902
40,100,50,50,0.02349,0.99125,1080.9,74.00966238975525
41,100,50,50,0.02517,0.99125,1054.0,75.89797949790955
42,100,50,50,0.02785,0.99375,1028.8,77.7588164806366
43,100,50,50,0.00787,0.99875,1005.4,79.57328605651855
44,100,50,50,0.01234,0.99625,981.5,81.50671005249023
45,100,50,50,0.00506,1.0,958.9,83.43324661254883
46,100,50,50,0.00269,1.0,937.7,85.31666111946106
47,100,50,50,0.00165,1.0,917.8,87.16330432891846
48,100,50,50,0.00131,1.0,899.4,88.94482088088989
49,100,50,50,0.00165,1.0,881.1,90.79727840423584
50,100,50,50,0.00073,1.0,864.4,92.55433011054993
51,100,50,50,0.00164,1.0,847.3,94.4175341129303
52,100,50,50,0.00186,1.0,831.5,96.21478486061096
53,100,50,50,0.00172,1.0,816.0,98.03957152366638
54,100,50,50,0.00144,1.0,800.6,99.92408275604248
55,100,50,50,0.00092,1.0,785.8,101.80742645263672
56,100,50,50,0.00052,1.0,772.5,103.5580587387085
57,100,50,50,0.00074,1.0,759.6,105.31372857093812
58,100,50,50,0.00163,1.0,746.6,107.15197348594666
59,100,50,50,0.00919,0.9975,733.8,109.01511716842651
60,100,50,50,0.00325,1.0,722.0,110.80311226844788
61,100,50,50,0.00595,0.9975,710.7,112.56104707717896
62,100,50,50,0.0035,1.0,699.4,114.38952231407166
63,100,50,50,0.00262,1.0,688.4,116.21639490127563
64,100,50,50,0.00175,1.0,678.0,117.98875451087952
65,100,50,50,0.00282,0.99875,667.4,119.86233615875244
66,100,50,50,0.01958,0.9975,657.8,121.61155724525452
67,100,50,50,0.01605,0.995,648.2,123.4099657535553
68,100,50,50,0.02603,0.99,639.2,125.16358399391174
69,100,50,50,0.01146,0.99625,630.1,126.9625825881958
70,100,50,50,0.00628,0.99875,621.2,128.78932070732117
71,100,50,50,0.0112,0.995,613.0,130.50861763954163
72,100,50,50,0.00653,0.99875,604.7,132.2907853126526
73,100,50,50,0.00206,1.0,596.3,134.17164611816406
74,100,50,50,0.00122,1.0,588.4,135.9569444656372
75,100,50,50,0.00309,0.99875,580.6,137.77910089492798
76,100,50,50,0.00394,0.99875,573.0,139.61629009246826
77,100,50,50,0.04635,0.99,565.9,141.37000966072085
78,100,50,50,0.01039,0.995,558.7,143.19325947761536
79,100,50,50,0.01249,0.9975,551.6,145.03608584403992
80,100,50,50,0.0087,0.99625,544.6,146.90198612213135
81,100,50,50,0.01298,0.99625,537.9,148.7211034297943
82,100,50,50,0.0268,0.99125,531.4,150.54664015769958
83,100,50,50,0.02746,0.98875,525.2,152.31492400169373
84,100,50,50,0.01936,0.9925,519.1,154.11581683158877
85,100,50,50,0.02523,0.99375,512.9,155.96164417266846
86,100,50,50,0.00887,0.9975,507.0,157.7788987159729
87,100,50,50,0.00974,0.995,501.6,159.48107719421387
88,100,50,50,0.01029,0.99875,496.1,161.26345491409302
89,100,50,50,0.0071,0.9975,490.7,163.0486867427826
90,100,50,50,0.00851,0.9975,485.4,164.79986023902893
91,100,50,50,0.01221,0.99625,480.1,166.62308645248413
92,100,50,50,0.02894,0.99,474.9,168.44553589820862
93,100,50,50,0.00431,1.0,469.6,170.3733479976654
94,100,50,50,0.00421,1.0,464.7,172.1540868282318
95,100,50,50,0.00092,1.0,459.9,173.96687960624695
96,100,50,50,0.01553,0.995,455.3,175.6902940273285
97,100,50,50,0.0326,0.98875,450.6,177.54135727882385
98,100,50,50,0.01553,0.99,446.0,179.3531084060669
99,100,50,50,0.00666,0.99625,441.6,181.16872024536133
100,100,50,50,0.00328,1.00000,437.2,182.97512936592102
