epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.27372,0.50545,27309.8,6.041788816452026
2,100,4,4,0.39241,0.94545,24116.9,6.841667890548706
3,100,4,4,0.15445,0.98848,22723.9,7.261083364486694
4,100,4,4,0.066,0.99455,20390.5,8.092018127441406
5,100,4,4,0.03064,0.99879,18557.7,8.891189098358154
6,100,4,4,0.01428,1.0,17025.0,9.69165062904358
7,100,4,4,0.00787,1.0,15706.4,10.505295753479004
8,100,4,4,0.00504,1.0,15081.2,10.94080400466919
9,100,4,4,0.00371,1.0,14062.1,11.733656883239746
10,100,4,4,0.00289,1.0,13168.0,12.530359029769896
11,100,4,4,0.00242,1.0,12399.9,13.306601524353027
12,100,4,4,0.00198,1.0,11678.1,14.128979682922363
13,100,4,4,0.00173,1.0,11153.8,14.793139219284058
14,100,4,4,0.00154,1.0,10592.9,15.57649278640747
15,100,4,4,0.00139,1.0,10065.4,16.392823219299316
16,100,4,4,0.00143,1.0,9577.0,17.22885537147522
17,100,4,4,0.00125,1.0,9147.8,18.03719711303711
18,100,4,4,0.00115,1.0,8778.8,18.79521894454956
19,100,4,4,0.00104,1.0,8416.7,19.603949308395386
20,100,4,4,0.00107,1.0,8085.1,20.40800380706787
21,100,4,4,0.00096,1.0,7771.1,21.23245334625244
22,100,4,4,0.00092,1.0,7538.4,21.8878915309906
23,100,4,4,0.00085,1.0,7273.7,22.68436884880066
24,100,4,4,0.00082,1.0,7016.2,23.51714444160461
25,100,4,4,0.00081,1.0,6783.6,24.323344469070435
26,100,4,4,0.00075,1.0,6567.9,25.1220817565918
27,100,4,4,0.00076,1.0,6398.0,25.789125204086304
28,100,4,4,0.00075,1.0,6205.0,26.59165620803833
29,100,4,4,0.00068,1.0,6017.8,27.41883134841919
30,100,4,4,0.00068,1.0,5845.1,28.228790521621704
31,100,4,4,0.00068,1.0,5678.8,29.0556218624115
32,100,4,4,0.00063,1.0,5590.6,29.51364731788636
33,100,4,4,0.00059,1.0,5445.6,30.299827814102173
34,100,4,4,0.00061,1.0,5299.6,31.13429450988769
35,100,4,4,0.00055,1.0,5167.6,31.92978000640869
36,100,4,4,0.00056,1.0,5043.7,32.71408581733704
37,100,4,4,0.00056,1.0,4953.6,33.30919599533081
38,100,4,4,0.00053,1.0,4836.5,34.115691900253296
39,100,4,4,0.00052,1.0,4728.0,34.89846730232239
40,100,4,4,0.00049,1.0,4620.0,35.713939905166626
41,100,4,4,0.0005,1.0,4522.7,36.48231792449951
42,100,4,4,0.00046,1.0,4424.0,37.29633617401123
43,100,4,4,0.00046,1.0,4331.8,38.0900604724884
44,100,4,4,0.00047,1.0,4239.0,38.924341678619385
45,100,4,4,0.00043,1.0,4153.5,39.72521924972534
46,100,4,4,0.00042,1.0,4084.7,40.39479684829712
47,100,4,4,0.00041,1.0,4007.1,41.17739176750183
48,100,4,4,0.00039,1.0,3929.7,41.987934827804565
49,100,4,4,0.0004,1.0,3853.2,42.82126021385193
50,100,4,4,0.00037,1.0,3779.2,43.65962338447571
51,100,4,4,0.00041,1.0,3738.2,44.13942170143128
52,100,4,4,0.00038,1.0,3673.7,44.91434574127197
53,100,4,4,0.00034,1.0,3608.6,45.72347068786621
54,100,4,4,0.00037,1.0,3546.5,46.525046825408936
55,100,4,4,0.00036,1.0,3486.5,47.32553148269653
56,100,4,4,0.00035,1.0,3454.0,47.77014422416687
57,100,4,4,0.00033,1.0,3397.5,48.56546831130981
58,100,4,4,0.00034,1.0,3342.6,49.36333227157593
59,100,4,4,0.00035,1.0,3287.5,50.189459800720215
60,100,4,4,0.00032,1.0,3235.4,50.9978187084198
61,100,4,4,0.00032,1.0,3209.3,51.41386890411377
62,100,4,4,0.00029,1.0,3158.2,52.24538707733154
63,100,4,4,0.00029,1.0,3109.9,53.05582427978516
64,100,4,4,0.00034,1.0,3061.7,53.89250159263611
65,100,4,4,0.00027,1.0,3015.1,54.7252368927002
66,100,4,4,0.00029,1.0,2992.3,55.14117383956909
67,100,4,4,0.00031,1.0,2949.4,55.94349431991577
68,100,4,4,0.00028,1.0,2908.3,56.73341250419617
