epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.27756,0.52,30589.0,5.394102573394775
2,100,4,4,0.27985,0.94182,26576.6,6.208473920822144
3,100,4,4,0.1232,0.9703,23485.6,7.025582790374756
4,100,4,4,0.06804,0.98303,21043.8,7.840786695480347
5,100,4,4,0.03824,0.99212,19139.9,8.620712757110596
6,100,4,4,0.02463,0.99455,17514.5,9.420754671096802
7,100,4,4,0.01433,1.0,16144.9,10.219944953918455
8,100,4,4,0.00971,1.0,14972.7,11.02008891105652
9,100,4,4,0.00618,1.0,14311.0,11.5295672416687
10,100,4,4,0.00426,1.0,13380.3,12.331530094146729
11,100,4,4,0.00327,1.0,12592.3,13.103214025497437
12,100,4,4,0.00241,1.0,11891.2,13.875779151916504
13,100,4,4,0.00224,1.0,11226.7,14.697075605392456
14,100,4,4,0.00183,1.0,10889.6,15.152127742767334
15,100,4,4,0.00165,1.0,10356.5,15.932029724121094
16,100,4,4,0.00142,1.0,9880.8,16.699100017547607
17,100,4,4,0.00124,1.0,9431.1,17.4952290058136
18,100,4,4,0.00124,1.0,9030.8,18.27074241638184
19,100,4,4,0.00111,1.0,8705.2,18.95427179336548
20,100,4,4,0.00107,1.0,8343.6,19.77572011947632
21,100,4,4,0.00098,1.0,8032.0,20.542755365371704
22,100,4,4,0.00091,1.0,7743.6,21.308048248291016
23,100,4,4,0.00088,1.0,7516.5,21.95169568061829
24,100,4,4,0.00086,1.0,7260.4,22.72603273391724
25,100,4,4,0.0009,1.0,7026.4,23.482800483703613
26,100,4,4,0.00071,1.0,6800.8,24.26194548606873
27,100,4,4,0.00076,1.0,6588.3,25.044448614120483
28,100,4,4,0.00073,1.0,6442.4,25.6115140914917
29,100,4,4,0.00065,1.0,6249.9,26.400377988815308
30,100,4,4,0.00072,1.0,6066.0,27.200603723526
31,100,4,4,0.00068,1.0,5888.1,28.022506713867188
32,100,4,4,0.0006,1.0,5722.0,28.835872650146484
33,100,4,4,0.00055,1.0,5591.7,29.507843017578125
34,100,4,4,0.00052,1.0,5443.5,30.311310529708862
35,100,4,4,0.00052,1.0,5307.2,31.08999919891357
36,100,4,4,0.00054,1.0,5174.5,31.88716173171997
37,100,4,4,0.00052,1.0,5048.0,32.68640446662903
38,100,4,4,0.00045,1.0,4927.5,33.485570669174194
39,100,4,4,0.00044,1.0,4812.1,34.288795471191406
40,100,4,4,0.00045,1.0,4702.6,35.08717179298401
41,100,4,4,0.00045,1.0,4601.6,35.857306718826294
42,100,4,4,0.00045,1.0,4549.2,36.27009606361389
43,100,4,4,0.00041,1.0,4449.0,37.087064266204834
