epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,40,40,0.16495,0.94739,136307.0,14.78281044960022
2,100,40,40,0.00253,0.9997,84166.7,23.94057869911194
3,100,40,40,0.00084,1.0,60993.5,33.03631591796875
4,100,40,40,0.00052,1.0,47750.3,42.19869327545166
5,100,40,40,0.00038,1.0,39178.2,51.43162894248962
6,100,40,40,0.0003,1.0,33355.5,60.40984129905701
7,100,40,40,0.00025,1.0,28951.1,69.60000205039978
8,100,40,40,0.0002,1.0,25581.8,78.76695322990417
9,100,40,40,0.00019,1.0,22907.1,87.96389627456665
10,100,40,40,0.00017,1.0,20711.1,97.29088878631592
11,100,40,40,0.00013,1.0,18884.0,106.70417046546936
12,100,40,40,0.00012,1.0,17334.6,116.2411994934082
13,100,40,40,0.0001,1.0,16017.5,125.79968929290771
14,100,40,40,9e-05,1.0,14873.8,135.47349524497986
15,100,40,40,9e-05,1.0,13870.8,145.2689826488495
16,100,40,40,7e-05,1.0,13002.0,154.97578263282776
17,100,40,40,7e-05,1.0,12228.5,164.7791609764099
18,100,40,40,6e-05,1.0,11539.0,174.6253170967102
19,100,40,40,6e-05,1.0,10930.2,184.35104060173035
20,100,40,40,6e-05,1.0,10392.3,193.89351391792297
21,100,40,40,5e-05,1.0,9911.6,203.297292470932
22,100,40,40,5e-05,1.0,9478.3,212.59026408195496
23,100,40,40,5e-05,1.0,9079.1,221.93793892860413
24,100,40,40,4e-05,1.0,8709.8,231.34785652160645
25,100,40,40,4e-05,1.0,8378.3,240.50353336334229
26,100,40,40,4e-05,1.0,8063.8,249.8837230205536
27,100,40,40,4e-05,1.0,7774.3,259.1883456707001
28,100,40,40,3e-05,1.0,7505.6,268.4678201675415
29,100,40,40,3e-05,1.0,7252.4,277.8380756378174
30,100,40,40,3e-05,1.0,7015.6,287.21793961524963
31,100,40,40,3e-05,1.0,6795.3,296.52884554862976
32,100,40,40,3e-05,1.0,6586.9,305.9079344272613
33,100,40,40,3e-05,1.0,6390.1,315.33007431030273
34,100,40,40,2e-05,1.0,6209.0,324.5303559303284
35,100,40,40,2e-05,1.0,6037.9,333.7258331775665
36,100,40,40,2e-05,1.0,5873.4,343.0703139305115
37,100,40,40,2e-05,1.0,5717.1,352.4506514072418
38,100,40,40,2e-05,1.0,5569.5,361.79117012023926
39,100,40,40,2e-05,1.0,5429.3,371.1374578475952
40,100,40,40,2e-05,1.0,5296.0,380.4734547138214
41,100,40,40,2e-05,1.0,5169.4,389.7914323806762
42,100,40,40,2e-05,1.0,5046.8,399.2662100791931
43,100,40,40,2e-05,1.0,4931.3,408.6143057346344
44,100,40,40,2e-05,1.0,4822.0,417.872927904129
45,100,40,40,2e-05,1.0,4717.0,427.1786274909973
46,100,40,40,2e-05,1.0,4614.4,436.6742172241211
47,100,40,40,1e-05,1.0,4517.3,446.0611472129822
48,100,40,40,1e-05,1.0,4423.7,455.5010118484497
49,100,40,40,1e-05,1.0,4334.1,464.9182584285736
50,100,40,40,1e-05,1.0,4247.1,474.4440557956696
51,100,40,40,1e-05,1.0,4164.4,483.8622694015503
52,100,40,40,1e-05,1.0,4085.0,493.2739360332489
53,100,40,40,1e-05,1.0,4008.3,502.7055037021637
54,100,40,40,1e-05,1.0,3935.9,511.95980286598206
55,100,40,40,1e-05,1.0,3864.6,521.4034011363983
56,100,40,40,1e-05,1.0,3796.2,530.7932267189026
57,100,40,40,1e-05,1.0,3730.0,540.2198393344879
58,100,40,40,1e-05,1.0,3684.2,546.9282643795013
59,100,40,40,1e-05,1.0,3645.7,552.7074987888336
60,100,40,40,1e-05,1.0,3578.8,563.0366780757904
61,100,40,40,1e-05,1.0,3516.5,573.016943693161
62,100,40,40,1e-05,1.0,3457.5,582.7853167057037
63,100,40,40,1e-05,1.0,3399.8,592.6788792610168
64,100,40,40,1e-05,1.0,3343.0,602.7536344528198
65,100,40,40,1e-05,1.0,3289.9,612.4713840484619
66,100,40,40,1e-05,1.0,3238.2,622.261757850647
67,100,40,40,1e-05,1.0,3188.9,631.889009475708
68,100,40,40,1e-05,1.0,3140.7,641.5667195320129
69,100,40,40,1e-05,1.0,3096.1,650.8282656669617
70,100,40,40,1e-05,1.0,3050.2,660.6159989833832
71,100,40,40,1e-05,1.0,3005.4,670.4705448150635
72,100,40,40,1e-05,1.0,2961.7,680.3423609733582
