epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,1.05162,0.75921,100988.8,7.476073026657104
2,100,30,30,0.28201,0.98252,59729.8,12.640265941619871
3,100,30,30,0.05524,0.99616,42438.8,17.790308713912964
4,100,30,30,0.02059,0.99881,32897.5,22.950085878372192
5,100,30,30,0.01176,0.99934,26850.1,28.11902928352356
6,100,30,30,0.00805,0.99934,22672.6,33.300129890441895
7,100,30,30,0.00537,0.9996,19622.1,38.4769778251648
8,100,30,30,0.00384,0.99987,17294.6,43.65512013435364
9,100,30,30,0.00318,1.0,15461.4,48.83134841918945
10,100,30,30,0.00255,0.99987,13975.6,54.02262353897095
11,100,30,30,0.00248,0.99974,12753.1,59.2013418674469
12,100,30,30,0.00197,1.0,11726.2,64.38559317588806
13,100,30,30,0.00164,1.0,10849.3,69.59001159667969
14,100,30,30,0.0017,0.99987,10096.7,74.77664494514465
15,100,30,30,0.00098,1.0,9440.4,79.97569608688354
16,100,30,30,0.00099,1.0,8865.9,85.15740776062012
17,100,30,30,0.00087,1.0,8356.6,90.347553730011
18,100,30,30,0.00074,1.0,7902.9,95.53408527374268
19,100,30,30,0.00069,1.0,7497.0,100.70645475387572
20,100,30,30,0.00092,1.0,7129.4,105.89917063713074
21,100,30,30,0.0007,1.0,6797.1,111.0770344734192
22,100,30,30,0.00054,1.0,6494.1,116.25955009460448
23,100,30,30,0.0005,1.0,6217.0,121.440979719162
24,100,30,30,0.00049,1.0,5962.4,126.62734532356262
25,100,30,30,0.00039,1.0,5727.8,131.81256222724917
26,100,30,30,0.00043,1.0,5510.9,137.0022327899933
27,100,30,30,0.00031,1.0,5310.0,142.18445563316345
28,100,30,30,0.00033,1.0,5123.3,147.36604046821594
29,100,30,30,0.00035,1.0,4949.1,152.55284976959229
30,100,30,30,0.00033,1.0,4786.1,157.74911093711853
31,100,30,30,0.00032,1.0,4633.6,162.93940329551697
32,100,30,30,0.00022,1.0,4490.4,168.1369333267212
33,100,30,30,0.00026,1.0,4355.5,173.3432972431183
34,100,30,30,0.00021,1.0,4228.9,178.5314040184021
35,100,30,30,0.00024,1.0,4109.4,183.7240800857544
36,100,30,30,0.00037,0.99987,3996.2,188.92939257621765
37,100,30,30,0.00028,1.0,3889.2,194.12669038772583
38,100,30,30,0.00024,1.0,3787.5,199.3384051322937
39,100,30,30,0.00019,1.0,3691.4,204.5314209461212
40,100,30,30,0.00026,1.0,3600.1,209.7153000831604
41,100,30,30,0.00035,0.99987,3513.0,214.91564750671387
42,100,30,30,0.00016,1.0,3430.1,220.1118323802948
43,100,30,30,0.00017,1.0,3351.0,225.3032069206237
44,100,30,30,0.00014,1.0,3275.3,230.51175260543823
45,100,30,30,0.00015,1.0,3203.0,235.71766257286072
46,100,30,30,0.00014,1.0,3133.8,240.922646522522
47,100,30,30,0.00012,1.0,3067.6,246.1246507167816
48,100,30,30,0.00018,1.0,3004.0,251.3338918685913
49,100,30,30,0.00013,1.0,2943.0,256.5404176712036
50,100,30,30,0.00011,1.0,2884.4,261.7531545162201
51,100,30,30,0.00037,0.99987,2828.2,266.9527699947357
52,100,30,30,0.0002,1.0,2774.0,272.17078828811646
53,100,30,30,0.00018,1.0,2722.0,277.3734817504883
54,100,30,30,9e-05,1.0,2671.6,282.5976428985596
55,100,30,30,0.00013,1.0,2623.1,287.830637216568
56,100,30,30,0.00012,1.0,2576.5,293.0372490882873
57,100,30,30,0.00011,1.0,2531.3,298.2669186592102
58,100,30,30,7e-05,1.0,2487.8,303.4802646636963
59,100,30,30,9e-05,1.0,2445.7,308.7104127407074
60,100,30,30,0.00012,1.0,2405.1,313.9218339920044
61,100,30,30,8e-05,1.0,2365.8,319.127900838852
62,100,30,30,6e-05,1.0,2327.7,324.3593108654022
63,100,30,30,0.00016,1.0,2290.8,329.5784525871277
64,100,30,30,0.00019,0.99987,2255.1,334.79309606552124
65,100,30,30,0.00011,1.0,2220.4,340.02887654304504
66,100,30,30,0.00023,0.99987,2186.9,345.23048973083496
67,100,30,30,9e-05,1.0,2154.3,350.467577457428
68,100,30,30,0.00026,0.99987,2122.7,355.6792058944702
69,100,30,30,0.00046,0.99987,2092.0,360.8948249816895
70,100,30,30,0.00017,1.0,2062.1,366.1346523761749
71,100,30,30,0.00012,1.0,2033.0,371.3737425804138
72,100,30,30,9e-05,1.0,2004.9,376.5841684341431
73,100,30,30,8e-05,1.0,1977.5,381.7996644973755
74,100,30,30,8e-05,1.0,1950.8,387.0191991329193
75,100,30,30,8e-05,1.0,1924.8,392.2393600940704
76,100,30,30,6e-05,1.0,1899.6,397.4588825702667
77,100,30,30,0.00013,1.0,1875.0,402.67231798172
78,100,30,30,0.00064,0.99987,1850.9,407.902578830719
79,100,30,30,7e-05,1.0,1827.5,413.1344168186188
80,100,30,30,9e-05,1.0,1804.6,418.36430311203
81,100,30,30,7e-05,1.0,1782.3,423.61380529403687
82,100,30,30,0.0001,1.0,1760.7,428.81156611442566
83,100,30,30,4e-05,1.0,1739.4,434.0528075695038
84,100,30,30,4e-05,1.0,1718.6,439.3078923225403
85,100,30,30,7e-05,1.0,1698.4,444.53749775886536
86,100,30,30,8e-05,1.0,1678.7,449.7486708164215
87,100,30,30,5e-05,1.0,1659.4,454.9894576072693
88,100,30,30,4e-05,1.0,1640.5,460.2136476039887
89,100,30,30,4e-05,1.0,1622.1,465.4525001049042
90,100,30,30,4e-05,1.0,1604.1,470.6834223270416
91,100,30,30,4e-05,1.0,1586.4,475.92939591407776
92,100,30,30,4e-05,1.0,1569.1,481.1574976444245
93,100,30,30,7e-05,1.0,1552.2,486.4207561016083
94,100,30,30,9e-05,1.0,1535.7,491.64342880249023
95,100,30,30,3e-05,1.0,1519.5,496.8707764148712
96,100,30,30,4e-05,1.0,1503.6,502.1154642105103
97,100,30,30,8e-05,1.0,1488.1,507.3431096076965
98,100,30,30,3e-05,1.0,1472.9,512.5918834209442
99,100,30,30,4e-05,1.0,1458.0,517.8224515914917
100,100,30,30,0.00003,1.00000,1443.5,523.0516152381897
