epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.37485,0.89894,151703.5,4.9768126010894775
2,100,30,30,0.00913,0.99907,97018.9,7.781988143920898
3,100,30,30,0.00286,0.99987,71350.5,10.581566095352173
4,100,30,30,0.00177,1.0,56432.7,13.378770351409912
5,100,30,30,0.00123,1.0,46649.5,16.184531211853027
6,100,30,30,0.00097,1.0,39753.5,18.99204730987549
7,100,30,30,0.00074,1.0,34630.1,21.801819562911987
8,100,30,30,0.00069,1.0,30683.6,24.60595679283142
9,100,30,30,0.00046,1.0,27543.7,27.410968542099
10,100,30,30,0.0004,1.0,24986.6,30.216222524642944
11,100,30,30,0.00036,1.0,22860.1,33.026970624923706
12,100,30,30,0.00034,1.0,21071.7,35.830118894577026
13,100,30,30,0.00028,1.0,19532.2,38.654128551483154
14,100,30,30,0.00025,1.0,18204.5,41.47333264350891
15,100,30,30,0.00021,1.0,17051.2,44.278416872024536
16,100,30,30,0.00023,1.0,16030.6,47.097419023513794
17,100,30,30,0.00017,1.0,15124.0,49.92075848579407
18,100,30,30,0.00016,1.0,14316.8,52.73524451255798
19,100,30,30,0.00017,1.0,13594.5,55.53713536262512
20,100,30,30,0.00016,1.0,12936.9,58.36002898216248
21,100,30,30,0.00013,1.0,12342.2,61.172266483306885
22,100,30,30,0.00013,1.0,11801.8,63.973081827163696
23,100,30,30,0.00011,1.0,11303.3,66.79455137252808
24,100,30,30,0.00012,1.0,10847.4,69.6021625995636
25,100,30,30,0.0001,1.0,10425.4,72.419020652771
26,100,30,30,9e-05,1.0,10034.4,75.24129056930542
27,100,30,30,9e-05,1.0,9673.0,78.05269455909729
28,100,30,30,8e-05,1.0,9335.3,80.87590622901917
29,100,30,30,8e-05,1.0,9020.1,83.70224976539612
30,100,30,30,7e-05,1.0,8726.0,86.52313351631165
31,100,30,30,7e-05,1.0,8450.8,89.34079265594482
32,100,30,30,7e-05,1.0,8192.9,92.15351009368896
33,100,30,30,6e-05,1.0,7950.5,94.96230983734132
34,100,30,30,6e-05,1.0,7721.9,97.7741882801056
35,100,30,30,6e-05,1.0,7505.8,100.58921670913696
36,100,30,30,5e-05,1.0,7301.9,103.3980324268341
37,100,30,30,5e-05,1.0,7108.7,106.20834374427795
38,100,30,30,5e-05,1.0,6925.2,109.02242493629456
39,100,30,30,5e-05,1.0,6751.2,111.83119559288023
40,100,30,30,5e-05,1.0,6585.8,114.63994765281676
41,100,30,30,4e-05,1.0,6428.4,117.4475073814392
42,100,30,30,4e-05,1.0,6278.3,120.25591969490053
43,100,30,30,4e-05,1.0,6134.9,123.0665557384491
44,100,30,30,4e-05,1.0,5998.3,125.86927437782288
45,100,30,30,4e-05,1.0,5867.3,128.67867040634155
46,100,30,30,3e-05,1.0,5742.6,131.47370958328247
47,100,30,30,4e-05,1.0,5622.9,134.27212524414062
48,100,30,30,4e-05,1.0,5507.3,137.09056520462036
49,100,30,30,3e-05,1.0,5396.5,139.90623235702515
50,100,30,30,3e-05,1.0,5290.6,142.70618891716003
51,100,30,30,3e-05,1.0,5188.8,145.5056962966919
52,100,30,30,3e-05,1.0,5090.6,148.31269454956055
53,100,30,30,3e-05,1.0,4996.1,151.11642241477966
54,100,30,30,3e-05,1.0,4905.2,153.9191586971283
55,100,30,30,3e-05,1.0,4817.6,156.7184534072876
56,100,30,30,3e-05,1.0,4732.9,159.52307271957395
57,100,30,30,3e-05,1.0,4651.3,162.32045102119446
58,100,30,30,2e-05,1.0,4572.5,165.11763858795166
59,100,30,30,2e-05,1.0,4495.8,167.93483233451843
60,100,30,30,2e-05,1.0,4422.1,170.73213744163513
61,100,30,30,2e-05,1.0,4350.7,173.5347020626068
62,100,30,30,2e-05,1.0,4281.6,176.33654141426086
63,100,30,30,2e-05,1.0,4214.8,179.12871861457825
64,100,30,30,2e-05,1.0,4150.0,181.92790985107425
65,100,30,30,2e-05,1.0,4086.9,184.7348198890686
66,100,30,30,2e-05,1.0,4025.9,187.53541898727417
67,100,30,30,2e-05,1.0,3966.7,190.3368616104126
68,100,30,30,2e-05,1.0,3909.4,193.12526273727417
69,100,30,30,2e-05,1.0,3853.6,195.9194633960724
70,100,30,30,2e-05,1.0,3799.4,198.7140710353852
71,100,30,30,2e-05,1.0,3746.8,201.50724029541016
72,100,30,30,2e-05,1.0,3695.3,204.3136844635009
73,100,30,30,1e-05,1.0,3645.3,207.1135377883911
74,100,30,30,2e-05,1.0,3596.8,209.90990495681763
75,100,30,30,1e-05,1.0,3549.7,212.69535493850708
76,100,30,30,2e-05,1.0,3503.7,215.4880633354187
77,100,30,30,1e-05,1.0,3458.9,218.2794277668
78,100,30,30,1e-05,1.0,3415.1,221.0784523487091
79,100,30,30,2e-05,1.0,3372.5,223.87173438072205
80,100,30,30,1e-05,1.0,3330.9,226.6668219566345
81,100,30,30,1e-05,1.0,3290.2,229.46986961364743
82,100,30,30,1e-05,1.0,3250.5,232.27206254005432
83,100,30,30,1e-05,1.0,3211.8,235.0734086036682
84,100,30,30,1e-05,1.0,3174.0,237.86774897575376
85,100,30,30,1e-05,1.0,3137.3,240.6560628414154
86,100,30,30,1e-05,1.0,3101.3,243.44784140586853
87,100,30,30,1e-05,1.0,3066.0,246.2521080970764
88,100,30,30,1e-05,1.0,3031.5,249.0499551296234
89,100,30,30,1e-05,1.0,2997.9,251.8413963317871
90,100,30,30,1e-05,1.0,2965.0,254.63342452049253
91,100,30,30,1e-05,1.0,2932.9,257.42820143699646
92,100,30,30,1e-05,1.0,2901.3,260.2274775505066
93,100,30,30,1e-05,1.0,2870.5,263.0197043418884
94,100,30,30,1e-05,1.0,2840.3,265.8154423236847
95,100,30,30,1e-05,1.0,2810.8,268.6033747196197
96,100,30,30,1e-05,1.0,2781.9,271.3929195404053
97,100,30,30,1e-05,1.0,2753.5,274.19176864624023
98,100,30,30,1e-05,1.0,2725.7,276.98811531066895
99,100,30,30,1e-05,1.0,2698.5,279.7823293209076
100,100,30,30,0.00001,1.00000,2671.8,282.58477687835693
