epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.19915,0.94238,193862.6,3.894511461257935
2,100,30,30,0.00281,0.99974,129504.2,5.829928874969482
3,100,30,30,0.00119,1.0,97426.8,7.749411582946777
4,100,30,30,0.0008,1.0,78038.2,9.674744367599487
5,100,30,30,0.0006,1.0,65084.2,11.600361108779907
6,100,30,30,0.00048,1.0,55831.8,13.522748708724976
7,100,30,30,0.00042,1.0,48886.5,15.443922996520996
8,100,30,30,0.00036,1.0,43479.9,17.364357948303223
9,100,30,30,0.00028,1.0,39154.5,19.28256773948669
10,100,30,30,0.00027,1.0,35604.2,21.20535373687744
11,100,30,30,0.00022,1.0,32648.3,23.1252703666687
12,100,30,30,0.00022,1.0,30125.8,25.06158876419068
13,100,30,30,0.00018,1.0,27975.8,26.98765659332276
14,100,30,30,0.00016,1.0,26111.2,28.91478967666626
15,100,30,30,0.00015,1.0,24482.3,30.83866000175476
16,100,30,30,0.00013,1.0,23036.4,32.774210929870605
17,100,30,30,0.00013,1.0,21755.9,34.70325565338135
18,100,30,30,0.00011,1.0,20613.0,36.62743735313416
19,100,30,30,0.00012,1.0,19586.2,38.54746913909912
20,100,30,30,0.00011,1.0,18651.8,40.47860884666443
21,100,30,30,9e-05,1.0,17806.4,42.40052580833435
22,100,30,30,8e-05,1.0,17029.5,44.33482956886292
23,100,30,30,8e-05,1.0,16317.3,46.26995873451233
24,100,30,30,7e-05,1.0,15666.0,48.19365215301514
25,100,30,30,8e-05,1.0,15060.0,50.13263750076294
26,100,30,30,7e-05,1.0,14503.4,52.05685114860535
27,100,30,30,7e-05,1.0,13981.6,53.99965476989746
28,100,30,30,6e-05,1.0,13497.9,55.93482232093811
29,100,30,30,6e-05,1.0,13049.4,57.85698199272156
30,100,30,30,5e-05,1.0,12628.6,59.78489804267883
31,100,30,30,5e-05,1.0,12234.6,61.71048021316528
32,100,30,30,5e-05,1.0,11861.6,63.65087080001831
33,100,30,30,5e-05,1.0,11510.3,65.59345364570618
34,100,30,30,5e-05,1.0,11181.5,67.52208971977234
35,100,30,30,4e-05,1.0,10869.6,69.45958685874939
36,100,30,30,4e-05,1.0,10576.0,71.38814401626587
37,100,30,30,4e-05,1.0,10297.1,73.32152009010315
38,100,30,30,4e-05,1.0,10030.5,75.27027678489685
39,100,30,30,4e-05,1.0,9777.8,77.21573495864868
40,100,30,30,4e-05,1.0,9538.1,79.15659141540527
41,100,30,30,3e-05,1.0,9309.8,81.09728837013245
42,100,30,30,4e-05,1.0,9091.6,83.04337334632874
43,100,30,30,3e-05,1.0,8883.9,84.98473930358887
44,100,30,30,3e-05,1.0,8685.3,86.92877078056335
45,100,30,30,3e-05,1.0,8499.9,88.82410836219788
46,100,30,30,3e-05,1.0,8321.6,90.7281482219696
47,100,30,30,3e-05,1.0,8151.4,92.62262320518494
48,100,30,30,3e-05,1.0,7988.1,94.51571011543274
49,100,30,30,3e-05,1.0,7830.0,96.42424702644348
50,100,30,30,3e-05,1.0,7678.0,98.33335900306702
51,100,30,30,2e-05,1.0,7533.0,100.22565746307372
52,100,30,30,3e-05,1.0,7392.9,102.12467646598816
53,100,30,30,2e-05,1.0,7258.4,104.01722955703735
54,100,30,30,2e-05,1.0,7127.9,105.92196607589722
55,100,30,30,2e-05,1.0,7002.7,107.81596851348876
56,100,30,30,2e-05,1.0,6881.3,109.7178032398224
57,100,30,30,2e-05,1.0,6764.0,111.62044048309326
58,100,30,30,2e-05,1.0,6650.9,113.51929664611816
59,100,30,30,2e-05,1.0,6541.2,115.42296624183656
60,100,30,30,2e-05,1.0,6435.3,117.32103776931764
61,100,30,30,2e-05,1.0,6333.0,119.2173867225647
62,100,30,30,2e-05,1.0,6233.5,121.1203122138977
63,100,30,30,2e-05,1.0,6137.8,123.0092363357544
64,100,30,30,2e-05,1.0,6044.7,124.90229487419128
65,100,30,30,2e-05,1.0,5954.4,126.79661321640016
66,100,30,30,2e-05,1.0,5866.7,128.69156074523926
67,100,30,30,2e-05,1.0,5782.0,130.57851433753967
68,100,30,30,2e-05,1.0,5699.0,132.478821516037
69,100,30,30,2e-05,1.0,5618.3,134.38245677947998
70,100,30,30,2e-05,1.0,5540.0,136.28221201896667
71,100,30,30,1e-05,1.0,5463.7,138.18473482131958
72,100,30,30,1e-05,1.0,5389.4,140.0893886089325
73,100,30,30,1e-05,1.0,5317.4,141.98635339736938
74,100,30,30,1e-05,1.0,5247.4,143.88122391700745
75,100,30,30,1e-05,1.0,5179.5,145.76666903495789
76,100,30,30,1e-05,1.0,5113.3,147.65293908119202
77,100,30,30,1e-05,1.0,5048.1,149.56110167503357
78,100,30,30,1e-05,1.0,4984.7,151.46219062805176
79,100,30,30,1e-05,1.0,4923.2,153.356262922287
80,100,30,30,1e-05,1.0,4863.1,155.2503433227539
81,100,30,30,1e-05,1.0,4804.4,157.1482834815979
82,100,30,30,1e-05,1.0,4745.7,159.091490983963
83,100,30,30,1e-05,1.0,4688.5,161.0311141014099
84,100,30,30,1e-05,1.0,4632.5,162.9773519039154
85,100,30,30,1e-05,1.0,4577.9,164.9238269329071
86,100,30,30,1e-05,1.0,4524.7,166.86121368408203
87,100,30,30,1e-05,1.0,4472.4,168.81492733955383
88,100,30,30,1e-05,1.0,4421.7,170.7478106021881
89,100,30,30,1e-05,1.0,4371.9,172.69300150871277
90,100,30,30,1e-05,1.0,4323.5,174.62819409370422
91,100,30,30,1e-05,1.0,4276.0,176.56625890731812
92,100,30,30,1e-05,1.0,4229.3,178.51779413223267
