epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.20465,0.92887,88001.2,8.579428672790527
2,100,30,30,0.00321,0.99868,56031.3,13.474612712860107
3,100,30,30,0.00145,0.99921,41080.4,18.378604412078857
4,100,30,30,0.00016,1.0,32436.2,23.27649450302124
5,100,30,30,8e-05,1.0,26791.9,28.18013000488281
6,100,30,30,4e-05,1.0,22814.6,33.09280824661255
7,100,30,30,0.0,1.0,19862.7,38.01100540161133
8,100,30,30,1e-05,1.0,17585.8,42.9322874546051
9,100,30,30,0.0,1.0,15781.7,47.84023404121399
10,100,30,30,0.0,1.0,14309.6,52.76171541213989
11,100,30,30,1e-05,1.0,13092.4,57.66723680496216
12,100,30,30,1e-05,1.0,12063.4,62.58621072769165
13,100,30,30,0.0,1.0,11182.4,67.51669836044312
14,100,30,30,0.0,1.0,10417.4,72.47481393814087
15,100,30,30,0.0,1.0,9748.2,77.45017385482788
16,100,30,30,0.0,1.0,9156.8,82.45203876495361
17,100,30,30,0.0,1.0,8634.0,87.4450752735138
18,100,30,30,0.0,1.0,8167.4,92.44064736366272
19,100,30,30,0.0,1.0,7750.5,97.41304969787598
20,100,30,30,0.0,1.0,7374.0,102.38744759559631
21,100,30,30,0.0,1.0,7034.3,107.33084154129028
22,100,30,30,0.0,1.0,6721.7,112.32260465621948
23,100,30,30,0.0,1.0,6436.4,117.3009557723999
24,100,30,30,0.0,1.0,6173.2,122.30356001853944
25,100,30,30,0.0,1.0,5930.6,127.30544638633728
26,100,30,30,0.0,1.0,5705.9,132.32008385658264
27,100,30,30,0.0,1.0,5499.0,137.29862332344055
28,100,30,30,0.0,1.0,5304.9,142.3222472667694
29,100,30,30,0.0,1.0,5123.5,147.3602294921875
30,100,30,30,0.0,1.0,4956.5,152.32444190979004
31,100,30,30,0.0,1.0,4801.3,157.24879813194275
32,100,30,30,0.0,1.0,4654.6,162.2062602043152
33,100,30,30,0.0,1.0,4516.2,167.17517518997192
34,100,30,30,0.0,1.0,4385.7,172.1501636505127
35,100,30,30,0.0,1.0,4262.1,177.14352226257324
36,100,30,30,0.0,1.0,4145.8,182.1121840476989
37,100,30,30,0.0,1.0,4035.9,187.06932401657104
38,100,30,30,0.0,1.0,3928.8,192.1698796749115
39,100,30,30,0.0,1.0,3829.8,197.1373190879821
40,100,30,30,0.06048,0.98808,3735.9,202.09316039085388
41,100,30,30,0.03338,0.99113,3647.0,207.0188200473785
42,100,30,30,0.01843,0.99616,3561.6,211.98377466201785
43,100,30,30,0.00081,0.99987,3480.4,216.9282500743866
44,100,30,30,3e-05,1.0,3402.3,221.9061233997345
45,100,30,30,1e-05,1.0,3328.0,226.8651406764984
46,100,30,30,0.0,1.0,3255.7,231.901850938797
47,100,30,30,0.0,1.0,3187.5,236.8603627681732
48,100,30,30,0.0,1.0,3121.7,241.8520278930664
49,100,30,30,0.0,1.0,3058.8,246.83224892616272
50,100,30,30,0.0,1.0,2998.1,251.82219243049624
51,100,30,30,0.0,1.0,2940.6,256.7541394233704
52,100,30,30,0.0,1.0,2884.8,261.7208135128021
53,100,30,30,0.0,1.0,2831.0,266.6866719722748
54,100,30,30,0.0,1.0,2779.0,271.684020280838
55,100,30,30,0.0,1.0,2729.0,276.66147327423096
56,100,30,30,0.0,1.0,2680.7,281.6388702392578
57,100,30,30,0.0,1.0,2633.9,286.6452443599701
58,100,30,30,0.0,1.0,2588.8,291.6413426399231
59,100,30,30,0.0,1.0,2544.6,296.70319986343384
60,100,30,30,0.0,1.0,2502.5,301.69684505462646
61,100,30,30,0.0,1.0,2462.0,306.6596100330353
62,100,30,30,0.0,1.0,2422.6,311.6546015739441
63,100,30,30,0.0,1.0,2384.4,316.6354899406433
64,100,30,30,0.0,1.0,2347.5,321.6251895427704
65,100,30,30,0.0,1.0,2311.5,326.62910771369934
66,100,30,30,0.0,1.0,2276.6,331.6290755271912
67,100,30,30,0.0,1.0,2242.8,336.6330626010895
68,100,30,30,0.0,1.0,2209.7,341.6794204711914
69,100,30,30,0.0,1.0,2177.6,346.7116549015045
70,100,30,30,0.0,1.0,2146.6,351.7262399196625
71,100,30,30,0.0,1.0,2116.6,356.7048237323761
72,100,30,30,0.0,1.0,2087.1,361.7397418022156
73,100,30,30,0.0,1.0,2058.5,366.77239894866943
74,100,30,30,0.0,1.0,2030.6,371.8093013763428
75,100,30,30,0.0,1.0,2003.4,376.85904240608215
76,100,30,30,0.0,1.0,1976.9,381.9146277904511
77,100,30,30,0.0,1.0,1951.3,386.92002272605896
