epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,1.01132,0.75709,99641.2,7.5771870613098145
2,100,30,30,0.29106,0.97311,58939.7,12.809698581695557
3,100,30,30,0.07612,0.99179,41876.5,18.029213666915894
4,100,30,30,0.02682,0.99815,32469.3,23.25271844863892
5,100,30,30,0.01349,0.99947,26508.3,28.48160004615784
6,100,30,30,0.00825,0.99974,22388.6,33.72251319885254
7,100,30,30,0.00567,0.99987,19377.8,38.96204113960266
8,100,30,30,0.00521,0.99947,17076.6,44.212565660476685
9,100,30,30,0.00368,0.99974,15265.0,49.45967507362366
10,100,30,30,0.00299,1.0,13798.8,54.71483087539673
11,100,30,30,0.00198,1.0,12580.8,60.01206207275391
12,100,30,30,0.00222,0.99974,11559.5,65.31417942047119
13,100,30,30,0.00167,0.99987,10692.9,70.60765337944031
14,100,30,30,0.00177,0.99987,9945.6,75.91294264793396
15,100,30,30,0.00118,1.0,9295.3,81.22403168678284
16,100,30,30,0.00128,0.99987,8722.7,86.55578303337097
17,100,30,30,0.00104,1.0,8218.9,91.86115193367004
18,100,30,30,0.00088,1.0,7769.1,97.18000316619872
19,100,30,30,0.00069,1.0,7367.1,102.48200392723083
20,100,30,30,0.00071,1.0,7004.9,107.78132653236388
21,100,30,30,0.00054,1.0,6676.4,113.08568692207336
22,100,30,30,0.0009,1.0,6376.2,118.40940165519714
23,100,30,30,0.0006,1.0,6102.2,123.72517204284668
24,100,30,30,0.00052,1.0,5850.0,129.059020280838
25,100,30,30,0.00061,0.99987,5618.0,134.38975143432617
26,100,30,30,0.00057,1.0,5403.1,139.7341492176056
27,100,30,30,0.00038,1.0,5204.5,145.06677865982056
28,100,30,30,0.00044,1.0,5020.5,150.38479232788086
29,100,30,30,0.00033,1.0,4848.5,155.71968269348145
30,100,30,30,0.00033,1.0,4688.2,161.0435709953308
31,100,30,30,0.00024,1.0,4537.9,166.3772749900818
32,100,30,30,0.00023,1.0,4396.5,171.7255823612213
33,100,30,30,0.00024,1.0,4264.4,177.04870176315308
34,100,30,30,0.00026,1.0,4139.0,182.4130434989929
35,100,30,30,0.0004,1.0,4021.6,187.73788022994995
36,100,30,30,0.00061,0.99987,3910.2,193.08456134796145
37,100,30,30,0.00047,0.99987,3805.3,198.4097435474396
38,100,30,30,0.00055,1.0,3705.5,203.75264835357663
39,100,30,30,0.00039,1.0,3610.6,209.1078929901123
40,100,30,30,0.00021,1.0,3518.5,214.577529668808
41,100,30,30,0.00038,0.99987,3433.1,219.91677498817444
42,100,30,30,0.00016,1.0,3351.9,225.2480628490448
43,100,30,30,0.00016,1.0,3274.4,230.5760033130645
44,100,30,30,0.00014,1.0,3194.6,236.33946681022644
45,100,30,30,0.00026,1.0,3121.5,241.86998915672305
46,100,30,30,0.00022,1.0,3055.2,247.12249636650083
47,100,30,30,0.00023,1.0,2990.9,252.43543219566345
48,100,30,30,0.00018,1.0,2929.2,257.7482261657715
49,100,30,30,0.00013,1.0,2870.0,263.06271505355835
50,100,30,30,0.00013,1.0,2813.1,268.38588976860046
51,100,30,30,0.00014,1.0,2758.7,273.67739367485046
52,100,30,30,0.00028,1.0,2706.2,278.9902582168579
