epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.36888,0.89815,150672.5,5.010868787765503
2,100,30,30,0.01228,0.99881,96157.7,7.851683855056763
3,100,30,30,0.00368,0.99987,70668.3,10.683717727661133
4,100,30,30,0.0018,1.0,55820.3,13.525537729263306
5,100,30,30,0.00142,1.0,46127.3,16.367737531661987
6,100,30,30,0.00094,1.0,39284.7,19.21866726875305
7,100,30,30,0.00084,1.0,34214.2,22.066877365112305
8,100,30,30,0.00063,1.0,30300.2,24.91729974746704
9,100,30,30,0.00051,1.0,27186.0,27.77168130874633
10,100,30,30,0.00044,1.0,24653.7,30.624242782592773
11,100,30,30,0.00037,1.0,22553.4,33.47609734535217
12,100,30,30,0.00036,1.0,20779.4,36.33413648605347
13,100,30,30,0.00028,1.0,19266.8,39.18653154373169
14,100,30,30,0.00025,1.0,17954.5,42.05064988136292
15,100,30,30,0.00023,1.0,16808.8,44.91696310043335
16,100,30,30,0.00021,1.0,15799.5,47.78642678260803
17,100,30,30,0.00018,1.0,14908.2,50.643162965774536
18,100,30,30,0.00021,1.0,14110.5,53.5060932636261
19,100,30,30,0.00016,1.0,13399.5,56.34532141685486
20,100,30,30,0.00016,1.0,12754.4,59.195085525512695
21,100,30,30,0.00013,1.0,12168.8,62.04407596588135
22,100,30,30,0.00012,1.0,11633.0,64.90132856369019
23,100,30,30,0.00011,1.0,11139.7,67.7755537033081
24,100,30,30,0.0001,1.0,10690.7,70.62215971946716
25,100,30,30,0.0001,1.0,10275.7,73.47410845756531
26,100,30,30,0.0001,1.0,9877.1,76.43909049034119
27,100,30,30,8e-05,1.0,9441.9,79.96313166618347
28,100,30,30,9e-05,1.0,9087.0,83.08576774597168
29,100,30,30,8e-05,1.0,8765.2,86.13650345802307
30,100,30,30,7e-05,1.0,8455.7,89.28863072395325
31,100,30,30,6e-05,1.0,8173.3,92.37349390983582
32,100,30,30,7e-05,1.0,7910.0,95.44862866401672
33,100,30,30,6e-05,1.0,7662.3,98.53462815284728
34,100,30,30,6e-05,1.0,7425.0,101.68372750282288
35,100,30,30,6e-05,1.0,7210.0,104.71577763557434
36,100,30,30,5e-05,1.0,7001.3,107.8375964164734
37,100,30,30,5e-05,1.0,6805.9,110.9326639175415
38,100,30,30,5e-05,1.0,6621.5,114.02198386192322
39,100,30,30,5e-05,1.0,6445.9,117.12786555290222
40,100,30,30,5e-05,1.0,6278.3,120.25627899169922
41,100,30,30,5e-05,1.0,6120.6,123.3532612323761
42,100,30,30,4e-05,1.0,5970.1,126.46334266662598
43,100,30,30,4e-05,1.0,5829.5,129.51467442512512
44,100,30,30,3e-05,1.0,5692.1,132.63908457756042
45,100,30,30,4e-05,1.0,5561.9,135.74429655075073
46,100,30,30,4e-05,1.0,5436.5,138.87494349479675
47,100,30,30,5e-05,1.0,5317.8,141.9761941432953
48,100,30,30,3e-05,1.0,5196.8,145.28055024147034
49,100,30,30,3e-05,1.0,5095.1,148.18220138549805
50,100,30,30,3e-05,1.0,4991.2,151.26588106155396
51,100,30,30,3e-05,1.0,4869.7,155.04046368598938
52,100,30,30,3e-05,1.0,4769.4,158.3013665676117
53,100,30,30,3e-05,1.0,4672.6,161.58136773109436
54,100,30,30,3e-05,1.0,4579.1,164.87826919555664
55,100,30,30,3e-05,1.0,4489.4,168.17556309700012
56,100,30,30,3e-05,1.0,4405.1,171.39270782470703
57,100,30,30,3e-05,1.0,4322.8,174.6551170349121
58,100,30,30,2e-05,1.0,4243.0,177.93957924842834
59,100,30,30,3e-05,1.0,4166.7,181.1989388465881
60,100,30,30,3e-05,1.0,4092.3,184.49168157577515
61,100,30,30,2e-05,1.0,4020.3,187.7974362373352
62,100,30,30,2e-05,1.0,3951.5,191.0681402683258
63,100,30,30,2e-05,1.0,3884.0,194.3852071762085
64,100,30,30,3e-05,1.0,3819.0,197.6981880664825
65,100,30,30,2e-05,1.0,3756.2,201.00229454040527
