epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.21548,0.94353,86528.3,8.841042518615723
2,100,30,30,0.01164,0.99621,53066.8,14.415804624557495
3,100,30,30,0.00756,0.99725,38272.4,19.9883041381836
4,100,30,30,0.00449,0.9983,29918.1,25.56980466842652
5,100,30,30,0.00261,0.99948,24531.4,31.184463024139404
6,100,30,30,0.00135,0.99974,20785.2,36.805006980896
7,100,30,30,0.00109,0.99974,18021.0,42.4504029750824
8,100,30,30,0.00215,0.99974,15897.2,48.12182688713074
9,100,30,30,0.00096,0.99987,14210.9,53.83173823356629
10,100,30,30,0.00021,1.0,12848.6,59.53970551490784
11,100,30,30,0.00336,0.99935,11725.2,65.2442934513092
12,100,30,30,0.00248,0.99922,10779.0,70.97165179252625
13,100,30,30,0.00233,0.99961,9972.5,76.71079158782959
14,100,30,30,0.00146,0.99974,9274.2,82.48698306083679
15,100,30,30,0.00065,0.99987,8670.4,88.23119282722473
16,100,30,30,0.00043,0.99987,8140.1,93.97886109352112
17,100,30,30,0.00012,1.0,7670.8,99.72855257987976
18,100,30,30,0.0001,1.0,7252.8,105.47667407989502
19,100,30,30,6e-05,1.0,6879.1,111.20710587501526
20,100,30,30,6e-05,1.0,6542.8,116.92248392105104
21,100,30,30,5e-05,1.0,6236.3,122.66864490509032
22,100,30,30,5e-05,1.0,5957.3,128.41301774978638
23,100,30,30,4e-05,1.0,5702.6,134.148419380188
24,100,30,30,4e-05,1.0,5469.4,139.8687469959259
25,100,30,30,4e-05,1.0,5238.1,146.0439736843109
26,100,30,30,3e-05,1.0,5044.3,151.656831741333
27,100,30,30,3e-05,1.0,4863.7,157.2875452041626
28,100,30,30,3e-05,1.0,4695.3,162.92873454093933
29,100,30,30,3e-05,1.0,4538.5,168.55875897407532
30,100,30,30,2e-05,1.0,4392.2,174.1735486984253
31,100,30,30,3e-05,1.0,4254.7,179.79996871948242
32,100,30,30,3e-05,1.0,4125.4,185.4344480037689
33,100,30,30,2e-05,1.0,4004.0,191.0595331192017
34,100,30,30,2e-05,1.0,3889.4,196.6860289573669
35,100,30,30,2e-05,1.0,3781.5,202.3006556034088
36,100,30,30,3e-05,1.0,3679.0,207.93897819519043
37,100,30,30,2e-05,1.0,3582.0,213.56566095352173
38,100,30,30,2e-05,1.0,3490.1,219.1918888092041
39,100,30,30,2e-05,1.0,3402.8,224.8177034854889
40,100,30,30,2e-05,1.0,3319.7,230.44441556930545
41,100,30,30,2e-05,1.0,3240.8,236.05341291427607
42,100,30,30,1e-05,1.0,3165.7,241.6554458141327
43,100,30,30,1e-05,1.0,3093.9,247.25923871994016
44,100,30,30,1e-05,1.0,3025.3,252.863920211792
45,100,30,30,1e-05,1.0,2959.7,258.47256875038147
46,100,30,30,1e-05,1.0,2897.0,264.07063126564026
47,100,30,30,1e-05,1.0,2836.8,269.6698348522186
48,100,30,30,1e-05,1.0,2779.1,275.26480627059937
49,100,30,30,1e-05,1.0,2723.7,280.8632905483246
50,100,30,30,1e-05,1.0,2670.5,286.46192169189453
51,100,30,30,1e-05,1.0,2619.4,292.04714155197144
52,100,30,30,3e-05,1.0,2570.3,297.6349790096283
53,100,30,30,1e-05,1.0,2522.9,303.2234275341034
54,100,30,30,1e-05,1.0,2477.1,308.82954812049866
55,100,30,30,1e-05,1.0,2433.0,314.42113041877747
56,100,30,30,1e-05,1.0,2390.6,320.00230288505554
57,100,30,30,1e-05,1.0,2349.7,325.57726430892944
58,100,30,30,1e-05,1.0,2310.1,331.1542389392853
59,100,30,30,1e-05,1.0,2271.9,336.7290709018707
60,100,30,30,1e-05,1.0,2234.9,342.3034329414368
61,100,30,30,1e-05,1.0,2199.1,347.875821352005
62,100,30,30,1e-05,1.0,2164.4,353.4491217136383
63,100,30,30,1e-05,1.0,2130.8,359.0279686450958
64,100,30,30,1e-05,1.0,2098.1,364.6078531742096
65,100,30,30,1e-05,1.0,2066.5,370.18636178970337
66,100,30,30,1e-05,1.0,2035.9,375.76183462142944
67,100,30,30,1e-05,1.0,2006.1,381.33649039268494
68,100,30,30,1e-05,1.0,1977.2,386.91412448883057
69,100,30,30,1e-05,1.0,1949.1,392.4850084781647
70,100,30,30,1e-05,1.0,1921.8,398.0624361038208
71,100,30,30,1e-05,1.0,1895.3,403.6319510936737
72,100,30,30,1e-05,1.0,1869.6,409.18229961395264
73,100,30,30,1e-05,1.0,1844.5,414.7369985580444
74,100,30,30,1e-05,1.0,1820.2,420.291778087616
75,100,30,30,0.0,1.0,1796.4,425.84277629852295
76,100,30,30,1e-05,1.0,1773.3,431.4022011756897
77,100,30,30,1e-05,1.0,1750.7,436.9612846374512
78,100,30,30,0.0,1.0,1728.7,442.5178921222687
79,100,30,30,0.0,1.0,1707.3,448.0818009376526
80,100,30,30,0.0,1.0,1686.4,453.6408236026764
81,100,30,30,0.0,1.0,1665.9,459.20632147789
82,100,30,30,1e-05,1.0,1646.0,464.7590548992157
83,100,30,30,0.0,1.0,1626.6,470.3167521953583
84,100,30,30,0.0,1.0,1607.6,475.873063325882
85,100,30,30,0.0,1.0,1589.0,481.4295094013214
86,100,30,30,0.0,1.0,1570.9,486.9905731678009
87,100,30,30,0.0,1.0,1553.1,492.5589787960053
88,100,30,30,0.0,1.0,1535.8,498.1197230815888
89,100,30,30,0.0,1.0,1518.8,503.6811625957489
90,100,30,30,0.0,1.0,1502.2,509.2452266216278
91,100,30,30,0.0,1.0,1486.0,514.8124380111694
92,100,30,30,0.0,1.0,1470.1,520.3772847652435
93,100,30,30,0.0,1.0,1454.5,525.9454233646393
94,100,30,30,0.0,1.0,1439.3,531.5099794864655
95,100,30,30,0.0,1.0,1424.4,537.0779781341553
96,100,30,30,0.0,1.0,1409.8,542.6467397212982
97,100,30,30,0.0,1.0,1395.4,548.2155156135559
98,100,30,30,0.0,1.0,1381.4,553.7888345718384
99,100,30,30,0.0,1.0,1367.6,559.3638582229614
100,100,30,30,0.00000,1.00000,1354.1,564.9355854988098
