epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.22815,0.92118,82315.4,9.293521642684937
2,100,30,30,0.02012,0.99294,53679.2,14.25134301185608
3,100,30,30,0.01198,0.99621,39813.8,19.21443796157837
4,100,30,30,0.00565,0.99752,31623.2,24.191101789474487
5,100,30,30,0.00315,0.99869,26221.1,29.174939393997192
6,100,30,30,0.00163,0.99961,22391.7,34.16438269615173
7,100,30,30,0.00089,0.99987,19536.0,39.15839958190918
8,100,30,30,0.0009,0.99961,17329.4,44.14467668533325
9,100,30,30,0.00176,0.99908,15573.7,49.12126970291138
10,100,30,30,0.17339,0.96484,14138.0,54.1093966960907
11,100,30,30,0.03708,0.99072,12951.1,59.06816744804382
12,100,30,30,0.01459,0.99529,11945.3,64.04205679893494
13,100,30,30,0.00579,0.99765,11082.8,69.02589273452759
14,100,30,30,0.00246,0.99922,10332.2,74.04060673713684
15,100,30,30,0.00041,1.0,9676.8,79.05533576011658
16,100,30,30,0.0001,1.0,9097.8,84.08622550964355
17,100,30,30,8e-05,1.0,8586.8,89.0899965763092
18,100,30,30,3e-05,1.0,8128.7,94.11124348640442
19,100,30,30,2e-05,1.0,7717.5,99.12599086761476
20,100,30,30,2e-05,1.0,7343.8,104.16975045204164
21,100,30,30,1e-05,1.0,7008.9,109.14767026901244
22,100,30,30,1e-05,1.0,6700.8,114.16486191749571
23,100,30,30,1e-05,1.0,6419.1,119.17480778694151
24,100,30,30,1e-05,1.0,6157.1,124.24624633789062
25,100,30,30,1e-05,1.0,5918.2,129.26329445838928
26,100,30,30,1e-05,1.0,5696.3,134.29667925834656
27,100,30,30,1e-05,1.0,5489.1,139.3678777217865
28,100,30,30,0.0,1.0,5296.0,144.44914722442627
29,100,30,30,0.0,1.0,5116.3,149.52308416366577
30,100,30,30,0.0,1.0,4948.5,154.5930938720703
31,100,30,30,0.0,1.0,4792.4,159.62713766098022
32,100,30,30,0.0,1.0,4645.2,164.68527245521545
33,100,30,30,0.0,1.0,4507.0,169.7370421886444
34,100,30,30,0.0,1.0,4376.6,174.79292964935303
35,100,30,30,0.0,1.0,4253.3,179.8592448234558
36,100,30,30,0.0,1.0,4137.1,184.9122269153595
37,100,30,30,0.0,1.0,4027.0,189.96800756454468
38,100,30,30,0.0,1.0,3922.1,195.04696989059448
39,100,30,30,0.0,1.0,3820.9,200.21682572364807
40,100,30,30,0.0,1.0,3726.7,205.27278447151184
41,100,30,30,0.0,1.0,3637.6,210.3050603866577
42,100,30,30,0.0,1.0,3552.3,215.35292291641235
43,100,30,30,0.0,1.0,3470.6,220.4224922657013
44,100,30,30,0.0,1.0,3392.4,225.5051074028015
45,100,30,30,0.0,1.0,3317.7,230.5839626789093
46,100,30,30,0.0,1.0,3245.7,235.69461631774905
47,100,30,30,0.0,1.0,3177.4,240.76553082466123
48,100,30,30,0.0,1.0,3112.0,245.8228363990784
49,100,30,30,0.0,1.0,3049.4,250.86915493011475
50,100,30,30,0.0,1.0,2989.0,255.9414250850677
51,100,30,30,0.0,1.0,2931.7,260.93682742118835
52,100,30,30,0.0,1.0,2876.1,265.98222279548645
53,100,30,30,0.0,1.0,2822.5,271.0367546081543
54,100,30,30,0.0,1.0,2770.8,276.09733486175537
55,100,30,30,0.0,1.0,2720.8,281.16465067863464
56,100,30,30,0.0,1.0,2672.2,286.2764596939087
57,100,30,30,0.0,1.0,2624.6,291.4685995578766
58,100,30,30,0.0,1.0,2579.7,296.54996967315674
59,100,30,30,0.0,1.0,2535.8,301.67570328712463
60,100,30,30,0.0,1.0,2493.8,306.7620458602905
61,100,30,30,0.0,1.0,2453.6,311.7862722873688
62,100,30,30,0.0,1.0,2414.4,316.8431508541107
63,100,30,30,0.0,1.0,2376.3,321.9245207309723
64,100,30,30,0.0,1.0,2339.3,327.0230779647827
65,100,30,30,0.0,1.0,2303.5,332.1087617874145
66,100,30,30,0.0,1.0,2268.3,337.2511513233185
67,100,30,30,0.0,1.0,2234.8,342.3076016902924
68,100,30,30,0.0,1.0,2201.2,347.53019070625305
69,100,30,30,0.0,1.0,2170.0,352.5322711467743
70,100,30,30,0.0,1.0,2139.2,357.60477209091187
71,100,30,30,0.0,1.0,2109.8,362.60135412216187
72,100,30,30,0.0,1.0,2080.8,367.6501622200012
73,100,30,30,0.0,1.0,2052.6,372.69878911972046
74,100,30,30,0.0,1.0,2025.0,377.7703750133514
75,100,30,30,0.0,1.0,1998.2,382.8500146865845
76,100,30,30,0.0,1.0,1972.0,387.9271671772003
77,100,30,30,0.0,1.0,1946.7,392.9728031158447
78,100,30,30,0.0,1.0,1921.8,398.0622446537018
79,100,30,30,0.0,1.0,1897.7,403.11525201797485
80,100,30,30,0.0,1.0,1874.2,408.1765835285187
81,100,30,30,0.0,1.0,1851.5,413.1810619831085
82,100,30,30,0.0,1.0,1829.2,418.2266519069672
83,100,30,30,0.0,1.0,1807.3,423.2845385074616
84,100,30,30,0.0,1.0,1785.9,428.3532800674439
85,100,30,30,0.0,1.0,1765.1,433.41084456443787
86,100,30,30,0.0,1.0,1744.4,438.5370779037476
87,100,30,30,0.0,1.0,1724.5,443.6001443862915
88,100,30,30,0.0,1.0,1705.0,448.6709895133972
89,100,30,30,0.0,1.0,1685.9,453.7552688121796
90,100,30,30,0.0,1.0,1667.2,458.8431181907654
91,100,30,30,0.0,1.0,1649.2,463.8681888580322
92,100,30,30,0.0,1.0,1631.4,468.9214594364166
93,100,30,30,0.0,1.0,1613.7,474.0629231929779
94,100,30,30,0.0,1.0,1596.6,479.1333382129669
95,100,30,30,0.0,1.0,1579.8,484.2286922931671
96,100,30,30,0.0,1.0,1563.4,489.31105613708496
97,100,30,30,0.0,1.0,1547.4,494.37767720222473
98,100,30,30,0.0,1.0,1531.6,499.4688234329224
99,100,30,30,0.0,1.0,1516.2,504.551239490509
100,100,30,30,0.00000,1.00000,1501.2,509.6063961982727
