epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.40529,0.88301,152350.3,5.021323919296265
2,100,30,30,0.02029,0.99556,97617.9,7.836676120758057
3,100,30,30,0.00598,0.99948,71820.4,10.651565313339232
4,100,30,30,0.00234,1.0,56789.3,13.470855474472046
5,100,30,30,0.00164,1.0,46969.8,16.287075996398926
6,100,30,30,0.00111,1.0,40032.5,19.10947632789612
7,100,30,30,0.00094,1.0,34892.6,21.924440383911133
8,100,30,30,0.00076,1.0,30911.1,24.7484097480774
9,100,30,30,0.0006,1.0,27743.2,27.57430672645569
10,100,30,30,0.00053,1.0,25169.9,30.393449544906616
11,100,30,30,0.00042,1.0,23028.6,33.219605922698975
12,100,30,30,0.00036,1.0,21225.5,36.04156851768494
13,100,30,30,0.00035,1.0,19681.3,38.869412422180176
14,100,30,30,0.00033,1.0,18348.0,41.69392037391663
15,100,30,30,0.00024,1.0,17183.5,44.51945686340332
16,100,30,30,0.00025,1.0,16158.3,47.34413385391235
17,100,30,30,0.00022,1.0,15246.8,50.174455404281616
18,100,30,30,0.00018,1.0,14435.3,52.995216369628906
19,100,30,30,0.00017,1.0,13701.4,55.83379125595093
20,100,30,30,0.00018,1.0,13037.8,58.675424098968506
21,100,30,30,0.00016,1.0,12437.9,61.5054075717926
22,100,30,30,0.00017,1.0,11892.5,64.32614779472351
23,100,30,30,0.00012,1.0,11392.7,67.14800834655762
24,100,30,30,0.00012,1.0,10932.1,69.9776759147644
25,100,30,30,0.00011,1.0,10507.1,72.80776929855347
26,100,30,30,0.00011,1.0,10114.9,75.63083386421204
27,100,30,30,0.0001,1.0,9749.9,78.46210646629333
28,100,30,30,8e-05,1.0,9410.2,81.2951591014862
29,100,30,30,0.0001,1.0,9093.9,84.12262344360352
30,100,30,30,9e-05,1.0,8797.4,86.95724129676819
31,100,30,30,7e-05,1.0,8521.3,89.77522659301758
32,100,30,30,7e-05,1.0,8259.7,92.61824035644533
33,100,30,30,7e-05,1.0,8014.0,95.45848155021667
34,100,30,30,7e-05,1.0,7783.5,98.28440833091736
35,100,30,30,7e-05,1.0,7566.3,101.10621619224548
36,100,30,30,7e-05,1.0,7360.8,103.92928552627563
37,100,30,30,6e-05,1.0,7165.5,106.76158928871156
38,100,30,30,6e-05,1.0,6980.5,109.59174633026124
39,100,30,30,6e-05,1.0,6805.4,112.41094732284546
40,100,30,30,5e-05,1.0,6638.8,115.23149967193604
41,100,30,30,5e-05,1.0,6479.7,118.06094217300416
42,100,30,30,4e-05,1.0,6327.9,120.89251971244812
43,100,30,30,6e-05,1.0,6183.3,123.72034978866576
