epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.36999,0.90768,152538.9,4.949557065963745
2,100,30,30,0.01073,0.99894,97135.8,7.772620916366577
3,100,30,30,0.00332,1.0,71397.5,10.574596166610718
4,100,30,30,0.00191,1.0,56422.0,13.381306648254396
5,100,30,30,0.00133,1.0,46658.4,16.181446313858032
6,100,30,30,0.00099,1.0,39806.4,18.966787815094
7,100,30,30,0.00082,1.0,34677.6,21.77198338508606
8,100,30,30,0.00065,1.0,30719.1,24.5775146484375
9,100,30,30,0.00048,1.0,27570.9,27.383953094482425
10,100,30,30,0.00044,1.0,25006.7,30.191935062408447
11,100,30,30,0.00036,1.0,22877.6,33.00175952911377
12,100,30,30,0.00036,1.0,21078.2,35.81898379325867
13,100,30,30,0.00028,1.0,19541.4,38.63588643074036
14,100,30,30,0.00028,1.0,18214.9,41.44949316978455
15,100,30,30,0.00027,1.0,17051.5,44.27753162384033
16,100,30,30,0.00023,1.0,16032.8,47.09108304977417
17,100,30,30,0.00018,1.0,15127.8,49.90822863578797
18,100,30,30,0.00018,1.0,14318.4,52.72942328453064
19,100,30,30,0.00016,1.0,13593.3,55.54202461242676
20,100,30,30,0.00015,1.0,12935.2,58.36808204650879
21,100,30,30,0.00014,1.0,12339.3,61.18658328056336
22,100,30,30,0.00013,1.0,11797.6,63.995938301086426
23,100,30,30,0.00012,1.0,11297.6,66.82810878753662
24,100,30,30,0.00011,1.0,10841.6,69.63910436630249
25,100,30,30,0.00011,1.0,10421.2,72.44871497154236
26,100,30,30,0.0001,1.0,10029.8,75.27592611312866
27,100,30,30,9e-05,1.0,9668.2,78.09128093719482
28,100,30,30,9e-05,1.0,9330.6,80.91614127159119
29,100,30,30,8e-05,1.0,9015.5,83.74476528167725
30,100,30,30,9e-05,1.0,8722.9,86.55401468276978
31,100,30,30,7e-05,1.0,8448.7,89.36265087127686
32,100,30,30,7e-05,1.0,8190.8,92.17621803283691
33,100,30,30,6e-05,1.0,7948.6,94.98583054542542
34,100,30,30,6e-05,1.0,7719.0,97.8103699684143
35,100,30,30,6e-05,1.0,7503.8,100.6155366897583
36,100,30,30,7e-05,1.0,7298.9,103.44028759002686
37,100,30,30,6e-05,1.0,7105.3,106.2583920955658
38,100,30,30,5e-05,1.0,6922.3,109.0685555934906
39,100,30,30,5e-05,1.0,6747.2,111.89757347106934
40,100,30,30,4e-05,1.0,6581.8,114.70983290672302
41,100,30,30,5e-05,1.0,6424.1,117.52663135528564
42,100,30,30,4e-05,1.0,6274.3,120.3312656879425
43,100,30,30,4e-05,1.0,6130.4,123.15664148330688
44,100,30,30,4e-05,1.0,5993.2,125.97625613212584
45,100,30,30,4e-05,1.0,5861.8,128.80027866363525
46,100,30,30,4e-05,1.0,5736.3,131.6171576976776
47,100,30,30,3e-05,1.0,5615.7,134.44384479522705
48,100,30,30,3e-05,1.0,5500.6,137.2567024230957
49,100,30,30,3e-05,1.0,5389.6,140.08499217033386
50,100,30,30,3e-05,1.0,5283.5,142.89739727973938
51,100,30,30,3e-05,1.0,5181.8,145.7034628391266
52,100,30,30,3e-05,1.0,5083.2,148.5273792743683
53,100,30,30,3e-05,1.0,4988.2,151.35717344284058
54,100,30,30,3e-05,1.0,4896.7,154.18681383132937
55,100,30,30,3e-05,1.0,4809.0,156.99711108207703
56,100,30,30,3e-05,1.0,4724.1,159.8185555934906
57,100,30,30,3e-05,1.0,4642.1,162.64344549179077
58,100,30,30,3e-05,1.0,4563.1,165.45651960372925
59,100,30,30,2e-05,1.0,4486.8,168.2715609073639
60,100,30,30,4e-05,1.0,4413.1,171.08128666877747
61,100,30,30,3e-05,1.0,4341.7,173.895094871521
62,100,30,30,2e-05,1.0,4272.6,176.70674228668213
63,100,30,30,2e-05,1.0,4205.3,179.53576970100403
64,100,30,30,2e-05,1.0,4140.0,182.3667907714844
65,100,30,30,2e-05,1.0,4077.1,185.18070244789124
66,100,30,30,2e-05,1.0,4016.0,187.9996349811554
67,100,30,30,2e-05,1.0,3956.5,190.8239405155182
68,100,30,30,2e-05,1.0,3898.9,193.6461100578308
69,100,30,30,2e-05,1.0,3842.9,196.4679698944092
70,100,30,30,2e-05,1.0,3788.2,199.3029386997223
71,100,30,30,2e-05,1.0,3735.5,202.1135306358337
