epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,1.05219,0.74431,99012.4,7.726306200027466
2,100,30,30,0.3101,0.96837,58800.3,13.01014518737793
3,100,30,30,0.08019,0.99033,41842.5,18.282850742340088
4,100,30,30,0.03529,0.99386,32468.4,23.56138110160828
5,100,30,30,0.02177,0.99621,26519.3,28.8469307422638
6,100,30,30,0.01513,0.99752,22404.6,34.14469766616821
7,100,30,30,0.0113,0.99843,19395.0,39.44322180747986
8,100,30,30,0.00816,0.99856,17096.7,44.74557256698608
9,100,30,30,0.00602,0.99922,15285.6,50.04705452919006
10,100,30,30,0.00459,0.99935,13822.5,55.34467816352844
11,100,30,30,0.00387,0.99895,12611.1,60.66070175170898
12,100,30,30,0.00272,0.99987,11595.9,65.97149014472961
13,100,30,30,0.00295,0.99935,10731.0,71.28879904747009
14,100,30,30,0.0027,0.99935,9987.6,76.59525775909424
15,100,30,30,0.00209,0.99974,9339.9,81.9068546295166
16,100,30,30,0.00191,0.99974,8771.4,87.21563935279846
17,100,30,30,0.0029,0.99948,8267.9,92.52606081962584
18,100,30,30,0.00182,0.99948,7818.8,97.84115147590636
19,100,30,30,0.00137,0.99987,7416.5,103.1489679813385
20,100,30,30,0.00147,0.99961,7052.2,108.47753167152403
21,100,30,30,0.00116,0.99987,6722.3,113.79969954490662
22,100,30,30,0.00117,0.99974,6422.4,119.1149001121521
23,100,30,30,0.00101,0.99987,6147.2,124.44594836235046
24,100,30,30,0.00178,0.99948,5894.9,129.77336072921753
25,100,30,30,0.00088,0.99987,5661.9,135.11377024650574
26,100,30,30,0.00093,0.99974,5446.9,140.44592356681824
27,100,30,30,0.00144,0.99948,5247.9,145.77287530899048
28,100,30,30,0.0008,1.0,5062.9,151.09879446029663
29,100,30,30,0.00063,1.0,4890.2,156.4354543685913
30,100,30,30,0.00055,1.0,4729.2,161.76139736175537
31,100,30,30,0.00034,1.0,4577.9,167.1089951992035
32,100,30,30,0.00041,1.0,4436.1,172.4492790699005
33,100,30,30,0.00035,1.0,4302.6,177.7975344657898
34,100,30,30,0.00059,0.99987,4177.3,183.1311457157135
35,100,30,30,0.0003,1.0,4059.1,188.4672722816468
36,100,30,30,0.00034,1.0,3947.1,193.8142156600952
37,100,30,30,0.00034,1.0,3841.0,199.16693663597107
38,100,30,30,0.00148,0.99974,3740.8,204.5008451938629
39,100,30,30,0.0003,1.0,3645.4,209.8526794910431
40,100,30,30,0.00033,0.99987,3555.1,215.18670654296875
41,100,30,30,0.00052,0.99987,3469.0,220.52399849891663
42,100,30,30,0.00234,0.99948,3387.0,225.86640620231628
43,100,30,30,0.00065,1.0,3308.7,231.2101652622223
44,100,30,30,0.00108,0.99974,3233.7,236.56989407539368
45,100,30,30,0.00072,0.99961,3162.6,241.8908817768097
46,100,30,30,0.00041,1.0,3094.2,247.2389347553253
47,100,30,30,0.00026,1.0,3028.6,252.58901929855347
48,100,30,30,0.0004,1.0,2965.8,257.94208097457886
