epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.69769,0.88477,100932.2,7.480267763137817
2,100,30,30,0.08272,0.99219,59387.2,12.713181018829346
3,100,30,30,0.02624,0.9951,42102.5,17.932411432266235
4,100,30,30,0.01763,0.99563,32602.8,23.15751528739929
5,100,30,30,0.01253,0.99709,26594.6,28.389169454574585
6,100,30,30,0.00992,0.99748,22448.9,33.6320013999939
7,100,30,30,0.00868,0.99801,19416.3,38.88476085662842
8,100,30,30,0.00696,0.99868,17104.5,44.14053225517273
9,100,30,30,0.00557,0.99868,15283.7,49.39904999732971
10,100,30,30,0.00426,0.99934,13810.8,54.66726422309876
11,100,30,30,0.00303,0.99987,12601.4,59.91415047645569
12,100,30,30,0.00242,1.0,11580.8,65.19425892829895
13,100,30,30,0.00187,0.99987,10715.3,70.45997476577759
14,100,30,30,0.00156,0.99974,9968.6,75.73770880699158
15,100,30,30,0.00115,1.0,9317.5,81.03013634681702
16,100,30,30,0.00102,1.0,8749.1,86.29463624954224
17,100,30,30,0.00075,1.0,8244.4,91.57683944702148
18,100,30,30,0.00071,1.0,7796.3,96.84063720703124
19,100,30,30,0.00085,1.0,7393.3,102.11943888664246
20,100,30,30,0.00057,1.0,7029.3,107.407719373703
21,100,30,30,0.00052,1.0,6701.2,112.66600608825684
22,100,30,30,0.00051,1.0,6402.3,117.927237033844
23,100,30,30,0.00049,1.0,6128.6,123.1922731399536
24,100,30,30,0.00044,1.0,5878.3,128.43754029273987
25,100,30,30,0.00079,0.99974,5647.3,133.69148349761963
26,100,30,30,0.00045,1.0,5434.2,138.93506717681885
27,100,30,30,0.0004,1.0,5235.7,144.20173001289368
28,100,30,30,0.00029,1.0,5052.0,149.44595551490784
29,100,30,30,0.00029,1.0,4881.2,154.67659735679626
30,100,30,30,0.00027,1.0,4721.5,159.9058976173401
31,100,30,30,0.00037,1.0,4572.3,165.12601852416992
32,100,30,30,0.00023,1.0,4432.2,170.34560298919678
33,100,30,30,0.00028,1.0,4300.3,175.57093954086304
34,100,30,30,0.00026,1.0,4176.0,180.7936582565308
35,100,30,30,0.00017,1.0,4058.7,186.0187644958496
36,100,30,30,0.00016,1.0,3947.7,191.2524483203888
37,100,30,30,0.0002,1.0,3842.9,196.4685254096985
38,100,30,30,0.00032,1.0,3743.6,201.6773102283477
39,100,30,30,0.00059,0.99987,3649.3,206.8905324935913
40,100,30,30,0.0002,1.0,3559.9,212.0857391357422
41,100,30,30,0.00078,0.99974,3474.7,217.28318810462952
42,100,30,30,0.0004,0.99987,3393.6,222.47579526901245
43,100,30,30,0.00016,1.0,3316.0,227.6836698055268
44,100,30,30,0.0002,1.0,3242.1,232.8769905567169
45,100,30,30,0.00025,1.0,3171.2,238.08235573768616
46,100,30,30,0.00029,1.0,3103.5,243.2771096229553
