epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.13226,0.96517,89945.6,8.393958806991577
2,100,30,30,0.00355,0.99894,54270.9,13.911697626113892
3,100,30,30,0.00263,0.99934,38868.4,19.42449522018433
4,100,30,30,0.00236,0.9996,30256.1,24.95363688468933
5,100,30,30,0.00063,0.99987,24741.4,30.51560425758361
6,100,30,30,0.00028,1.0,20922.1,36.08620977401733
7,100,30,30,0.00015,1.0,18121.4,41.66353631019592
8,100,30,30,0.0001,1.0,15980.7,47.24438381195069
9,100,30,30,0.0001,1.0,14291.9,52.827300786972046
10,100,30,30,8e-05,1.0,12923.8,58.41920065879822
11,100,30,30,6e-05,1.0,11793.2,64.0200629234314
12,100,30,30,6e-05,1.0,10843.8,69.62532114982605
13,100,30,30,5e-05,1.0,10030.1,75.27320432662964
14,100,30,30,5e-05,1.0,9329.2,80.92875123023987
15,100,30,30,5e-05,1.0,8722.2,86.56063342094421
16,100,30,30,4e-05,1.0,8143.3,92.71378087997437
17,100,30,30,4e-05,1.0,7681.4,98.28989124298096
18,100,30,30,4e-05,1.0,7266.8,103.89767169952393
19,100,30,30,3e-05,1.0,6889.4,109.58871531486513
20,100,30,30,3e-05,1.0,6555.2,115.17581152915956
21,100,30,30,3e-05,1.0,6252.2,120.75758457183838
22,100,30,30,3e-05,1.0,5974.9,126.36264848709106
23,100,30,30,3e-05,1.0,5720.7,131.97601532936096
24,100,30,30,2e-05,1.0,5487.0,137.59882283210754
25,100,30,30,2e-05,1.0,5270.9,143.2385654449463
26,100,30,30,2e-05,1.0,5071.7,148.86672806739807
27,100,30,30,2e-05,1.0,4885.0,154.55525374412537
28,100,30,30,2e-05,1.0,4696.4,160.76061868667605
29,100,30,30,2e-05,1.0,4539.8,166.3073947429657
30,100,30,30,2e-05,1.0,4392.2,171.8943967819214
31,100,30,30,2e-05,1.0,4253.1,177.51807928085327
32,100,30,30,2e-05,1.0,4122.2,183.15517592430115
33,100,30,30,2e-05,1.0,3998.8,188.8070545196533
34,100,30,30,2e-05,1.0,3883.1,194.4315638542176
35,100,30,30,1e-05,1.0,3773.1,200.09989142417908
36,100,30,30,1e-05,1.0,3669.6,205.74432253837583
37,100,30,30,1e-05,1.0,3570.7,211.44541668891907
38,100,30,30,1e-05,1.0,3477.1,217.13278770446777
39,100,30,30,1e-05,1.0,3389.1,222.7754626274109
40,100,30,30,1e-05,1.0,3305.3,228.4195461273193
41,100,30,30,1e-05,1.0,3225.5,234.07400155067444
42,100,30,30,1e-05,1.0,3149.7,239.7042634487152
43,100,30,30,1e-05,1.0,3076.9,245.3768892288208
44,100,30,30,1e-05,1.0,3007.7,251.0263967514038
45,100,30,30,1e-05,1.0,2941.6,256.66003370285034
46,100,30,30,1e-05,1.0,2878.1,262.3240427970886
47,100,30,30,1e-05,1.0,2817.1,268.00998067855835
48,100,30,30,1e-05,1.0,2758.0,273.7532088756561
49,100,30,30,1e-05,1.0,2702.3,279.3950011730194
50,100,30,30,1e-05,1.0,2648.7,285.0450177192688
51,100,30,30,1e-05,1.0,2597.4,290.6748514175415
52,100,30,30,1e-05,1.0,2547.8,296.33221316337585
53,100,30,30,1e-05,1.0,2500.0,301.99971103668213
