epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.27914,0.91608,76825.8,9.957598447799684
2,100,30,30,0.01965,0.99412,51882.2,14.74493932723999
3,100,30,30,0.00741,0.99908,37796.1,20.24017214775085
4,100,30,30,0.00252,1.0,30467.6,25.108661890029907
5,100,30,30,0.00161,1.0,24965.1,30.642794847488403
6,100,30,30,0.00096,1.0,21132.1,36.20083284378052
7,100,30,30,0.00068,1.0,18694.7,40.92069578170776
8,100,30,30,0.00059,1.0,16490.0,46.39161252975464
9,100,30,30,0.00046,1.0,14948.9,51.174402475357056
10,100,30,30,0.00041,1.0,13493.5,56.69386887550354
11,100,30,30,0.00033,1.0,12323.6,62.07586932182312
12,100,30,30,0.00032,1.0,11340.1,67.45974040031433
13,100,30,30,0.00026,1.0,10483.0,72.97556662559509
14,100,30,30,0.00022,1.0,9838.2,77.75833415985107
15,100,30,30,0.00022,1.0,9189.2,83.24950861930847
16,100,30,30,0.00018,1.0,8684.4,88.08941864967346
17,100,30,30,0.00019,1.0,8176.2,93.56430983543396
18,100,30,30,0.00017,1.0,7720.4,99.08772039413452
19,100,30,30,0.00014,1.0,7350.4,104.07628178596497
20,100,30,30,0.00013,1.0,6978.8,109.61797642707825
21,100,30,30,0.00013,1.0,6683.1,114.46847987174988
22,100,30,30,0.00011,1.0,6376.3,119.97584748268127
23,100,30,30,0.00012,1.0,6119.6,125.00817322731018
24,100,30,30,0.0001,1.0,5862.6,130.48844742774963
25,100,30,30,9e-05,1.0,5624.3,136.0163917541504
26,100,30,30,9e-05,1.0,5430.8,140.86425971984863
27,100,30,30,9e-05,1.0,5227.9,146.3299744129181
28,100,30,30,9e-05,1.0,5061.6,151.1389677524567
29,100,30,30,7e-05,1.0,4882.8,156.67096328735352
30,100,30,30,8e-05,1.0,4717.0,162.1791877746582
31,100,30,30,7e-05,1.0,4572.5,167.30592727661133
32,100,30,30,6e-05,1.0,4428.1,172.7620415687561
33,100,30,30,6e-05,1.0,4309.4,177.51891779899597
34,100,30,30,6e-05,1.0,4178.6,183.07634615898127
35,100,30,30,5e-05,1.0,4065.5,188.1698842048645
36,100,30,30,5e-05,1.0,3950.3,193.6568784713745
37,100,30,30,6e-05,1.0,3821.4,200.1862909793853
38,100,30,30,5e-05,1.0,3733.8,204.88296270370483
