epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.12437,0.95748,113343.1,6.661189317703247
2,100,30,30,0.00319,0.99894,72662.8,10.39045763015747
3,100,30,30,0.00125,1.0,53585.1,14.089729070663452
4,100,30,30,0.00067,1.0,43763.8,17.25170087814331
5,100,30,30,0.00047,1.0,35953.5,20.99933242797852
6,100,30,30,0.00034,1.0,30522.2,24.736087560653687
7,100,30,30,0.00031,1.0,27217.4,27.739595413208008
8,100,30,30,0.00023,1.0,24076.2,31.35882592201233
9,100,30,30,0.0002,1.0,21448.0,35.20135688781738
10,100,30,30,0.00018,1.0,19665.3,38.39245557785034
11,100,30,30,0.00016,1.0,17962.1,42.03305578231812
12,100,30,30,0.00014,1.0,16524.9,45.68871521949768
13,100,30,30,0.00014,1.0,15489.5,48.7426552772522
14,100,30,30,0.00011,1.0,14399.8,52.43118023872376
15,100,30,30,0.00011,1.0,13450.9,56.13003206253052
16,100,30,30,0.0001,1.0,12693.1,59.48106002807617
17,100,30,30,8e-05,1.0,11962.8,63.11232495307922
18,100,30,30,8e-05,1.0,11310.1,66.75447154045105
19,100,30,30,8e-05,1.0,10737.6,70.31348252296448
20,100,30,30,8e-05,1.0,10206.2,73.97499132156372
21,100,30,30,6e-05,1.0,9720.8,77.66821002960205
22,100,30,30,7e-05,1.0,9286.6,81.30015444755554
23,100,30,30,6e-05,1.0,8896.4,84.86567449569702
24,100,30,30,5e-05,1.0,8526.9,88.54323434829712
25,100,30,30,5e-05,1.0,8191.5,92.16899871826172
26,100,30,30,5e-05,1.0,7906.7,95.4890685081482
27,100,30,30,5e-05,1.0,7620.0,99.08168339729308
28,100,30,30,5e-05,1.0,7350.1,102.720365524292
29,100,30,30,4e-05,1.0,7155.3,105.51547932624815
30,100,30,30,4e-05,1.0,6916.9,109.1529576778412
31,100,30,30,4e-05,1.0,6692.0,112.82054901123048
32,100,30,30,4e-05,1.0,6529.2,115.63518977165222
33,100,30,30,4e-05,1.0,6326.8,119.33365631103516
34,100,30,30,4e-05,1.0,6137.9,123.0055923461914
35,100,30,30,3e-05,1.0,5993.4,125.97111773490906
36,100,30,30,3e-05,1.0,5821.9,129.68285703659058
37,100,30,30,3e-05,1.0,5661.9,133.3468770980835
38,100,30,30,3e-05,1.0,5532.6,136.4638226032257
39,100,30,30,3e-05,1.0,5389.4,140.09013605117798
40,100,30,30,3e-05,1.0,5253.4,143.71636724472046
41,100,30,30,3e-05,1.0,5141.4,146.84674334526062
42,100,30,30,2e-05,1.0,5017.0,150.48917317390442
43,100,30,30,3e-05,1.0,4899.6,154.09519386291504
44,100,30,30,2e-05,1.0,4791.8,157.5597665309906
45,100,30,30,2e-05,1.0,4683.8,161.19290852546692
46,100,30,30,2e-05,1.0,4581.5,164.7924447059631
47,100,30,30,2e-05,1.0,4482.8,168.4212384223938
48,100,30,30,2e-05,1.0,4394.8,171.79385328292847
49,100,30,30,2e-05,1.0,4304.3,175.4047658443451
50,100,30,30,2e-05,1.0,4185.1,180.40122747421265
51,100,30,30,2e-05,1.0,4115.7,183.44534039497373
52,100,30,30,2e-05,1.0,4036.3,187.052227973938
53,100,30,30,2e-05,1.0,3960.1,190.6512105464936
54,100,30,30,2e-05,1.0,3898.9,193.6456959247589
55,100,30,30,2e-05,1.0,3826.9,197.2860608100891
56,100,30,30,2e-05,1.0,3757.5,200.9316108226776
57,100,30,30,2e-05,1.0,3701.5,203.969274520874
58,100,30,30,2e-05,1.0,3635.2,207.68866729736328
59,100,30,30,1e-05,1.0,3571.8,211.3762776851654
60,100,30,30,1e-05,1.0,3521.3,214.41102004051208
61,100,30,30,1e-05,1.0,3462.6,218.04251074790955
62,100,30,30,1e-05,1.0,3404.2,221.78444623947144
63,100,30,30,1e-05,1.0,3356.8,224.91566610336304
64,100,30,30,1e-05,1.0,3323.0,227.2075972557068
65,100,30,30,1e-05,1.0,3293.4,229.24915075302124
66,100,30,30,1e-05,1.0,3263.3,231.357768535614
67,100,30,30,1e-05,1.0,3233.9,233.4638533592224
68,100,30,30,1e-05,1.0,3205.1,235.5654628276825
69,100,30,30,1e-05,1.0,3177.3,237.62231707572937
70,100,30,30,1e-05,1.0,3150.0,239.6859154701233
71,100,30,30,1e-05,1.0,3122.5,241.7957348823548
72,100,30,30,1e-05,1.0,3096.0,243.86394619941711
73,100,30,30,1e-05,1.0,3069.9,245.93916583061213
74,100,30,30,1e-05,1.0,3044.9,247.9552900791168
75,100,30,30,1e-05,1.0,3019.5,250.04397654533383
76,100,30,30,1e-05,1.0,2994.6,252.1208200454712
77,100,30,30,1e-05,1.0,2970.2,254.18754744529724
78,100,30,30,1e-05,1.0,2946.1,256.2723219394684
79,100,30,30,1e-05,1.0,2922.9,258.3088743686676
80,100,30,30,1e-05,1.0,2899.5,260.3903589248657
81,100,30,30,1e-05,1.0,2876.8,262.44215393066406
82,100,30,30,1e-05,1.0,2854.2,264.5259976387024
83,100,30,30,1e-05,1.0,2831.9,266.6083416938782
84,100,30,30,1e-05,1.0,2809.9,268.6940588951111
85,100,30,30,1e-05,1.0,2788.1,270.79380655288696
86,100,30,30,1e-05,1.0,2767.0,272.86185598373413
87,100,30,30,1e-05,1.0,2745.8,274.9604902267456
88,100,30,30,1e-05,1.0,2725.4,277.02411556243896
89,100,30,30,1e-05,1.0,2705.3,279.08637285232544
90,100,30,30,1e-05,1.0,2685.4,281.15164065361023
91,100,30,30,1e-05,1.0,2665.7,283.23040103912354
92,100,30,30,1e-05,1.0,2646.2,285.3154392242432
93,100,30,30,1e-05,1.0,2623.4,287.7983660697937
94,100,30,30,1e-05,1.0,2605.5,289.76771879196167
95,100,30,30,1e-05,1.0,2586.9,291.85443925857544
96,100,30,30,1e-05,1.0,2562.2,294.6644654273987
97,100,30,30,1e-05,1.0,2543.3,296.8586475849152
98,100,30,30,1e-05,1.0,2524.8,299.03889417648315
99,100,30,30,1e-05,1.0,2506.5,301.2183573246002
100,100,30,30,0.00001,1.00000,2487.9,303.4728751182556
