epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.61497,0.90967,54855.2,13.763502836227415
2,100,30,30,0.06001,0.99629,31584.0,23.90448951721192
3,100,30,30,0.02135,0.99722,22111.3,34.145469427108765
4,100,30,30,0.01416,0.99815,17038.8,44.310539960861206
5,100,30,30,0.00984,0.99868,13914.9,54.258418798446655
6,100,30,30,0.00706,0.99881,11766.4,64.1655580997467
7,100,30,30,0.00561,0.99934,10282.4,73.42610764503479
8,100,30,30,0.00449,0.99921,9154.6,82.47244071960449
9,100,30,30,0.00306,0.99974,8276.1,91.22622179985046
10,100,30,30,0.00296,0.99974,7541.7,100.1094090938568
11,100,30,30,0.00226,0.99974,6892.8,109.53499555587769
12,100,30,30,0.00173,0.99987,6332.3,119.23058676719666
13,100,30,30,0.00162,0.99974,5836.3,129.3630292415619
14,100,30,30,0.00165,0.99987,5443.2,138.706077337265
15,100,30,30,0.00114,0.99987,5091.9,148.2754294872284
16,100,30,30,0.00095,1.0,4784.1,157.81509065628052
17,100,30,30,0.00081,1.0,4511.3,167.3565423488617
18,100,30,30,0.00065,1.0,4266.5,176.9595084190369
19,100,30,30,0.00062,1.0,4046.8,186.5666184425354
20,100,30,30,0.00056,1.0,3849.4,196.13329076766968
21,100,30,30,0.00044,1.0,3670.6,205.68728399276733
22,100,30,30,0.0004,1.0,3507.2,215.2691628932953
23,100,30,30,0.00048,1.0,3358.7,224.78781628608704
24,100,30,30,0.00045,1.0,3224.4,234.1493730545044
25,100,30,30,0.00048,1.0,3098.9,243.63324189186096
26,100,30,30,0.00036,1.0,2983.7,253.04354333877563
27,100,30,30,0.00033,1.0,2875.7,262.5421783924103
28,100,30,30,0.00024,1.0,2775.4,272.03661727905273
29,100,30,30,0.00032,1.0,2682.4,281.4667022228241
30,100,30,30,0.0006,0.99987,2595.2,290.9270062446594
31,100,30,30,0.00029,1.0,2513.2,300.41377425193787
32,100,30,30,0.00029,1.0,2436.2,309.91353487968445
33,100,30,30,0.00023,1.0,2364.5,319.3129708766937
34,100,30,30,0.00045,0.99987,2298.2,328.5118308067322
35,100,30,30,0.0004,0.99987,2234.9,337.8253421783447
36,100,30,30,0.00026,1.0,2176.6,346.87764620780945
37,100,30,30,0.00029,1.0,2142.3,352.4318835735321
38,100,30,30,0.00019,1.0,2096.9,360.0633203983307
39,100,30,30,0.00036,1.0,2039.8,370.129358291626
40,100,30,30,0.00015,1.00000,1989.3,379.5283098220825
