epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.20943,0.94444,103225.4,7.410966873168945
2,100,30,30,0.01944,0.99359,63152.3,12.11357307434082
3,100,30,30,0.01131,0.99582,46159.8,16.572874784469604
4,100,30,30,0.00734,0.99791,37087.5,20.626902103424072
5,100,30,30,0.00422,0.99882,30551.2,25.039968490600582
6,100,30,30,0.00314,0.99935,25847.6,29.59656882286072
7,100,30,30,0.00148,0.99974,22799.8,33.552916288375854
8,100,30,30,0.00069,1.0,20096.9,38.06563925743103
9,100,30,30,0.00053,1.0,17867.5,42.8151330947876
10,100,30,30,0.00053,1.0,16178.1,47.28621912002564
11,100,30,30,0.00032,1.0,14886.7,51.38830590248108
12,100,30,30,0.0003,1.0,13702.7,55.82843589782715
13,100,30,30,0.00029,1.0,12654.5,60.45259928703308
14,100,30,30,0.00026,1.0,11835.3,64.63705134391785
15,100,30,30,0.0002,1.0,11075.8,69.06940412521362
16,100,30,30,0.0002,1.0,10360.6,73.83706974983215
17,100,30,30,0.00016,1.0,9763.7,78.35162019729614
18,100,30,30,0.00016,1.0,9286.8,82.37508392333984
19,100,30,30,0.00014,1.0,8794.7,86.98374080657959
20,100,30,30,0.00014,1.0,8339.4,91.73323464393616
21,100,30,30,0.00012,1.0,7949.6,96.23151731491087
22,100,30,30,0.00014,1.0,7609.8,100.52803134918211
23,100,30,30,0.0001,1.0,7287.1,104.97941184043884
24,100,30,30,0.00013,1.0,6981.0,109.58301520347597
25,100,30,30,0.0001,1.0,6727.2,113.71775698661804
26,100,30,30,0.0001,1.0,6472.9,118.1846525669098
27,100,30,30,8e-05,1.0,6220.9,122.97169995307922
28,100,30,30,7e-05,1.0,6003.1,127.43514037132265
29,100,30,30,7e-05,1.0,5815.1,131.5534327030182
30,100,30,30,7e-05,1.0,5619.8,136.12467312812805
31,100,30,30,7e-05,1.0,5429.4,140.89825558662417
32,100,30,30,6e-05,1.0,5268.2,145.21080470085144
33,100,30,30,6e-05,1.0,5118.1,149.4692165851593
34,100,30,30,5e-05,1.0,4961.8,154.17760825157166
35,100,30,30,5e-05,1.0,4817.3,158.80144739151
36,100,30,30,5e-05,1.0,4692.6,163.02408814430237
37,100,30,30,5e-05,1.0,4567.4,167.49229192733765
38,100,30,30,5e-05,1.0,4440.4,172.28320264816284
39,100,30,30,0.00063,0.99987,4323.6,176.93720507621765
40,100,30,30,0.01455,0.99582,4216.9,181.4125816822052
41,100,30,30,0.01071,0.99621,4125.4,185.4385941028595
42,100,30,30,0.0057,0.99791,4039.6,189.3732614517212
43,100,30,30,0.00284,0.99922,3977.1,192.34908413887024
44,100,30,30,0.00101,0.99974,3911.0,195.60097098350525
45,100,30,30,0.00043,1.0,3810.5,200.7591388225556
46,100,30,30,0.00019,1.0,3722.0,205.5327985286713
47,100,30,30,0.00011,1.0,3637.3,210.3237018585205
48,100,30,30,7e-05,1.0,3558.9,214.9559233188629
49,100,30,30,7e-05,1.0,3481.8,219.71196913719177
50,100,30,30,5e-05,1.0,3406.6,224.5655760765076
51,100,30,30,5e-05,1.0,3337.5,229.21132278442383
52,100,30,30,5e-05,1.0,3271.9,233.80800008773804
53,100,30,30,4e-05,1.0,3205.4,238.65623211860657
54,100,30,30,4e-05,1.0,3142.0,243.4758458137512
55,100,30,30,4e-05,1.0,3083.4,248.10277843475345
56,100,30,30,4e-05,1.0,3024.3,252.9526143074036
57,100,30,30,3e-05,1.0,2966.8,257.8514852523804
58,100,30,30,3e-05,1.0,2914.2,262.5076172351837
59,100,30,30,3e-05,1.0,2862.9,267.21141386032104
60,100,30,30,3e-05,1.0,2812.2,272.02792501449585
61,100,30,30,3e-05,1.0,2763.3,276.8440582752228
62,100,30,30,2e-05,1.0,2718.1,281.44867181777954
63,100,30,30,2e-05,1.0,2671.8,286.3242266178131
64,100,30,30,2e-05,1.0,2628.9,290.99070835113525
65,100,30,30,2e-05,1.0,2587.8,295.61811089515686
66,100,30,30,3e-05,1.0,2548.1,300.2230267524719
67,100,30,30,2e-05,1.0,2508.7,304.9345898628235
68,100,30,30,2e-05,1.0,2469.6,309.7691569328308
69,100,30,30,2e-05,1.0,2433.2,314.3946614265442
70,100,30,30,2e-05,1.0,2396.1,319.2749447822571
71,100,30,30,2e-05,1.0,2359.9,324.1602897644043
72,100,30,30,2e-05,1.0,2326.8,328.7709696292877
73,100,30,30,2e-05,1.0,2293.3,333.5777966976166
74,100,30,30,2e-05,1.0,2261.6,338.2582664489746
75,100,30,30,1e-05,1.0,2230.9,342.90462350845337
76,100,30,30,2e-05,1.0,2199.6,347.7869930267334
77,100,30,30,2e-05,1.0,2169.5,352.61186814308167
78,100,30,30,2e-05,1.0,2140.7,357.3602385520935
79,100,30,30,2e-05,1.0,2112.4,362.1545104980469
80,100,30,30,1e-05,1.0,2084.0,367.0912430286408
81,100,30,30,1e-05,1.0,2056.6,371.9645156860352
82,100,30,30,1e-05,1.0,2031.6,376.55949330329895
83,100,30,30,1e-05,1.0,2006.0,381.3617570400238
84,100,30,30,1e-05,1.0,1980.6,386.243109703064
85,100,30,30,1e-05,1.0,1957.0,390.9120814800263
86,100,30,30,1e-05,1.0,1933.1,395.7362790107727
87,100,30,30,1e-05,1.0,1909.8,400.5691504478455
88,100,30,30,1e-05,1.0,1887.9,405.2027542591095
89,100,30,30,1e-05,1.0,1866.3,409.8917589187622
90,100,30,30,1e-05,1.0,1845.3,414.5731220245361
91,100,30,30,1e-05,1.0,1824.1,419.39470410346985
92,100,30,30,1e-05,1.0,1804.3,423.97748827934265
93,100,30,30,1e-05,1.0,1784.7,428.638251543045
94,100,30,30,1e-05,1.0,1765.6,433.28360056877136
95,100,30,30,1e-05,1.0,1747.0,437.884889125824
96,100,30,30,1e-05,1.0,1729.2,442.3986098766327
97,100,30,30,1e-05,1.0,1711.8,446.8876893520355
98,100,30,30,1e-05,1.0,1694.8,451.3703615665436
99,100,30,30,1e-05,1.0,1677.6,456.0191881656647
100,100,30,30,0.00001,1.00000,1660.8,460.6130406856537
