epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.1321,0.96444,47518.7,16.09891438484192
2,100,30,30,0.00968,0.99608,29146.0,26.247159957885746
3,100,30,30,0.0069,0.99804,21012.8,36.4063835144043
4,100,30,30,0.00397,0.99843,16461.3,46.47274374961853
5,100,30,30,0.00531,0.9983,13465.0,56.8140857219696
6,100,30,30,0.00238,0.99922,11397.2,67.12152171134949
7,100,30,30,0.00404,0.99869,9882.1,77.41234254837036
8,100,30,30,0.00294,0.99908,8723.1,87.69836187362671
9,100,30,30,0.00165,0.99961,7804.9,98.0157208442688
10,100,30,30,0.00103,0.99961,7060.4,108.35016512870789
11,100,30,30,0.00393,0.99908,6449.7,118.61021327972412
12,100,30,30,0.00479,0.9983,5932.2,128.9572548866272
13,100,30,30,0.00144,0.99948,5500.8,139.07051730155945
14,100,30,30,0.0013,0.99961,5128.2,149.1755039691925
15,100,30,30,0.00159,0.99974,4795.5,159.5235698223114
16,100,30,30,0.00111,0.99974,4503.9,169.8535737991333
17,100,30,30,0.00246,0.99922,4245.4,180.1955924034119
18,100,30,30,0.00152,0.99974,4014.9,190.541494846344
19,100,30,30,0.00071,0.99974,3809.8,200.79995036125183
20,100,30,30,0.00024,0.99987,3624.0,211.09403157234192
21,100,30,30,0.00018,0.99987,3454.2,221.47177290916443
22,100,30,30,8e-05,1.0,3300.9,231.75242376327515
23,100,30,30,7e-05,1.0,3160.7,242.0381596088409
24,100,30,30,4e-05,1.0,3034.0,252.14355325698853
25,100,30,30,4e-05,1.0,2914.3,262.4999499320984
26,100,30,30,3e-05,1.0,2803.6,272.86189818382263
27,100,30,30,3e-05,1.0,2701.3,283.19389128685
28,100,30,30,3e-05,1.0,2606.6,293.4897060394287
29,100,30,30,3e-05,1.0,2517.5,303.8691599369049
30,100,30,30,3e-05,1.0,2435.1,314.1610279083252
31,100,30,30,3e-05,1.0,2357.6,324.4813871383667
32,100,30,30,2e-05,1.0,2284.9,334.80975008010864
33,100,30,30,2e-05,1.0,2216.1,345.2026629447937
34,100,30,30,2e-05,1.0,2153.1,355.29778003692627
35,100,30,30,2e-05,1.0,2091.8,365.7097053527832
36,100,30,30,2e-05,1.0,2033.8,376.1485817432404
37,100,30,30,2e-05,1.0,1979.4,386.4870550632477
38,100,30,30,2e-05,1.0,1927.7,396.8428580760956
39,100,30,30,2e-05,1.0,1878.8,407.1717014312744
40,100,30,30,2e-05,1.0,1832.2,417.5414617061615
41,100,30,30,1e-05,1.0,1787.6,427.95898628234863
42,100,30,30,2e-05,1.0,1745.2,438.3473143577576
43,100,30,30,1e-05,1.0,1704.7,448.7665703296661
44,100,30,30,1e-05,1.0,1666.4,459.0820741653442
45,100,30,30,1e-05,1.0,1629.3,469.518294095993
46,100,30,30,1e-05,1.0,1593.5,480.0841977596283
47,100,30,30,1e-05,1.0,1558.8,490.7485730648041
48,100,30,30,1e-05,1.0,1525.5,501.4629411697388
49,100,30,30,1e-05,1.0,1493.4,512.2592678070068
50,100,30,30,1e-05,1.0,1462.8,522.9704287052155
51,100,30,30,1e-05,1.0,1434.1,533.4398188591003
52,100,30,30,1e-05,1.0,1406.7,543.8201534748077
53,100,30,30,1e-05,1.0,1380.8,554.0298702716827
54,100,30,30,1e-05,1.0,1355.3,564.4683165550232
