epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.22709,0.90993,42898.4,17.832848072052002
2,100,30,30,0.01055,0.99634,28128.8,27.19634938240052
3,100,30,30,0.0056,0.99804,21003.4,36.4227352142334
4,100,30,30,0.00411,0.99856,16482.8,46.41190218925476
5,100,30,30,0.00185,0.99935,14566.2,52.51891875267029
6,100,30,30,0.00244,0.99882,13120.5,58.30561995506287
7,100,30,30,0.00343,0.99895,11988.1,63.81330394744873
8,100,30,30,0.00108,0.99961,11030.9,69.3503909111023
9,100,30,30,0.00138,0.99948,10222.1,74.83776640892029
10,100,30,30,0.001,0.99961,9536.3,80.21966242790222
11,100,30,30,0.00072,0.99974,8934.6,85.62178182601929
12,100,30,30,0.00036,0.99987,8399.3,91.07859420776369
13,100,30,30,0.00021,1.0,7923.9,96.54376459121704
14,100,30,30,0.0001,1.0,7505.4,101.92713809013368
15,100,30,30,0.00016,0.99987,7126.4,107.34791469573976
16,100,30,30,0.00078,0.99974,6785.1,112.74714350700378
17,100,30,30,0.00017,1.0,6472.7,118.18945479393004
18,100,30,30,6e-05,1.0,6190.8,123.5696349143982
19,100,30,30,2e-05,1.0,5919.2,129.24101185798645
20,100,30,30,0.0,1.0,5676.6,134.7636477947235
21,100,30,30,0.0,1.0,5445.5,140.48289370536804
22,100,30,30,0.0,1.0,5232.3,146.20662903785706
23,100,30,30,0.0,1.0,5031.0,152.05662560462952
24,100,30,30,0.0,1.0,4849.4,157.7507884502411
25,100,30,30,0.0,1.0,4679.7,163.47251653671265
26,100,30,30,0.0,1.0,4521.6,169.18868017196655
27,100,30,30,0.0,1.0,4372.5,174.9560444355011
28,100,30,30,0.0,1.0,4231.4,180.78934693336487
29,100,30,30,0.0,1.0,4100.5,186.5609130859375
30,100,30,30,0.0,1.0,3978.9,192.26202917099
31,100,30,30,0.0,1.0,3864.2,197.9689149856568
32,100,30,30,0.0,1.0,3755.9,203.68218278884888
33,100,30,30,0.0,1.0,3653.1,209.4087142944336
34,100,30,30,0.0,1.0,3556.2,215.1164078712464
35,100,30,30,0.0,1.0,3463.4,220.8840298652649
36,100,30,30,0.0,1.0,3375.3,226.64537525177
37,100,30,30,0.0,1.0,3292.3,232.3590989112854
38,100,30,30,0.0,1.0,3217.1,237.79233407974243
39,100,30,30,0.0,1.0,3131.4,244.29828333854675
40,100,30,30,0.0,1.0,3049.6,250.8563539981842
41,100,30,30,0.0,1.0,2973.7,257.25749707221985
42,100,30,30,0.0,1.0,2897.2,264.0488452911377
43,100,30,30,0.0,1.0,2828.3,270.478328704834
44,100,30,30,0.0,1.0,2761.2,277.0548107624054
45,100,30,30,0.0,1.0,2698.2,283.52287006378174
46,100,30,30,0.0,1.0,2638.3,289.9575922489166
47,100,30,30,0.0,1.0,2579.7,296.5492227077484
48,100,30,30,0.0,1.0,2524.8,302.9970531463623
49,100,30,30,0.0,1.0,2471.8,309.4866678714752
50,100,30,30,0.0,1.0,2422.2,315.83076190948486
51,100,30,30,0.0,1.0,2372.2,322.48008155822754
52,100,30,30,0.0,1.0,2325.4,328.96883177757263
53,100,30,30,0.0,1.0,2280.4,335.461980342865
54,100,30,30,0.0,1.0,2237.2,341.9446940422058
55,100,30,30,0.0,1.0,2194.1,348.6559429168701
56,100,30,30,0.0,1.0,2154.2,355.12462043762207
