epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.80071,0.87219,76851.6,9.824126720428469
2,100,30,30,0.09762,0.99682,45466.4,16.60568070411682
3,100,30,30,0.02215,0.99788,32897.6,22.949981451034542
4,100,30,30,0.01261,0.99868,26458.9,28.534770488739014
5,100,30,30,0.00773,0.99934,20654.5,36.55370020866394
6,100,30,30,0.0065,0.99894,17095.2,44.16448736190796
7,100,30,30,0.00471,0.99934,14634.1,51.59167003631592
8,100,30,30,0.00375,0.99974,12729.3,59.312124729156494
9,100,30,30,0.00297,0.99974,11314.2,66.7304253578186
10,100,30,30,0.0025,0.99974,10188.9,74.10030579566956
11,100,30,30,0.0018,0.99987,9259.8,81.53521847724915
12,100,30,30,0.00155,0.99987,8453.4,89.3129575252533
13,100,30,30,0.00125,1.0,7800.1,96.79321813583374
14,100,30,30,0.0013,0.99987,7225.8,104.48676085472108
15,100,30,30,0.00096,1.0,6740.7,112.00631022453308
16,100,30,30,0.00075,1.0,6311.9,119.61552309989928
17,100,30,30,0.00108,0.99987,5938.2,127.14218211174013
18,100,30,30,0.00059,1.0,5601.9,134.77583360671997
19,100,30,30,0.0006,1.0,5296.1,142.55767250061035
20,100,30,30,0.00046,1.0,5029.4,150.1174886226654
21,100,30,30,0.00045,1.0,4787.0,157.71784901618958
22,100,30,30,0.00048,1.0,4567.2,165.30897736549375
23,100,30,30,0.00062,0.99987,4356.9,173.28924250602722
24,100,30,30,0.00046,1.0,4173.3,180.91272044181824
25,100,30,30,0.00034,1.0,3998.9,188.7995615005493
26,100,30,30,0.00032,1.0,3843.4,196.4413449764252
27,100,30,30,0.00025,1.0,3698.6,204.1317348480225
28,100,30,30,0.00028,1.0,3561.9,211.96596360206604
29,100,30,30,0.00026,1.0,3438.1,219.59595012664795
30,100,30,30,0.00024,1.0,3318.1,227.5385434627533
31,100,30,30,0.00023,1.0,3210.0,235.2039291858673
32,100,30,30,0.0002,1.0,3106.7,243.0206360816956
33,100,30,30,0.00021,1.0,3022.7,249.77951955795288
34,100,30,30,0.00019,1.0,2954.9,255.5052306652069
35,100,30,30,0.00016,1.0,2858.9,264.0866985321045
36,100,30,30,0.00016,1.0,2767.4,272.82256031036377
37,100,30,30,0.00016,1.0,2683.3,281.37139534950256
38,100,30,30,0.00014,1.0,2609.7,289.3075547218323
39,100,30,30,0.00012,1.0,2535.0,297.8306493759155
40,100,30,30,0.00013,1.0,2462.8,306.5652916431427
41,100,30,30,0.00023,1.0,2397.0,314.9830963611603
42,100,30,30,0.00013,1.0,2336.9,323.0768871307373
43,100,30,30,0.00016,1.0,2275.4,331.8159511089325
44,100,30,30,0.00022,1.0,2217.7,340.4475748538971
45,100,30,30,0.00011,1.0,2167.6,348.3159556388855
46,100,30,30,0.00012,1.0,2115.4,356.9062535762787
47,100,30,30,0.0001,1.0,2064.0,365.7897217273712
48,100,30,30,0.00011,1.0,2017.4,374.24822759628296
49,100,30,30,0.0001,1.0,1975.5,382.1722800731659
50,100,30,30,8e-05,1.0,1931.2,390.9456629753113
51,100,30,30,0.0001,1.0,1889.5,399.5804052352905
52,100,30,30,0.00013,1.0,1852.2,407.6175985336304
53,100,30,30,6e-05,1.0,1814.6,416.07409024238586
54,100,30,30,8e-05,1.0,1777.5,424.7520945072174
55,100,30,30,8e-05,1.0,1743.9,432.9345259666443
56,100,30,30,8e-05,1.0,1711.1,441.2462620735169
57,100,30,30,9e-05,1.0,1677.8,449.9816226959229
58,100,30,30,8e-05,1.0,1646.3,458.611887216568
59,100,30,30,8e-05,1.0,1617.5,466.78343963623047
60,100,30,30,8e-05,1.0,1588.7,475.2428140640259
61,100,30,30,6e-05,1.0,1559.8,484.0358564853668
62,100,30,30,7e-05,1.0,1533.5,492.336923122406
63,100,30,30,5e-05,1.0,1508.1,500.615097284317
64,100,30,30,5e-05,1.0,1482.6,509.2294096946716
65,100,30,30,4e-05,1.0,1458.3,517.7252690792084
66,100,30,30,5e-05,1.0,1435.5,525.9319262504578
67,100,30,30,0.00012,1.0,1412.8,534.4149823188782
68,100,30,30,0.00016,0.99987,1390.2,543.0857985019684
69,100,30,30,9e-05,1.0,1368.9,551.5477404594421
70,100,30,30,6e-05,1.0,1348.8,559.769693851471
71,100,30,30,4e-05,1.0,1328.2,568.458352804184
72,100,30,30,6e-05,1.0,1314.2,574.4967877864838
73,100,30,30,4e-05,1.0,1300.0,580.7588012218475
74,100,30,30,4e-05,1.0,1278.5,590.5229089260101
75,100,30,30,5e-05,1.0,1259.0,599.6694529056549
76,100,30,30,4e-05,1.0,1240.3,608.7358663082123
77,100,30,30,5e-05,1.0,1222.7,617.4664707183838
78,100,30,30,3e-05,1.0,1205.6,626.2228741645813
79,100,30,30,5e-05,1.0,1188.6,635.1994369029999
