epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.17044,0.95033,43433.1,17.613277196884155
2,100,30,30,0.00757,0.99712,28585.5,26.76181054115296
3,100,30,30,0.00228,0.99922,21235.6,36.024359464645386
4,100,30,30,0.00024,1.0,16680.9,45.860785245895386
5,100,30,30,5e-05,1.0,13694.3,55.86251902580261
6,100,30,30,2e-05,1.0,11688.0,65.4518404006958
7,100,30,30,1e-05,1.0,10242.4,74.68923497200012
8,100,30,30,0.00071,0.99987,9110.1,83.97233176231384
9,100,30,30,0.01196,0.9966,8197.4,93.32249450683594
10,100,30,30,0.00351,0.99882,7456.5,102.59466433525084
11,100,30,30,0.00071,0.99974,6835.1,111.92278790473938
12,100,30,30,0.00066,0.99961,6318.0,121.08234214782716
13,100,30,30,0.00149,0.99961,5865.3,130.4284224510193
14,100,30,30,0.00401,0.99908,5480.0,139.59947562217712
15,100,30,30,0.00095,0.99961,5136.8,148.92489075660706
16,100,30,30,7e-05,1.0,4834.0,158.25279068946838
17,100,30,30,1e-05,1.0,4562.2,167.68300652503967
18,100,30,30,1e-05,1.0,4312.0,177.41143774986267
19,100,30,30,0.0,1.0,4082.7,187.37742686271667
20,100,30,30,0.0,1.0,3879.1,197.20880031585693
21,100,30,30,0.0,1.0,3694.1,207.0883979797364
22,100,30,30,0.0,1.0,3532.2,216.5763714313507
23,100,30,30,0.0,1.0,3388.1,225.78989481925964
24,100,30,30,0.0,1.0,3254.5,235.062331199646
25,100,30,30,0.0,1.0,3130.1,244.4045135974884
26,100,30,30,0.0,1.0,3013.7,253.8440556526184
27,100,30,30,0.0,1.0,2906.7,263.18286204338074
28,100,30,30,0.0,1.0,2807.3,272.504588842392
29,100,30,30,0.0,1.0,2714.1,281.8624124526977
30,100,30,30,0.0,1.0,2628.7,291.02386713027954
31,100,30,30,0.0,1.0,2547.8,300.2556965351105
32,100,30,30,0.0,1.0,2472.8,309.3641803264618
33,100,30,30,0.0,1.0,2404.0,318.22604060173035
34,100,30,30,0.0,1.0,2334.2,327.73527812957764
35,100,30,30,0.0,1.0,2267.2,337.4152014255524
36,100,30,30,0.0,1.0,2206.4,346.71228194236755
37,100,30,30,0.0,1.0,2151.0,355.6529064178467
38,100,30,30,0.0,1.0,2098.0,364.63665103912354
39,100,30,30,0.0,1.0,2047.6,373.6157145500183
40,100,30,30,0.0,1.0,1999.8,382.5451865196228
41,100,30,30,0.0,1.0,1953.6,391.58937525749207
42,100,30,30,0.0,1.0,1910.1,400.49995517730713
43,100,30,30,0.0,1.0,1868.7,409.3731262683869
44,100,30,30,0.0,1.0,1836.7,416.51045060157776
45,100,30,30,0.0,1.0,1813.8,421.77218651771545
46,100,30,30,0.0,1.0,1780.4,429.6872053146362
47,100,30,30,0.0,1.0,1741.4,439.298367023468
48,100,30,30,0.0,1.0,1706.6,448.25017261505127
49,100,30,30,0.0,1.0,1673.2,457.211290359497
50,100,30,30,0.0,1.0,1638.6,466.848480463028
51,100,30,30,0.0,1.0,1607.8,475.8026549816132
52,100,30,30,0.0,1.0,1577.9,484.8157935142517
53,100,30,30,0.0,1.0,1547.1,494.48335242271423
54,100,30,30,0.0,1.0,1519.9,503.3318901062012
55,100,30,30,0.0,1.0,1493.4,512.2683756351471
56,100,30,30,0.0,1.0,1465.7,521.9180161952972
57,100,30,30,0.0,1.0,1441.4,530.7465240955353
58,100,30,30,0.0,1.0,1416.9,539.9274291992188
59,100,30,30,0.0,1.0,1392.3,549.4653768539429
60,100,30,30,0.0,1.0,1370.7,558.1275296211243
61,100,30,30,0.0,1.0,1348.5,567.2829976081848
62,100,30,30,0.0,1.0,1326.2,576.8193187713623
63,100,30,30,0.0,1.0,1306.3,585.6423828601837
64,100,30,30,0.0,1.0,1285.2,595.2417981624603
65,100,30,30,0.0,1.0,1265.6,604.4356586933136
66,100,30,30,0.0,1.0,1247.3,613.3147611618042
67,100,30,30,0.0,1.0,1228.1,622.895738363266
68,100,30,30,0.0,1.0,1210.7,631.8555414676666
69,100,30,30,0.0,1.0,1193.8,640.8280913829803
70,100,30,30,0.0,1.0,1176.0,650.5093059539795
71,100,30,30,0.0,1.0,1160.0,659.5000231266022
72,100,30,30,0.0,1.0,1144.5,668.4403433799744
73,100,30,30,0.0,1.0,1128.0,678.196900844574
74,100,30,30,0.0,1.0,1113.7,686.9026536941528
75,100,30,30,0.0,1.0,1099.4,695.8287265300751
76,100,30,30,0.0,1.0,1084.1,705.6324315071106
77,100,30,30,0.0,1.0,1070.5,714.5888233184814
78,100,30,30,0.0,1.0,1056.1,724.3373823165894
79,100,30,30,0.0,1.0,1042.2,734.0120983123779
80,100,30,30,0.0,1.0,1029.5,743.1047580242157
81,100,30,30,0.0,1.0,1016.3,752.7490177154541
82,100,30,30,0.0,1.0,1003.2,762.533894777298
83,100,30,30,0.0,1.0,991.4,771.6717092990875
84,100,30,30,0.0,1.0,978.7,781.6202704906464
85,100,30,30,0.0,1.0,967.1,791.0604445934296
86,100,30,30,0.0,1.0,955.9,800.310540676117
87,100,30,30,0.0,1.0,944.1,810.3173446655273
88,100,30,30,0.0,1.0,933.3,819.6607897281647
89,100,30,30,0.0,1.0,923.0,828.7782068252563
90,100,30,30,0.0,1.0,912.0,838.8519759178162
91,100,30,30,0.0,1.0,902.2,847.9695110321045
92,100,30,30,0.0,1.0,892.5,857.1872229576111
93,100,30,30,0.0,1.0,882.2,867.161105632782
94,100,30,30,0.0,1.0,872.9,876.3719711303711
95,100,30,30,0.0,1.0,863.5,885.886468410492
96,100,30,30,0.0,1.0,854.0,895.822523355484
97,100,30,30,0.0,1.0,845.2,905.097574710846
98,100,30,30,0.0,1.0,836.0,915.0904293060304
99,100,30,30,0.0,1.0,827.2,924.7700643539428
100,100,30,30,0.00000,1.00000,819.1,933.9983336925507
