epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.64795,0.24,1813.0,2.757826089859009
2,100,4,4,1.41281,0.46,1667.0,2.9993579387664795
3,100,4,4,1.45331,0.42,1544.5,3.2373464107513428
4,100,4,4,1.42261,0.48,1438.8,3.4750216007232666
5,100,4,4,1.20295,0.64,1350.7,3.701717138290405
6,100,4,4,1.19874,0.56,1274.2,3.92406702041626
7,100,4,4,1.2083,0.6,1200.2,4.166121959686279
8,100,4,4,1.00123,0.72,1141.2,4.381279706954956
9,100,4,4,0.97865,0.72,1086.2,4.603214979171753
10,100,4,4,0.95631,0.7,1033.4,4.838321924209595
11,100,4,4,0.98156,0.7,988.5,5.0582263469696045
12,100,4,4,0.90849,0.74,944.3,5.294954538345337
13,100,4,4,0.84323,0.8,898.8,5.563187599182129
14,100,4,4,0.68685,0.82,858.5,5.823890447616577
15,100,4,4,0.72728,0.82,826.7,6.048369884490967
16,100,4,4,0.69164,0.78,796.6,6.276625394821167
17,100,4,4,0.59603,0.84,764.4,6.540920734405518
18,100,4,4,0.63306,0.84,739.1,6.7645652294158936
19,100,4,4,0.49153,0.84,713.7,7.005591630935669
20,100,4,4,0.59111,0.82,690.6,7.240461826324463
21,100,4,4,0.40464,0.9,670.1,7.461638927459717
22,100,4,4,0.46128,0.88,647.6,7.720735311508179
23,100,4,4,0.4085,0.92,628.1,7.960717439651489
24,100,4,4,0.34126,0.94,607.8,8.226282835006714
25,100,4,4,0.48283,0.82,589.4,8.482804298400879
26,100,4,4,0.35402,0.92,572.8,8.728345155715942
27,100,4,4,0.37869,0.9,555.7,8.997633218765259
28,100,4,4,0.35933,0.9,541.8,9.228255987167358
29,100,4,4,0.23258,0.98,529.4,9.444213390350342
30,100,4,4,0.33652,0.9,517.9,9.654539346694946
31,100,4,4,0.34757,0.86,504.1,9.917729139328005
32,100,4,4,0.24224,0.94,490.8,10.186798810958862
33,100,4,4,0.33236,0.88,478.9,10.441019535064695
34,100,4,4,0.25043,0.92,468.3,10.676496744155884
35,100,4,4,0.28512,0.92,456.8,10.94537115097046
36,100,4,4,0.32989,0.9,446.2,11.20679497718811
37,100,4,4,0.40147,0.84,435.5,11.481369018554688
38,100,4,4,0.24857,0.94,427.0,11.710712671279907
39,100,4,4,0.20331,0.98,418.3,11.953550338745115
40,100,4,4,0.16888,0.96,410.4,12.183325052261353
41,100,4,4,0.22863,0.94,402.6,12.419442892074583
42,100,4,4,0.396,0.88,395.6,12.639597415924072
43,100,4,4,0.19708,0.96,388.9,12.856574535369871
44,100,4,4,0.27447,0.9,382.3,13.078617095947266
45,100,4,4,0.15532,0.98,376.0,13.29700231552124
46,100,4,4,0.33124,0.9,369.8,13.520665407180786
47,100,4,4,0.29828,0.88,364.1,13.733657360076904
48,100,4,4,0.23721,0.94,357.9,13.969127416610718
49,100,4,4,0.08991,1.0,352.1,14.201176404953005
50,100,4,4,0.38133,0.84,346.7,14.420324325561523
51,100,4,4,0.1418,0.98,341.3,14.649889469146729
52,100,4,4,0.1679,0.96,335.5,14.902740478515623
53,100,4,4,0.25779,0.88,329.9,15.154097318649292
54,100,4,4,0.354,0.92,324.7,15.397023439407349
55,100,4,4,0.2095,0.94,319.9,15.628081321716309
56,100,4,4,0.2843,0.9,314.9,15.875747203826904
57,100,4,4,0.20069,0.98,310.1,16.126261949539185
58,100,4,4,0.26068,0.9,305.9,16.347688674926758
59,100,4,4,0.28813,0.92,301.3,16.595197439193726
60,100,4,4,0.24665,0.96,296.4,16.868093490600586
61,100,4,4,0.12115,1.0,292.2,17.112725019454956
62,100,4,4,0.1966,0.96,287.9,17.369032859802246
63,100,4,4,0.20715,0.96,284.0,17.606038808822632
64,100,4,4,0.26256,0.92,279.8,17.871561527252197
65,100,4,4,0.24809,0.94,276.2,18.10502243041992
66,100,4,4,0.27276,0.92,272.7,18.333477020263672
67,100,4,4,0.24467,0.96,269.3,18.563825845718384
68,100,4,4,0.22468,0.96,265.8,18.810089826583862
69,100,4,4,0.15149,0.96,262.6,19.0415256023407
70,100,4,4,0.16437,0.94,259.1,19.2981173992157
71,100,4,4,0.10553,0.96,256.1,19.526978492736816
72,100,4,4,0.10298,0.96,252.9,19.770383834838867
73,100,4,4,0.29917,0.88,250.0,20.003156900405884
74,100,4,4,0.33217,0.92,246.7,20.26877212524414
75,100,4,4,0.17962,0.94,243.1,20.568357229232788
76,100,4,4,0.18235,0.94,240.1,20.82374334335327
77,100,4,4,0.04811,1.0,237.0,21.097052335739136
78,100,4,4,0.28686,0.92,233.6,21.40011548995972
79,100,4,4,0.21942,0.96,231.2,21.628347873687744
80,100,4,4,0.15411,0.98,228.7,21.86196565628052
81,100,4,4,0.08437,1.0,226.3,22.09189510345459
82,100,4,4,0.1379,0.96,224.1,22.31598424911499
83,100,4,4,0.17693,0.98,221.8,22.54766821861267
84,100,4,4,0.33914,0.92,219.5,22.77695274353028
