epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,10,10,1.5558,0.32667,6574.4,2.2815661430358887
2,100,10,10,1.35583,0.59333,5285.4,2.8380119800567627
3,100,10,10,1.1898,0.72667,4431.8,3.3846144676208496
4,100,10,10,1.05587,0.84,3798.2,3.9492788314819336
5,100,10,10,0.94727,0.87333,3339.2,4.4921510219573975
6,100,10,10,0.8527,0.92667,2992.9,5.011803150177002
7,100,10,10,0.71936,0.93333,2708.5,5.538177967071533
8,100,10,10,0.59287,0.95333,2491.7,6.019892454147339
9,100,10,10,0.55352,0.94,2298.0,6.5275514125823975
10,100,10,10,0.41235,0.97333,2126.5,7.053747892379761
11,100,10,10,0.36718,0.97333,1983.9,7.560897827148437
12,100,10,10,0.26948,0.98667,1847.8,8.117743253707886
13,100,10,10,0.31102,0.96,1733.4,8.653490781784058
14,100,10,10,0.18897,0.99333,1626.6,9.221665382385254
15,100,10,10,0.26617,0.96667,1546.9,9.696897506713867
16,100,10,10,0.15071,0.99333,1472.4,10.187384128570557
17,100,10,10,0.13167,0.98667,1397.0,10.737605810165403
18,100,10,10,0.10934,0.99333,1338.7,11.205245018005373
19,100,10,10,0.09488,0.99333,1278.8,11.729769468307495
20,100,10,10,0.10759,0.99333,1223.2,12.263150215148926
21,100,10,10,0.06485,1.0,1174.4,12.772857189178469
22,100,10,10,0.09327,0.99333,1130.4,13.27010726928711
23,100,10,10,0.06516,0.99333,1087.7,13.790070295333862
24,100,10,10,0.05263,1.0,1047.9,14.31463074684143
25,100,10,10,0.06301,1.0,1011.1,14.835360527038574
26,100,10,10,0.05842,0.99333,975.6,15.375108480453491
27,100,10,10,0.03824,1.0,942.4,15.917142152786257
28,100,10,10,0.05336,0.99333,911.5,16.457165241241455
29,100,10,10,0.04414,1.0,882.8,16.99073028564453
30,100,10,10,0.04939,1.0,856.8,17.50691866874695
31,100,10,10,0.03477,1.0,833.4,17.99933385848999
32,100,10,10,0.02904,1.0,811.0,18.49539589881897
33,100,10,10,0.04469,0.99333,790.5,18.974431037902832
34,100,10,10,0.03444,1.0,769.1,19.50340247154236
35,100,10,10,0.04015,0.99333,749.0,20.026413202285767
36,100,10,10,0.02368,1.0,730.3,20.54053735733032
37,100,10,10,0.02128,1.0,711.3,21.087565660476685
38,100,10,10,0.04368,0.98667,692.8,21.65114164352417
39,100,10,10,0.03029,1.0,675.9,22.193979263305664
40,100,10,10,0.03249,1.0,658.9,22.76689124107361
41,100,10,10,0.04064,0.99333,643.4,23.312917470932007
42,100,10,10,0.02784,0.99333,629.1,23.84270739555359
43,100,10,10,0.02794,1.0,614.7,24.40255379676819
44,100,10,10,0.0349,0.99333,600.5,24.97749328613281
45,100,10,10,0.0238,0.99333,587.0,25.552281379699707
46,100,10,10,0.02791,1.0,574.7,26.100603580474854
47,100,10,10,0.02653,1.0,563.3,26.629744291305546
48,100,10,10,0.01588,1.0,551.9,27.179399013519287
49,100,10,10,0.02973,1.0,541.7,27.68956756591797
50,100,10,10,0.03052,1.0,531.3,28.232972383499146
51,100,10,10,0.01991,0.99333,521.6,28.756143808364868
52,100,10,10,0.03551,0.99333,512.3,29.27745294570923
53,100,10,10,0.02203,1.0,502.6,29.84243845939636
54,100,10,10,0.01286,1.0,493.6,30.39204216003418
55,100,10,10,0.01664,1.0,484.8,30.942358016967773
56,100,10,10,0.01244,1.0,476.0,31.51358795166016
57,100,10,10,0.01274,1.0,467.5,32.08379888534546
58,100,10,10,0.01505,1.0,458.8,32.6925892829895
59,100,10,10,0.01138,1.0,451.0,33.25864219665527
60,100,10,10,0.03158,0.99333,443.3,33.84010887145996
61,100,10,10,0.01097,1.0,435.4,34.450228452682495
62,100,10,10,0.01479,1.0,428.0,35.04278016090393
63,100,10,10,0.00769,1.0,421.4,35.59707713127136
64,100,10,10,0.00962,1.0,414.6,36.17642951011658
65,100,10,10,0.01128,1.0,408.4,36.73088979721069
66,100,10,10,0.01695,0.99333,402.1,37.30844211578369
67,100,10,10,0.00625,1.0,396.1,37.87109613418579
68,100,10,10,0.02528,0.99333,390.2,38.4465765953064
69,100,10,10,0.02328,1.0,384.4,39.02480053901672
70,100,10,10,0.01287,1.0,378.6,39.62429070472717
71,100,10,10,0.00766,1.0,373.0,40.21242690086365
72,100,10,10,0.01233,1.0,367.5,40.81198406219482
73,100,10,10,0.01034,1.0,362.4,41.39256978034973
74,100,10,10,0.00378,1.0,357.3,41.98416566848755
75,100,10,10,0.01408,1.0,352.5,42.555891036987305
76,100,10,10,0.0195,1.0,347.8,43.1279571056366
77,100,10,10,0.02346,0.99333,343.3,43.688814640045166
78,100,10,10,0.03197,0.98667,339.3,44.213534116745
79,100,10,10,0.01261,1.0,334.6,44.82855772972107
