epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,4,4,1.78417,0.14,2879.6,1.7363524436950684
2,100,4,4,1.14771,0.76,2660.6,1.8793044090271
3,100,4,4,0.87674,0.82,2474.3,2.0207676887512207
4,100,4,4,0.57448,0.96,2291.9,2.181601524353028
5,100,4,4,0.45334,0.96,2157.4,2.31756854057312
6,100,4,4,0.39553,0.98,2025.5,2.468510627746582
7,100,4,4,0.23199,1.0,1905.6,2.623796463012696
8,100,4,4,0.21295,1.0,1814.6,2.7554495334625244
9,100,4,4,0.1912,0.98,1732.7,2.8856704235076904
10,100,4,4,0.18325,0.98,1649.3,3.031679391860962
11,100,4,4,0.10456,1.0,1577.2,3.1701228618621826
12,100,4,4,0.1045,0.98,1514.8,3.300832509994507
13,100,4,4,0.10965,1.0,1457.3,3.430906057357788
14,100,4,4,0.08026,1.0,1396.4,3.5805346965789795
15,100,4,4,0.11792,1.0,1340.4,3.730173349380493
16,100,4,4,0.07042,0.98,1296.1,3.857586622238159
17,100,4,4,0.04151,1.0,1255.4,3.982658624649048
18,100,4,4,0.06551,1.0,1213.0,4.1221678256988525
19,100,4,4,0.06231,1.0,1173.5,4.260799646377564
20,100,4,4,0.04371,1.0,1140.5,4.38404655456543
21,100,4,4,0.02674,1.0,1104.9,4.525339603424072
22,100,4,4,0.12428,0.98,1075.2,4.650227785110474
23,100,4,4,0.07619,0.98,1044.4,4.787386894226074
24,100,4,4,0.07558,1.0,1017.2,4.915353775024414
25,100,4,4,0.05611,1.0,992.2,5.039352416992188
26,100,4,4,0.03736,1.0,961.9,5.197879314422607
27,100,4,4,0.05354,1.0,936.1,5.341404438018799
28,100,4,4,0.13343,0.98,913.6,5.472864389419556
29,100,4,4,0.0548,0.98,890.9,5.612196207046509
30,100,4,4,0.14573,0.96,868.8,5.755052804946899
31,100,4,4,0.03065,1.0,847.3,5.901089191436768
32,100,4,4,0.04085,1.0,828.1,6.037682056427002
33,100,4,4,0.04583,1.0,810.9,6.166276931762695
34,100,4,4,0.03682,1.0,791.4,6.317613124847412
35,100,4,4,0.09814,0.96,775.0,6.451947450637817
36,100,4,4,0.04058,1.0,758.6,6.591107368469238
37,100,4,4,0.03438,1.0,745.0,6.71171760559082
38,100,4,4,0.07845,0.98,730.9,6.840447187423706
39,100,4,4,0.02583,1.0,715.8,6.984747648239136
40,100,4,4,0.02225,1.0,700.4,7.138867378234863
41,100,4,4,0.02816,1.0,685.4,7.295307397842407
42,100,4,4,0.10819,0.98,670.4,7.457830190658569
43,100,4,4,0.04754,0.98,658.5,7.593561887741089
44,100,4,4,0.03683,1.0,646.3,7.736120462417602
45,100,4,4,0.03327,1.0,635.9,7.862531900405884
46,100,4,4,0.11228,0.98,625.3,7.996382236480713
47,100,4,4,0.03692,1.0,613.9,8.144245147705078
48,100,4,4,0.02428,1.0,604.0,8.27879786491394
49,100,4,4,0.10016,0.98,593.4,8.425984382629395
50,100,4,4,0.15565,0.94,582.5,8.584097862243652
51,100,4,4,0.03237,1.0,573.6,8.716445684432983
52,100,4,4,0.06743,0.98,565.4,8.842556476593018
53,100,4,4,0.03311,1.0,555.6,8.998685598373413
54,100,4,4,0.06591,0.98,546.9,9.142027854919434
55,100,4,4,0.10778,0.98,539.3,9.270678520202637
56,100,4,4,0.04789,0.98,532.0,9.398983716964722
57,100,4,4,0.08246,0.96,523.5,9.550655126571655
58,100,4,4,0.13744,0.98,517.2,9.66817593574524
59,100,4,4,0.04137,0.98,508.5,9.83356475830078
60,100,4,4,0.02877,1.0,501.3,9.973575115203856
61,100,4,4,0.12889,0.94,495.2,10.09655785560608
62,100,4,4,0.04088,1.0,489.3,10.21866536140442
63,100,4,4,0.08929,0.98,482.5,10.3635356426239
64,100,4,4,0.04808,0.98,475.3,10.520230770111084
65,100,4,4,0.09552,0.96,468.2,10.679379224777222
66,100,4,4,0.04038,1.0,462.1,10.81959581375122
67,100,4,4,0.14948,0.98,456.2,10.95954418182373
68,100,4,4,0.04319,1.0,450.6,11.097424507141112
69,100,4,4,0.12323,0.98,444.7,11.24275016784668
70,100,4,4,0.02442,1.0,439.8,11.369938850402832
71,100,4,4,0.10846,0.96,434.9,11.497516870498655
72,100,4,4,0.02424,1.0,429.4,11.643219232559204
73,100,4,4,0.05642,0.98,424.2,11.787725687026978
74,100,4,4,0.08574,0.98,419.3,11.92342758178711
75,100,4,4,0.02792,1.0,414.8,12.055039882659912
76,100,4,4,0.01481,1.0,410.4,12.182236194610596
77,100,4,4,0.09223,0.96,405.9,12.318506956100464
78,100,4,4,0.08272,0.96,400.9,12.471197843551636
79,100,4,4,0.02341,1.0,396.6,12.607295513153076
80,100,4,4,0.01144,1.0,392.7,12.732572078704834
81,100,4,4,0.1009,0.96,389.2,12.846908569335938
82,100,4,4,0.10229,0.96,385.6,12.965794324874878
83,100,4,4,0.0255,1.0,381.7,13.100350856781006
84,100,4,4,0.02291,1.0,377.5,13.244096994400024
85,100,4,4,0.0326,1.0,373.2,13.396379947662354
86,100,4,4,0.02438,1.0,368.9,13.553840160369871
87,100,4,4,0.01391,1.0,365.0,13.696980953216553
88,100,4,4,0.01401,1.0,361.7,13.822251558303831
89,100,4,4,0.01699,1.0,357.7,13.97964334487915
90,100,4,4,0.12378,0.96,354.1,14.120048999786375
91,100,4,4,0.00638,1.0,351.1,14.241208791732788
92,100,4,4,0.02419,1.0,348.1,14.365647554397585
93,100,4,4,0.03896,0.98,345.0,14.49433445930481
94,100,4,4,0.11451,0.94,341.9,14.623584508895874
95,100,4,4,0.02071,1.0,339.0,14.747474908828735
96,100,4,4,0.02346,1.0,336.2,14.873389959335327
97,100,4,4,0.02024,1.0,332.9,15.01787567138672
98,100,4,4,0.01962,1.0,329.8,15.162779808044434
99,100,4,4,0.08417,0.96,327.0,15.291557788848875
100,100,4,4,0.03082,1.00000,323.8,15.440882682800293
